"","X...","Proposal.No.","File.No.","Project.Name","Company","Proposal.Status","Project.Type","View"
"52",2,"SIA/UP/MIN/36042/2019","4807","Proposed Project “Gitti - Patthar and Khandas Mining” at Araji No. 639 of Area: 3.64 Ha., (8.99 Acre) Village: Rampur Sakteshgarh, Tehsil Chunar & District: Mirzapur, State: Uttar Pradesh","SHAHNAI CONSTRUCTION","Delisted","EC",NA
"53",3,"SIA/UP/MIN/184699/2020","6010","ajay soil mining projcet","AJAY KUMAR,","EC Granted","EC",NA
"54",4,"SIA/UP/MIN/184874/2020","5999","Shri Manoj Singh","SHRI MANOJ  SINGH","EC Granted","EC",NA
"55",5,"SIA/UP/MIS/224278/2021","6524","Revision And Expansion Of Group Housing Project“MRJV Palm Resort”","M/S MRJV CONSTRUCTION COMPANY","Delisted","EC",NA
"56",6,"SIA/UP/MIS/250019/2022","6838","Proposed Sarna Commercial Building At Village Behta Hajipur Pargana & Tehsil Loni District Ghaziabad U.P","SARNA PROJECTS LLP","EC Granted","EC",NA
"57",7,"SIA/UP/MIN/39000/2011","5279","MAA PATESWARI BRICK FIELD","MAA PATESHWARI BRICK FIELD","EC Granted","EC",NA
"58",8,"SIA/UP/MIN/187181/2020","6028","“Building Stone (Khanda, Boulder, Bailast (Gitti))” Project at Gata No.-50, Village- Kumharora, Tehsil- Mahoba, District- Mahoba, U.P. (Leased Area : 0.635 ha.)","HARISHANKAR RAJPOOT CONTRACTOR","EC Granted","EC",NA
"59",9,"SIA/UP/MIN/190231/2020","6078","Building Stone Khanda – Boulder/ Gitti- Ballast Mining","M/S SURYANSH CONSTRUCTION","EC Granted","EC",NA
"60",10,"SIA/UP/MIN/34512/2019","","BRICK CLAY MINING FOR M/S OM BRICK FIELD","M/S OM BRICK FIELD","Delisted","EC",NA
"61",1,"SIA/UP/MIN/50695/2019","5848/4791","Building Stone (Khanda, Gitti & Boulder) Mine","MAA SHARDA ASSOCIATES","EC Granted","EC",NA
"62",2,"SIA/UP/MIS/143278/2020","5558","Proposed Expansion of “Cadence Technology Centre” at Plot no 57(A, B& C), 11 &10 NSEZ, Noida, Gautam Buddha Nagar, Uttar Pradesh","M/S CADENCE DESIGN SYSTEMS (INDIA) PRIVATE LIMITED","EC Granted","EC",NA
"63",3,"SIA/UP/MIS/206555/2021","6258","Upgradation of District Referral Hospital Etah from 200 bedded to 500 bedded Etah","PRINCIPAL","EC Granted","EC",NA
"64",4,"SIA/UP/MIN/49056/2019","5426","Environmental clearance of proposed Building Stone (Khanda, Gitti, Boulder & Pattia) mine, at Gata No. /Araji /Plot No. 428, Lease Area: 1.01ha (2.50 Acres) at Village - Dhuria, Tehsil- Chunar, District- Mirzapur, Uttar Pradesh of  M/s  Jai Maa Vaishno Stone Works","M/S  JAI MAA VAISHNO STONE WORKS","EC Granted","EC",NA
"65",5,"SIA/UP/MIN/78282/2021","7150-6222","building stone sandstone mine at village ghasipur tehsil chunar mirzapur","M/S DIVYANSH ENTERPRISES","EC Granted","EC",NA
"66",6,"SIA/UP/MIN/79379/2021","7316-6659","Ghatyari Sand/Morrum Mining Project on Dhasan River","M/S SKYBRIDGE DEVELOPERS PVT. LTD.","EC Granted","EC",NA
"67",7,"SIA/UP/MIN/194912/2021","6137","Proposed “Ordinary Soil Excavation” Project at Gata No.–366, 367, Village-Kakarghata, Tehsil & District- Moradabad, Uttar Pradesh. (Area:3.072 Ha.).","SHRI PAPPI CHOUDHARY","EC Granted","EC",NA
"68",8,"SIA/UP/MIN/276368/2022","7133","Environmental clearance for ordinary sand mining from river bed of Ganga, at Khand No. 24, Area - 4.0 ha. (9.88Acres) at Village –Khadsara to Ravanika & Chhivaiyakhas, Tehsil- Karchhana/Phulpur, District- Prayagraj, Uttar Pradesh of Shri Babban Singh","BABBANSINGH SINGH","Delisted","EC",NA
"69",9,"SIA/UP/MIN/21635/2018","3991","Proposed Riverbed Sand/Morrum Mining Project from Riverbed of Yamuna River located at  Gata No. 76 Mi, Village- Bela Kalan, Tehsil-Sadar, District- Gautam Buddha Nagar, Uttar Pradesh.","MS HSM HOLDING PRIVATE LIMITED","EC Granted","EC",NA
"70",10,"SIA/UP/MIN/174957/2020","5866","Hira brick earth mining project","MS HIRA BRICK FIELD","EC Granted","EC",NA
"71",1,"SIA/UP/MIS/59366/2018","6077-4339","“Advant Solaris Business Park” Plot No. 1, Sector-142, Noida, Uttar Pradesh","M/S SS TECHNOPARK PRIVATE LIMITED","EC Granted","EC",NA
"72",2,"SIA/UP/MIN/45267/2019","","Kharae Islampur (Gata No. 389 & 391 A) soil brick mining project.","OM BRICK FILED","Delisted","EC",NA
"73",3,"SIA/UP/MIN/137717/2020","","Shahpur (Gata No. 140, 141, 152, 212 & 213) brick earth mining project.","M/S KAKA ENT UDYOG","Delisted","EC",NA
"74",4,"SIA/UP/MIN/138216/2020","5424","Shri Saurabh Dhar Dubey","SHRI SAURABH DHAR DUBEY","EC Granted","EC",NA
"75",5,"SIA/UP/IND2/50062/2019","5429","Establishment of Proposed 60.0 KLD Molasses Based Distillery along with 2.2 MW Co-Gen Power within Existing Premises of Sugar at village: Gangadharpur, Tehsil: Chandausi, District: Sambhal, UP","VENUS SUGAR LIMITED","EC Granted","EC",NA
"76",6,"SIA/UP/MIN/56934/2019","5876/5367","Kakra Kankar Kund Ordinary Sand Mining Project at River Garra","M/S. PREM PRAKASH NARANG","EC Granted","EC",NA
"77",7,"SIA/UP/MIN/176244/2020","5893","Area  4.536 Ha)On Ghaghara River  for Ordinary Sand mining project at Gata no/Khand -2296Kh, Village- Bhauri, Tehsil- Mahsi, District- Bahraich, U.P","SHRI DURGESH KUMAR","EC Granted","EC",NA
"78",8,"SIA/UP/MIN/248879/2021","6818","Bhagwant Nagar Ordinary Sand Mine","NUSRAT SIDDIQUI","EC Granted","EC",NA
"79",9,"SIA/UP/IND3/248438/2021","6819","Proposed API and Bulk Drug Manufacturing Unit  at Plot No. B-15 to B-17, UPSIDC, Sandila, Hardoi, Uttar Pradesh by M/s Swarup Chemicals Pvt. Ltd.","SWARUP CHEMICALS PVT LTD","Delisted","EC",NA
"80",10,"SIA/UP/IND3/247678/2021","6810","Addition & Expansion of API Drugs & Intermediates by M/s Magma Industries Limited","M/S MAGMA INDUSTRIES LIMITED","EC Granted","EC",NA
"81",1,"SIA/UP/MIN/190434/2020","6086","Sand(Balu) Mine","MS SHIKSHA SHAKTI CONST","EC Granted","EC",NA
"82",2,"SIA/UP/MIN/30852/2019","4646","M/s Balaji Enterprises from Yamuna River at Gata No. 220 and the total area allotted to Uttar Pradesh from Delhi, Village-Raipur Khadar, Tehsil- Dadri & District- Gautam Buddha Nagar, Uttar Pradesh","MS BALAJI ENTERPRISES","EC Granted","EC",NA
"83",3,"SIA/UP/MIN/127830/2019","","Akrampur urf. Banzaripur (Gata No. 10,9,11 ) brick earth mining project.","JAI MA DURGEY INT UDYOG","Delisted","EC",NA
"84",4,"SIA/UP/MIN/144851/2020","","verma ent bhatta","VERMA ENT BHATTA","Delisted","EC",NA
"85",5,"SIA/UP/MIN/146269/2020","","Brick Earth Mining Project By M/s Deepak Eet Udhyog","DEEPAK EET UDHYOG","Delisted","EC",NA
"86",6,"SIA/UP/MIN/35154/2019","4766","Building Stone (Sandstone) mine, at Gata No./Araji No. /Plot no. – 141 Lease Area: 1.212 ha. (3.00 Acres)  at Village- Chiraiya, Tehsil- Chunar, District- Mirzapur, Uttar Pradesh of  M/s A. K. S. Industries","M/S A. K. S. INDUSTRIES","Delisted","EC",NA
"87",7,"SIA/UP/MIN/170722/2020","5805","Proposed riverbed Ordinary Sand mining project","SANTOSH KUMAR JAISWAL","EC Granted","EC",NA
"88",8,"SIA/UP/MIS/172044/2020","5818","Proposed Data Centre at Plot No.07, Knowledge Park V, Greater Noida, Uttar Pradesh","M/S NIDP DEVELOPERS PRIVATE LIMITED","EC Granted","EC",NA
"89",9,"SIA/UP/MIN/59536/2020","6090","BUILDING STONE KHANDA BOULDER BALLAST (GITTY) MINING PROJECT","RATANA JADAUN","EC Granted","EC",NA
"90",10,"SIA/UP/MIS/231053/2021","6625","Data Center building by Adani Enterprises Limited","ADANI ENTERPRISES LIMITED","EC Granted","EC",NA
"91",1,"SIA/UP/MIN/44887/2019","","Hasanpur Jiwani & Kasimpur Kheri brick earth (soil) mining project.","OM BRICK FIELD","Delisted","EC",NA
"92",2,"SIA/UP/MIN/140494/2020","","Mavaiya Hardo Patti (Gata No. 415MI, 642, 718, 662, 672, 663 & 413 ) soil brick mining project.","M/S NEW SINGH INT UDYOG","Delisted","EC",NA
"93",3,"SIA/UP/MIN/44919/2019","","Kakor Kala (Gata No. 704,289,266mi, 195A,702, 703) soil brick mining project","SHIVSHAKTI BRICK FIELD","Delisted","EC",NA
"94",4,"SIA/UP/MIN/139466/2020","5477","Brick Earth Mining Project, M/s Hanuman Brick Field No 2, Gata no; 1310, 1323, 1324, 1230, 1233, 1324a, 1324b at Village: Ailum, Tehsil: Shamli  &  Dist: Shamli","M/S HANUMAN BRICK FIELD NO. 2","MoEF&CC, Govt. of India Notification No. S.O. 1224(E) dated 28/03/2020 and Govt. of U.P. G.O. No. 446/81-7-2020-39(Parya) 2014 TC-1 dated 01/05/2020 shall prevail.","EC",NA
"95",5,"SIA/UP/MIN/140293/2020","5479","Brick Earth Mining Project, M/s Om Brick Field, Gata no; 367, 368, 369/2, 369/3, 369/4, 369/5, 404 Village: Bhikki Deh, Tehsil: Shamli , Dist: Shamli","M/S OM BRICK FIELD (BHIKKI DEH)","MoEF&CC, Govt. of India Notification No. S.O. 1224(E) dated 28/03/2020 and Govt. of U.P. G.O. No. 446/81-7-2020-39(Parya) 2014 TC-1 dated 01/05/2020 shall prevail.","EC",NA
"96",6,"SIA/UP/MIN/50659/2019","7243-4787","Building Stone (Khanda, Gitti & Boulder) Mine","MAA KAMAKHYA GRANITE","EC Granted","EC",NA
"97",7,"SIA/UP/MIN/221259/2021","6461","Building Stone Khanda, Boulders, Ballast (Gitti) Mining Project","RITA PURWAR","Delisted","EC",NA
"98",8,"SIA/UP/IND/54278/2020","5317","Expansion of Existing Tannery unit from Capacity of 4.5 TPD of Finished Leather (Wet Blue to Finished Leather) to 5TPD of Finished Leather (Raw to Finished Leather) at Kanpur Dehat, U.P. by M/s Tirubala Exports (India) Private Limited","TIRUBALA EXPORTS (INDIA) PRIVATE LIMITED","EC Granted","EC",NA
"99",9,"SIA/UP/IND2/235187/2021","6644","Expansion of Tikaula Distillery (through Molasses/Sugar Syrup/Cane Juice) and Co-generation Power Plant","M/S TIKAULA    DISTILLERY","Delisted","EC",NA
"100",10,"SIA/UP/MIN/249459/2022","6831","Area:  2.020 Ha Building Stone (Sandstone) Mining project at Araji/Gata no. 38 & 1, Village-Kudaran & Baradih, Tehsil- Chunar, District-Mirzapur, U.P.","SANJAY SINGH.","EC Granted","EC",NA
"101",1,"SIA/UP/MIN/61251/2021","6257","Riverbed Morrum Mining (Son River)","M/S NEW INDIA MINERALS","EC Granted","EC",NA
"102",2,"SIA/UP/MIN/227678/2021","6607","Environmental clearance for ordinary sand mining from river bed of Ram Ganga , at Gata No: 365, Lease  Area – 3.919 ha (9.68 Acres), Village – Kamalpur Mafi, Tehsil - Kanth, District - Moradabad, Uttar Pradesh of M/s R. K. Construction and Supplier/1","M/S R. K. CONSTRUCTION AND SUPPLIER/189103","EC Granted","EC",NA
"103",3,"SIA/UP/MIN/243754/2021","6737-6112","Proposed Sand Stone Dimensional Mining Project of M/s SatyaNaraian Singh Construction Pvt. Ltd. located at Arazi No. 732,  Sl. No. 21,  Village- Bhagautidei, Tehsil- Chunar, District- Mirzapur (U.P.); Lease Area- 1.01 ha; Proposed Capacity: 10,100 cu","M/S SATYANARAIAN SINGH CONSTRUCTION PVT. LTD.","EC Granted","EC",NA
"104",4,"SIA/UP/MIN/70186/2020","","Sand Mining Project","DHEERAJ PANDEY","WithdrawEC","EC",NA
"105",5,"SIA/UP/MIN/76194/2020","7051-6396","Building Stone, Khanda, Boulder, Ballast (Gitti) Mining Project","MUJHIB RAHMAN","EC Granted","EC",NA
"106",6,"SIA/UP/MIN/216243/2021","6405","JITENDRA KUMAR","JITENDRA KUMAR","EC Granted","EC",NA
"107",7,"SIA/UP/MIN/185917/2020","6007","Mahua Itaura Building Stone or Khanda, Boulder, Ballast (Gitty) Mining project","SHRI DIPENDRA KUMAR BUDHOLIYA","EC Granted","EC",NA
"108",8,"SIA/UP/MIN/57175/2020","5915/5489","Riverbed Sand/Morrum Mining having lease area 10.0 ha (24.71 acre), along River Betwa in Gata No.- 321 Ga, at Village -Salemapur, Tehsil-Moth, District - Jhansi, U. P.","M/S SHUBH CONSTRUCTION","EC Granted","EC",NA
"109",9,"SIA/UP/MIN/177311/2020","5925","Haivatpura Building Stone, Khanda, Gitti, Boulder Mining project","M/S DEE. ENTERPRISES","EC Granted","EC",NA
"110",10,"SIA/UP/MIN/177371/2020","5926","Nadua Lalpur Teekar Ehatmali Ordinary Sand Mining Project on Rapti River","M/S R.C. GROUPS OF COMPANIES","EC Granted","EC",NA
"111",1,"SIA/UP/MIS/248760/2021","6826","Proposed Project “Trillium Data Center” located at Plot No. B- 11 to 13, Sector-132, Noida, Uttar Pradesh by M/s SKVR Software Solutions Private Limited.","M/S SKVR SOFTWARE SOLUTION PVT. LTD.","WithdrawEC","EC",NA
"112",2,"SIA/UP/MIS/102495/2019","4763","Proposed Residential Township at Village-Jatikhera, Pargana Bijnaur, Tehsil-Sarojni Nagar, Lucknow Industrial Development Authority, Lucknow","ELDECO HOUSING AND INDUSTRIES LTD","EC Granted","EC",NA
"113",3,"SIA/UP/MIN/34858/2019","4800","M/s Radhika Ent Udhyog","M/S RADHIKA ENT UDHYOG","EC Granted","EC",NA
"114",4,"SIA/UP/IND/52921/2019","5649/4969","Proposed production capacity expansion of existing cement grinding unit from 0.90 MTPA to 1.25 MTPA at UPSIDC Industrial area, Phase-II, Amawan road, Raebareli tehsil, Raebareli district, Uttar Prades","Birla Corporation Limited","EC Granted","EC",NA
"115",5,"SIA/UP/MIS/133859/2019","5344","Commercial Complex at Plot No.- TC-A-1, Vibhuti Khand, Gomti Nagar, Lucknow, UP of M/s Purvanchal Projects Pvt. Ltd.","M/S PURVANCHAL PROJECTS PVT. LTD","EC Granted","EC",NA
"116",6,"SIA/UP/IND2/49160/2015","","expansion of existing molasses based Distillery from 60 to 100 KLPD along with expansion of 2.2 MW to 4.0 MW Co- Generation Power Plant","GOBIND SUGAR MILLS LIMITED DISTILLERY UNIT","WithdrawEC","EC",NA
"117",7,"SIA/UP/MIN/134846/2020","","Sukhdevpur & Ekalhodi, Tehsil - Dhoulana (Gata No. 678, 679, 659, 660, 116 & 117) soil brick mining project.","M/S BHARAT BHATTA UDYOG","Delisted","EC",NA
"118",8,"SIA/UP/MIN/134986/2020","","Bhagwanpur Chauthar (Gata No. 328, 82, 354, 85, 86, 339 & 330) soil brick mining project.","M/S MORDEN ENT UDYOG","Delisted","EC",NA
"119",9,"SIA/UP/MIN/130697/2019","","BRICK EARTH MINE VILLAGE NAYABANS ALIGARH BY CHHOTU ENT UDYOG","CHHOTU ENT UDYOG","Delisted","EC",NA
