"","X","Proposal.No.","File.No.","Project.Name","Company","Proposal.Status","Project.Type","View"
"16",6,"SIA/KL/MIN/61795/2019","1894/EC6/2021/SEIAA","Building Stone Minor Mineral Mining (Quarry) project of Mr. Manoj K. at Kannamangalam Village, Thirurangadi Taluk, Malappuram District, Kerala for an area of 0.9524 hectors.","MANOJ K.","EC Granted","EC",NA
"17",7,"SIA/KL/MIS/103097/2019","1349/EC2/2019/SEIAA","Environmen","GOVT. MEDICAL COLLEGE, KOTTAYAM","EC Granted - Processed offline","EC",NA
"18",8,"SIA/KL/MIN/141080/2020","","REJI P CHERIYAN 01","REJI P CHERIYAN 01","Delisted","EC",NA
"19",9,"SIA/KL/MIN/143958/2020","1598/EC4/2020/SEIAA","Laterite building stone of Mr Ramachandran P","LATERITE BUILDING STONE QUARRY OF MR. RAMACHANDRAN P.","Delisted","EC",NA
"20",10,"SIA/KL/MIN/278399/2022","2095/EC4/2022/SEIAA","Building Stone Minor Mineral Mining (Quarry) project of Shri. K. Gangadharan  at Re-Survey No. 151/1 of Puthur Village, Thalassery Taluk, Kannur District, Kerala for area of 0.8456 hectare","K GANGADHARAN","Delisted","EC",NA
"21",1,"SIA/KL/MIN/154110/2020","1730/EC2/2020/SEIAA","Building Stone Quarry Project of M/s K Lekshmanan Infrastructure and Industries Pvt Ltd","K LEKSHMANAN INFRASTRUCTURES AND INDUSTRIES PVT LTD","EC Granted","EC",NA
"22",2,"SIA/KL/MIN/71717/2019","1518/EC4/2019/SEIAA","M/s United Granites","M/S UNITED GRANITES","For further consideration(SEAC)","EC",NA
"23",3,"SIA/KL/MIN/160638/2020","1721/EC2/2020/SEIAA","Granite Building Stone Quarry of Mr.S.Sundarasan","GRANITE BUILDING STONE QUARRY OF MR.S.SUNDARASAN","EC Granted","EC",NA
"24",4,"SIA/KL/MIN/63669/2019","1925/EC3/2021/SEIAA","M/s United Granites","M/S UNITED GRANITES","Site Visit by SEAC(Pending)","EC",NA
"25",5,"SIA/KL/MIN/186100/2020","1848/EC4/2020/SEIAA","Granite Building Stone Quarry of Mr. Rjesh TS","GRANITE BUILDING STONE QUARRY OF MR. RAJESH TS","Rejection Letter Granted","EC",NA
"26",6,"SIA/KL/MIN/130145/2019","","Granite Building Stone Quarry of Mohammed.K.K","MOHAMMED.K.K QUARRY","WithdrawEC","EC",NA
"27",7,"SIA/KL/MIN/148744/2020","1649/EC4/2020/SEIAA","Laterite Building Stone Quarry of Mr. Nishad Kumar M.K","LATERITE BUILDING STONE QUARRY OF MR. NISHAD KUMAR. M.K","Delisted","EC",NA
"28",8,"SIA/KL/MIN/280530/2022","2088/EC3/2022/SEIAA","Granite Building Stone Quarry of Sri. Tom George","TOM GEORGE","EC Granted","EC",NA
"29",9,"SIA/KL/MIN/172559/2020","","Granite Building Stone Quarry of Aboobakkar","GRANITE BUILDING STONE QUARRY OF ABOOBAKKAR","Pending at PP due to eds","EC",NA
"30",10,"SIA/KL/MIN/133893/2019","1788/E2/2020/SEIAA","Granite Building Stone Quarry of M/s. Pulpally Stone Crushers","MS PULPALLY STONE CRUSHERS","Rejection Letter Granted","EC",NA
"31",1,"SIA/KL/MIN/261634/2022","1999/EC6/2022/SEIAA","LATERITE BUILDING STONE QUARRY OF MR AYAMU","AYAMU PARAKKADAN","EC Granted","EC",NA
"32",2,"SIA/KL/MIN/43574/2019","1470/EC3/2019/SEIAA","P V SANTHO","P V  SANTHOSH","Delisted","EC",NA
"33",3,"SIA/KL/MIN/272428/2022","2070/EC6/2022/SEIAA","LATERITE BUILDING STONE QUARRY OF Mr. KRISHNAN","KRISHANAN KUTTIPARAMBATHU","EC Granted","EC",NA
"34",4,"SIA/KL/MIN/273490/2022","","Granite Building Stone of Unneenkutty","KALLINGAL UNNIANKUTTY","Delisted","EC",NA
"35",5,"SIA/KL/MIN/193496/2021","","chaliyar river basin kadavu 24","CHALIYAR RIVER BASIN","Delisted","EC",NA
"36",6,"SIA/KL/MIN/153470/2020","","Bharathapuzha River Basin Kadavu 4","BHARATHAPUZHA RIVER BASIN","Delisted","EC",NA
"37",7,"SIA/KL/MIN/153477/2020","","Bharathapuzha River Basin Kadavu 5","BHARATHAPUZHA RIVER BASIN","Delisted","EC",NA
"38",8,"SIA/KL/MIN/240137/2021","2002/EC6/2022/SEIAA","ORDINARY EARTH MINING PROJECT OF Mr.BABU,PEECHI VILLAGE,THRISSUR TALUK,THRISSUR,SURVEY NO 1441/1P/1441/1-6","ORDINARY EARTH MINING PROJECT OF MR BABU,PEECHI VILLAGE,THRISSUR TALUK,THRISSUR DISTRICT IN SY NO 1441/1P/1441/1-6 OVER AN AREA OF 0.9378 HA","Delisted","EC",NA
"39",9,"SIA/KL/MIS/137528/2020","1623/EC4/2019/SEIAA","Proposed expansion of Government General Hospital, Kozhikode","GOVERNMENT GENERAL HOSPITAL","EC Granted","EC",NA
"40",10,"SIA/KL/MIS/285493/2022","2074/EC1/2022/SEIAA","Environmental Clearance for the proposed expansion within the existing Hospital premises (“Ananthapuri Hospital & Research Institute”) by M/s Ananthapuri Hospitals Private Limited","ANANTHAPURI HOSPITALS PRIVATE LIMITED","Agenda Uploaded by SEAC","EC",NA
"41",1,"SIA/KL/MIN/45584/2019","1594/EC4/2019/SEIAA","ORDINARY E","ORDINARY EARTH MINING PROJECT OF M/S TWENTY FOURTEEN HOTELS INDIA PRIVATE LIMITED","Delisted","EC",NA
"42",2,"SIA/KL/MIN/45636/2019","","ORDINARY E","ORDINARY EARTH MINING PROJECT OF MR. RAVEENDRAN","Delisted","EC",NA
"43",3,"SIA/KL/MIN/187054/2020","1855/EC4/2020/SEIAA","KANNUR BUILDING MATERIALS CO-OPERATIVE SOCIETY","KANNUR BUILDING MATERIALS CO-OPERATIVE SOCIETY","EC Granted","EC",NA
"44",4,"SIA/KL/MIS/194843/2021","1904/EC3/2021/SEIAA","Environmental Clearance for the proposed Expansion of Residential project (“Federal Greens”) developed by             M/s The Federal House Construction Co-Operative Society Ltd. No. E-962","THE FEDERAL HOUSE CONSTRUCTION CO-OPERATIVE SOCIETY LTD. NO. E-962","EC Granted","EC",NA
"45",6,"SIA/KL/MIN/134626/2020","1610/EC1/2020/SEIAA","Granite Building Stone Quarry of Mr.R.Sudharman","GRANITE BUILDING STONE QUARRY OF MR R SUDHARMAN","EC Granted","EC",NA
"46",7,"SIA/KL/MIN/187772/2020","1857/EC4/2020/SEIAA","Laterite Building Stone Quarry of Prajeena Parayil","LATERITE BUILDING STONE QUARRY OF PRAJEENA PARAYIL","EC Granted","EC",NA
"47",10,"SIA/KL/MIN/44419/2019","1503/EC/2019/SEIAA","Building s","BUILDING STONE QUARRY OF SHRI P ASHOKAN","Delisted","EC",NA
"48",1,"SIA/KL/MIN/139351/2020","1714/EC3/2020/SEIAA","Granite Building Stone Quarry of Shri, Maneesh P Mohanan","SHRI. MANEESH P MOHANAN","Rejection Letter Granted","EC",NA
"49",2,"SIA/KL/MIN/161967/2020","1747/EC1/2020/SEIAA","Granite Building Stone Quarry of Abdul Nazar A","GRANITE BUILDING STONE QUARRY OF ABDUL NAZAR A","Delisted","EC",NA
"50",6,"SIA/KL/MIN/129967/2019","1861 (A)/EC4/2019/SEIAA","Granite Building Stone Quarry of Ramakrishnan.C","THIRUVAMBADI ROCKS PRIVATE LIMITED","Agenda Uploaded by SEAC","EC",NA
"51",7,"SIA/KL/MIN/130412/2019","1647/EC4/2020/SEIAA","Building Stone Quarry of  M/s Memi Granites Pvt Ltd.","GRANITE BUIDING STONE QUARRY OF M/S MEMI  GRANITE PVT. LTD","ADS by SEAC","EC",NA
"52",8,"SIA/KL/MIN/131683/2019","1813/EC3/2020/SEIAA","Granite Building Stone Quarry Of Mr. N.A.Thomas","GRANITE BUILDING STONE QUARRY OF MR NA THOMAS","EC Granted","EC",NA
"53",9,"SIA/KL/MIN/236170/2021","1967/EC2/SEIAA/2022","ORDINARY BRICK CLAY OF KOLLAM DISTRICT SCHEDULED CASTE INDUSTRIAL CO-OPERATIVE SOCIETY LTD","ORDINARY BRICK CLAY OF KOLLAM DIST SCHEDULED CASTE INDUSTRIAL COOPERATIVE SOCIETY LTD","EC Granted","EC",NA
"54",10,"SIA/KL/MIN/273702/2022","","Mohammad Shareef","NOUSHAD KARUTHEDETH","Delisted","EC",NA
"55",1,"SIA/KL/MIN/153262/2020","1825/EC3/2020/SEIAA","Mr Stephen Joseph Managing Director M/s Crystal Aggregates Pvt Ltd","STEPHEN JOSEPH","Rejection Letter Granted","EC",NA
"56",2,"SIA/KL/MIN/287019/2022","2113/EC2/2022/SEIAA","Granite Building Stone Quarry of Ms.Pulpally Stone Crushers","MS PULPALLY STONE CRUSHERS","Delisted","EC",NA
"57",3,"SIA/KL/MIN/195336/2021","1888/EC1/2021/SEIAA","Prior Environment Clearance for Dimension Stone Quarry of M/s.K.P Granite Industries at Sy No 150/1,150/2 & 150/3 over an extent 1.0670 Ha in Karavaram Village Chirayinkeezhu Taluk Trivandrum District..","KP GRANITE INDUSTRIES","Delisted","EC",NA
"58",4,"SIA/KL/MIN/271866/2022","2036/EC2/2022/SEIAA","Laterite building stone quarry of Mr. Jaleel. S","JALEEL SALIM","EC Granted","EC",NA
"59",5,"SIA/KL/MIN/271788/2022","1282(A)/EC2/2019/SEIAA","Building Stone Quarry of Mr. Faisal","BUILDING STONE QUARRY OF MR FAISAL","EC Granted","EC",NA
"60",6,"SIA/KL/MIN/43559/2019","1483/EC2/2019/SEIAA","QUARRY UNI","QUARRY UNIT OF MR. C. FIROS BABU","Delisted","EC",NA
"61",7,"SIA/KL/MIN/145053/2020","1370/EC2/2019/SEIAA","Granite Building Stone Quarry of Mr. Shaji N.M","BUILDING STONE QUARRY OF MR SHAJI N M","EC Granted","EC",NA
"62",8,"SIA/KL/MIN/269882/2022","1292/EC2/2019/SEIAA","Granite building Stone Quarry of Ms Thirumeni Stone Crushers","NARIKKADAN DASAN","Delisted","EC",NA
"63",9,"SIA/KL/MIN/37768/2019","1462/EC2/2019/SEIAA","building S","AL FATHIMA CRUSHER INDIA PVT LTD","Under examination of SEIAA - Processed offline","EC",NA
"64",10,"SIA/KL/MIN/167079/2020","1787/EC4/2020/SEIAA","LATERITE BUILIDNG STONE QUARRY OF MR GEORGE JOSEPH","LATERITE BUILDING STONE QUARRY OF MR GEORGE JOSEPH","EC Granted","EC",NA
"65",1,"SIA/KL/MIN/196571/2021","1932/EC3/2022/SEIAA","Laterite Building Stone Quarry of Nazar K A","LATERITE BUILDING STONE QUARRY OF NAZAR K A","EC Granted","EC",NA
"66",2,"SIA/KL/MIN/45830/2019","1511/EC4/2019/SEIAA","Laterite B","LATERITE QUARRY OF MR.ANAKACHERY MOOSAKUTTY","EC Granted","EC",NA
"67",3,"SIA/KL/MIN/144116/2020","1599/EC4/2020/SEIAA","LATERITE BUILDING STONE QUARRY OF MR SIRAJ.K","LATERITE BUILDING STONE QUARRY OF MR SIRAJ K","Delisted","EC",NA
"68",4,"SIA/KL/MIN/158114/2020","1801/EC6/2020/SEIAA","Granite Building Stone Quarry of Mohammed Shareef","GRANITE BUILDING STONE QUARRY OWNED BY MOHAMMED SHAREEF","Rejection Letter Granted","EC",NA
"69",5,"SIA/KL/MIN/159197/2020","1324/EC2/2019/SEIAA","Granite Building Stone Quarry of Smt. E.M.Pathumbi (Conversion-ToR-EC)","BUILDING STONE QUARRY OF SMT EM PATHUMBI","EC Granted","EC",NA
"70",6,"SIA/KL/MIN/241398/2021","","Building stone Quarry of Sri.Noushad.T.P","BUILDING STONE QUARRY OF SRI.NOUSHAD.T.P","Delisted","EC",NA
"71",7,"SIA/KL/MIN/265720/2022","1354/EC2/2019/SEIAA","Jose Joseph","KORAH AND ASSOCIATES CONSULTANTS PRIVATE LIMITED","EC Granted","EC",NA
"72",8,"SIA/KL/MIN/286117/2022","2067/EC4/2022/SEIAA","Building Stone Minor Mineral Mining (Quarry) project of M/s V K Stone Crusher at Re-Survey Block No. 59, Re-Survey Nos. 6/527, 6/526, 6/537, 6/600,  Vellarvally Village, Iritty Taluk, Kannur District, Kerala  for an area of 3.7324 hectares.","V K STONE CRUSHER","For further consideration(SEAC)","EC",NA
"73",9,"SIA/KL/MIN/280078/2022","2083/EC2/2022/SEIAA","LATERITE BUILDING STONE QUARRY OF Mr. BALAKRISHNA POOJARY","BALAKRISHNA POOJARY","EC Granted","EC",NA
"74",10,"SIA/KL/MIN/39461/2019","1546/EC1/2019/SEIAA","Building S","VENGUNADU GRANITE AND SANDS PVT LTD","EC Granted","EC",NA
"75",1,"SIA/KL/MIN/156447/2020","1731/EC3/2020/SEIAA","Mr Shymon Anto","SHYMON     ANTO","Rejection Letter Granted","EC",NA
"76",2,"SIA/KL/MIN/239760/2021","2013/EC1/2022/SEIAA","GRANITE BUILDING STONE QUARRY OF MANNARKKAD TALUK KARINGAL QUARRY OPERATORS INDUSTRIAL CO-OPERATIVE SOCIETY LTD","GEM SOLUTIONS","EC Granted","EC",NA
"77",3,"SIA/KL/MIN/41414/2019","1563/EC1/2019/SEIAA","QUARRY UNI","QUARRY UNIT OF MR. ABOOBACKER .O","EC Granted","EC",NA
"78",5,"SIA/KL/MIS/189607/2020","1869/EC1/2021/SEIAA","Environment Clearance for proposed Residential project to be developed by M/s Sobha Highrise Ventures Pvt. Ltd. Limited","SOBHA HIGHRISE VENTURES PVT. LTD.","EC Granted","EC",NA
"79",6,"SIA/KL/MIN/32061/2019","1622/EC2/2020/SEIAA","M/s. Nelli","NELLIMUNDA GRANATES AND SANDS PVT LTD","EC Granted","EC",NA
"80",7,"SIA/KL/MIN/43182/2019","1479/EC2/2019/SEIAA","Granite Bu","ROBIN P R","Rejection Letter Granted","EC",NA
"81",8,"SIA/KL/MIN/264403/2022","1369/EC1/2019/SEIAA","GRANITE BUILDING STONE QUARRY OF MS GRAND TECH SANDS AND AGGREGATES","GRANITE BUILDING STONE QUARRY OF GRAND TECH SANDS AND AGGREGATES PVT LTD","EC Granted","EC",NA
"82",9,"SIA/KL/MIN/175300/2020","1987/EC3/2022/SEIAA","Building Stone Minor Mineral Mining (Quarry) project of M/s Rockfield Estates Pvt. Ltd.  at Block No. 48 in Re-Survey No. 400/1, 400/2, 401/5-2, 406/5 of Chengalam (E) Village, Kottayam Taluk, Kottayam District, Kerala in an area of 0.8736 hectares.","ROCKFIELD ESTATES PVT LTD","For further consideration(SEIAA)","EC",NA
"83",10,"SIA/KL/MIN/230280/2021","1959/EC3/2022/SEIAA","ORDINARY EARTH MINING PROJECT OF Mrs RESMI MATHEW IN RESYNO 306/4-2,306/3 IN KEEZHUMAD VILLAGE,ALUVA TALUK,ERNAKULAM DISTRICT FOR AN AREA OF 0.9915 HA","ORDINARY EARTH MINING PROJECT OF MRS RESMI MATHEW IN RESURVEY NO 306/4-2,306/3 IN KEEZHMAD VILLAGE,ALUVA TALUK,ERNAKULAM DISTRICT FOR AN AREA OF 0.9915 HA","EC Granted","EC",NA
"84",1,"SIA/KL/MIN/255880/2022","2081/EC3/2022/SEIAA","Shijo T Paul","SHIJO T PAUL QUARRY","Agenda Uploaded by SEAC","EC",NA
"85",2,"SIA/KL/MIN/276701/2022","1309/EC2/2019/SEIAA","Abdul azeez Kottakkaran","ABDUL AZEEZ KOTTAKKARAN","EC Granted","EC",NA
"86",3,"SIA/KL/MIN/45874/2019","1541/EC3/2019/SEIAA","GRANITE BU","QUARRY OF MR KUNHIKANNAN","EC Granted","EC",NA
"87",6,"SIA/KL/MIN/146731/2020","1617/EC1/2020/SEIAA","Proposed building stone quarry of Mr Abdul Salim","HARITHA CONSULTANTS","EC Granted","EC",NA
"88",7,"SIA/KL/MIN/148464/2020","1613/EC4/2020/SEIAA","ORDINARY EARTH MINING PROJECT OF M/S KMC CONSTRUCTIONS","ORDINARY EARTH MINIG PROJECT OF M/S KMC CONSTRUCTIONS LIMITED","Delisted","EC",NA
"89",8,"SIA/KL/MIN/237277/2021","2003/EC6/2022/SEIAA","Laterite Building Stone Quarry of MOHAMMED BASHEER","LATERITE BUILDING STONE QUARRY OF MOHAMMED BASHEER","EC Granted","EC",NA
"90",9,"SIA/KL/MIN/194576/2021","","Chaliyar River Basin Kadavu 16","CHALIYAR RIVER BASIN","Delisted","EC",NA
"91",10,"SIA/KL/MIN/151053/2020","1817/EC6/2020/SEIAA","GRANITE BUILDING STONE QUARRY OF Mr.KUTTIAMU HAJI IN SURVEY NO:174,CHERUKAVU VILLAGE,KONDOTTY TALUK, MALAPPURAM DISTRICT,KERALA","GRANITE BUIDING STONE QUARRY OF MR.P.M.KUTTIAMU  HAJI,IN SURVEY NO:174,IN CHERUKAVU VILLAGE,KONDOTTY TALUK,MALAPPURAM DISTRICT,KERALA STATE","EC Granted","EC",NA
"92",2,"SIA/KL/MIN/262942/2022","2031/EC2/2022/SEIAA","Prasanan","PRASANNAN PRABHAKARAN","EC Granted","EC",NA
"93",3,"SIA/KL/MIN/263071/2022","","LATERITE BUILDING STONE QUARRY OF MR. ABDU RAHIMAN P. C TIRUR TALUK MALAPPURAM  DISTRICT KERALA","POTTACHOLA ABDURAHIMAN","Pending at PP due to eds","EC",NA
"94",4,"SIA/KL/MIN/72951/2022","1590/EC1/2019/SEIAA","GRANITE BUILDING STONE QUARRY OF MR. ELDHO ISSAC","GRANITE BUILDING STONE QUARRY OF MR ELDHO ISSAC","ADS by SEAC","EC",NA
"95",5,"SIA/KL/MIN/72953/2022","","Granite Building Stone Quarry of Mr. Abdul Rahim","BUILDING STONE QUARRY OF MR ABDUL RAHIM","Delisted","EC",NA
"96",10,"SIA/KL/MIN/280933/2022","1419/EC1/2019/SEIAA","GRANITE BUILDING STONE QUARRY OF Mr. SURESH BABU.  Conversion from TOR to EC","BUILDING STONE QUARRY OF MR SURESH BABU","EC Granted","EC",NA
"97",1,"SIA/KL/MIN/161938/2020","1727/EC2/2020/SEIAA","Quarry owned by Sudheesh A T","SUDHEESHAT","EC Granted","EC",NA
"98",2,"SIA/KL/MIN/162481/2020","1742/EC4/2020/SEIAA","LATERITE BUILDING STONE QUARRY OF SMT DEEPA N.K.","LATERITE BUILDING STONE QUARRY OF SMT DEEPA  N K","Rejection Letter Granted","EC",NA
"99",3,"SIA/KL/MIN/260249/2022","1976/EC1/2022/SEIAA","KORIAN GRANITES","KORIAN GRANITE INDUSTRIES","Rejection Letter Granted","EC",NA
"100",4,"SIA/KL/MIS/220226/2021","1909/EC1/2021/SEIAA","Proposed Residential Building Project ‘Artech L’Attitude’ at Sreekariyam, Thiruvananthapuram","ARTECH REALTORS PVT. LTD.","WithdrawEC","EC",NA
"101",5,"SIA/KL/MIN/242348/2021","1497(A)/EC1/2019/SEIAA","AJI KUMAR N","KORAH AND ASSOCIATES CONSULTANTS PRIVATE LIMITED","EC Granted","EC",NA
"102",6,"SIA/KL/MIN/33514/2019","","Granite bu","HARITHA CONSULTANTS","Delisted","EC",NA
"103",7,"SIA/KL/MIN/33935/2019","","Quarry (Mi","T P ABDUL MAJEED","EC Granted - Processed offline","EC",NA
"104",8,"SIA/KL/MIN/195057/2021","","RIVER SAND MINING OF CHALIYAR RIVER,MAVOOR VILLAGE,KOZHIKODE TALUK,KOZHIKODE DISTRICT,AREA-4.60HA,RESYNO-42","RIVER SAND MINING OF CHALIYAR RIVER","Delisted","EC",NA
"105",9,"SIA/KL/MIN/134011/2019","1629/EC2/2020/SEIAA","Building Stone Quarry of Shri.Narayanan.K","BUILDING STONE QUARRY OF SRI.NARAYANAN.K","EC Granted","EC",NA
"106",10,"SIA/KL/MIN/152770/2020","1708/EC6/2020/SEIAA","LATERITE BUILDING STONE QUARRY OF MR ABDUL KAREEM","LATERITE BUILDING STONE QUARRY OF MR ABDUL KAREEM","EC Granted","EC",NA
"107",1,"SIA/KL/MIN/184245/2020","","Bharathapuzha River Basin kadavu 27","BHARATHAPUZHA RIVER BASIN","Delisted","EC",NA
"108",2,"SIA/KL/MIS/97113/2019","1381(A)/EC2/2019/SEIAA","Constructi","PARK CENTER TECHNOPARK","Under examination of SEIAA - Processed offline","EC",NA
"109",3,"SIA/KL/MIN/31991/2019","","Granite Bu","GRANITE BUILDING STONE OF  DAVID P V","EC Granted - Processed offline","EC",NA
"110",4,"SIA/KL/MIN/219969/2021","1934/EC3/2022/SEIAA","ORDINARY EARTH MINING PROJECT OF MR BIJU K PETER","ORDINARY EARTH MINING PROJECT OF MR BIJU K PETER","EC Granted","EC",NA
"111",5,"SIA/KL/MIN/193498/2021","","chaliyar river basin kadavu 25","CHALIYAR RIVER BASIN","Delisted","EC",NA
"112",6,"SIA/KL/MIN/177504/2020","1864/EC3/2020/SEIAA","Thankappan M M","THANKAPPAN M M","EC Granted","EC",NA
"113",7,"SIA/KL/MIN/143844/2020","1600/EC4/2020/SEIAA","Laterite Building Stone of Mr. Sidhudas. O.K","LATERITE QUARRY OF MR. SIDUDAS. O.K","EC Granted","EC",NA
"114",8,"SIA/KL/MIN/223779/2021","1921/EC4/SEIAA/2021","LATERITE BUILDING STONE QUARRY OF Mr MIRSHAD C.K","LATERITE BUILDING STONE QUARRY OF MR MIRSHAD CK","EC Granted","EC",NA
"115",10,"SIA/KL/MIN/149660/2020","1682/EC1/2020/SEIAA","GRANITE QUARRY OF MUJEEB PK","MUJEEB PK","EC Granted","EC",NA
"116",1,"SIA/KL/MIN/45722/2019","1591/EC4/2020/SEIAA","Silica San","SILICA SAND QUARRY OF SMT S JAYASREE","Agenda Uploaded by SEAC","EC",NA
"117",2,"SIA/KL/MIN/138465/2020","1608/EC1/2020/SEIAA","Granite Building Stone Quarry of Shri. Sathyan. C","SHRI. SATHYAN. C","EC Granted","EC",NA
"118",3,"SIA/KL/MIN/152787/2020","1716/EC1/2020/SEIAA","Mr M V Antoo","M V ANTOO","EC Granted","EC",NA
"119",4,"SIA/KL/MIN/152789/2020","1707/EC6/2020/SEIAA","LATERITE BUILDING STONE QUARRY OF MR MOIDEEN","LATERITE BUILDING STONE QUARRY OF MR MOIDEEN","EC Granted","EC",NA
"120",5,"SIA/KL/MIN/172421/2020","","Conversion TOR to EC Building Stone Quarry of Mr. Babu P","BUILDING STONE QUARRY OF MR BABU P","Pending at PP due to eds","EC",NA
"121",6,"SIA/KL/MIN/234007/2021","2019/EC3/2022/SEIAA","Manoj E S","MANOJ E S","EC Granted","EC",NA
"122",7,"SIA/KL/MIN/40283/2019","1457/EC3/2019/SEIAA","Star Rock","STAR ROCK PRODUCTS PVT LTD AYYAMPUZHA","For further consideration(SEAC)","EC",NA
"123",8,"SIA/KL/MIN/193015/2021","","chaliyar river basin kadavu 14","CHALIYAR RIVER BASIN","Delisted","EC",NA
"124",9,"SIA/KL/MIN/31537/2019","","Quarry pro","JOSE MATHEW","Under examination of SEIAA - Processed offline","EC",NA
"125",10,"SIA/KL/MIN/144152/2020","1392/EC2/2019/SEIAA","Expansion of Existing Building Stone Mine (quarry) project of M/s Cochin Granites Pulickal Associates at Survey Nos. 283, 282/3-1, 282/3-3pt of Mazhuvannoor Village and Survey Nos. 284/1-2, 284/1-3, 2","COCHIN GRANITES PULICKAL ASSOCIATES","EC Granted","EC",NA
"126",1,"SIA/KL/MIS/193790/2021","1892/EC3/2021/SEIAA","Valley View Apartment","M/S NBCC(I) LTD.","Delisted","EC",NA
"127",2,"SIA/KL/MIN/169552/2020","1497/EC1/2019/SEIAA","Granite Building Stone Quarry of M/s MSL Granite (P) Limited.(Conversion- ToR to EC)","GRANITE BUILDING STONE QUARRY OF MR NIZAMUDEEN MANAGING DIRECTOR MSL GRANITES PVT LTD","Rejection Letter Granted","EC",NA
"128",3,"SIA/KL/MIN/205831/2021","1914/EC2/SEIAA/2021","Laterite Building Stone Quarry of Achal","ACHAL R M","EC Granted","EC",NA
"129",4,"SIA/KL/MIN/259608/2022","2121/EC1/2022/SEIAA","KULUKKALLUR GRANITE (BUILDING STONE) QUARRY","OTTAPPALAM TALUK KARINKAL QUARRY OPERATORS INDUSTRIAL CO-OPERATIVE SOCIETY","Request for withdraw","EC",NA
"130",6,"SIA/KL/MIN/182481/2020","","Bharathapuzha River Basin Kadavu 21","BHARATHAPUZHA RIVER BASIN","Delisted","EC",NA
"131",7,"SIA/KL/MIN/58473/2019","1405/EC2/2019/SEIAA","Proposed Building Stone Quarry in Re - Sy. Block No. 37, Re – Sy No. 554/1, 554/5 & 554/6 of Nagaroor village (Kadavilla), Chirayinkeezh Taluk,  Thiruvananthapuram district of Kerala state","ADANI VIZHINJAM PORT PVT LTD","EC Granted","EC",NA
"132",8,"SIA/KL/MIS/73563/2022","1193/EC2/2018/SEIAA","Environment Clearance for proposed Expansion of Mixed Use Township development project to be developed by M/s Calicut Landmark Builders & Developers (India) Pvt. Ltd.","ANVAR SADATH","For further consideration(SEAC)","EC",NA
