,Proposal Number,Project Name,Project Sector,Date of Submission,Submitted by Proponent,Query for Shortcoming(if any) by SEIAA,Resubmission of Proposal by Proponent 1,Accepted by SEIAA and forwarded to SEAC,Query for Shortcoming(if any) by SEAC,Resubmission of Proposal by Proponent 2,Accepted by SEAC,Forwarded to SEIAA for EC,EC Letter Uploaded On/EC Granted
359,SIA/WB/MIN/426857/2023,Chabukya Riverbed Sand Mine,Non-Coal Mining,21 Apr 2023,21/04/2023,,,29/05/2023,,,03/06/2023,,
360,SIA/WB/MIN/64481/2017,"Sand mining projectSRI SAMIRAN BHATTACHARYA Vill- Balihati P.O -Krishnanagar , Via Madpur,  Dist- Paschim Midnapore, PIN-721149",Non-Coal Mining,06 Aug 2017,06/08/2017,12/07/2017,06/08/2017,17/08/2017,,,22/11/2017,31/03/2018,04/04/2018
361,SIA/WB/NCP/72662/2018,Residential cum Commercial Complex,INFRA-1,02 Feb 2018,02/02/2018,,,23/02/2018,,,18/04/2018,20/12/2019,08/01/2020
362,SIA/WB/MIN/180117/2020,Gopiballavpur - I Sand Block MGB - 123 of Ashok kr. Bala.,Non-Coal Mining,22 Oct 2020,22/10/2020,,,01/12/2020,,,10/03/2021,,
363,SIA/WB/NCP/91989/2019,RESIDENTIAL COMPLEX,INFRA-1,11 Feb 2019,11/02/2019,25/01/2019,11/02/2019,18/02/2019,,,25/03/2019,30/01/2021,30/06/2021
364,SIA/WB/NCP/30106/2018,"Setting up New AIIMS, Kalyani at Mouza-Basantpur, JL No.-90 & Mouza- Ghoragacha, JL No.-91, P.S- Chakdah, Dist-Nadia, West Bengal",INFRA-1,04 Dec 2018,04/12/2018,,,,,,,,
365,SIA/WB/INFRA2/449289/2023,Housing Complex by Fort Builders,INFRA-2,11 Nov 2023,11/11/2023,21/11/2023,,,,,,,
366,SIA/WB/NCP/73195/2018,Housing Complex,INFRA-1,24 Feb 2018,24/02/2018,06/03/2018,,,,,,,
367,SIA/WB/MIN/30499/2017,Mokdamnagar Tentulberia China clay and Fire clay mine,Non-Coal Mining,24 Dec 2018,24/12/2018,,,04/01/2019,,,15/01/2019,09/04/2019,12/07/2019
368,SIA/WB/MIN/411221/2022,Bhagwankhali1 Riverbed Sand Mine,Non-Coal Mining,23 Dec 2022,23/12/2022,02/01/2023,,,,,,,
369,SIA/WB/INFRA2/431980/2023,"Construction of Residential Complex of 333 quarters 120 nos. Type-II (G+15), 184 nos. Type –III (G+15), 24 nos. Type-IV + 5 nos. Type-V (G+12), Multipurpose Hall (G+1), Substation building & Enquiry Office (Civil & Electrical) (G+1) and Stilt & Open Car parking including Segregated Garbage Chutes, Internal Water Supply Installation, Sanitary Installation, Electrical Installation and development of site, bulk services at Ultadanga, Kolkata",INFRA-2,02 Jun 2023,02/06/2023,,,14/06/2023,,,23/06/2023,,
370,SIA/WB/MIS/61798/2017,WHITE MEADOWS,INFRA-2,21 Mar 2017,21/03/2017,09/03/2017,21/03/2017,21/03/2017,,,22/03/2017,,
371,SIA/WB/MIN/426791/2023,Patanerchhat Rivebed Sand & gravel Mine,Non-Coal Mining,20 Apr 2023,20/04/2023,,,29/05/2023,,,03/06/2023,,
372,SIA/WB/NCP/52774/2016,"State Convention Centre by WBHIDCO Ltd. at New Town, Kolkata",INFRA-1,12 Apr 2016,12/04/2016,21/04/2016,,,,,,,
373,SIA/WB/MIN/239353/2021,Bishwanathpur-Patna sand mine on Kangshabati River,Non-Coal Mining,23 Nov 2021,23/11/2021,,,,,,,,
374,SIA/WB/MIN/262303/2022,Kansra sand mine,Non-Coal Mining,22 Dec 2022,17/03/2022,29/11/2022,22/12/2022,24/01/2023,,,09/02/2023,,
375,SIA/WB/IND/56059/2019,"Installation of 2 X 20 MT Induction Furnaces with Continuous Caster and 1,48,800 MT/Annum Rolling Mill",Industrial Projects - 1,04 Sep 2020,29/08/2020,02/09/2020,04/09/2020,08/09/2020,,,16/09/2020,21/12/2020,
376,SIA/WB/MIN/261564/2022,Rerapal Sand Mine,Non-Coal Mining,13 Mar 2022,13/03/2022,,,,,,,,
377,SIA/WB/MIS/67618/2017,Residential Development at Thakdari,INFRA-2,21 Sep 2017,21/09/2017,31/08/2017,21/09/2017,21/09/2017,,,18/10/2017,04/12/2017,16/07/2018
378,SIA/WB/MIN/427570/2023,Chopra Riverbed Sand Mine (MIN_UD_04),Non-Coal Mining,29 Apr 2023,29/04/2023,,,06/06/2023,,,12/06/2023,,18/08/2023
379,SIA/WB/NCP/51524/2016,Residential Complex,INFRA-1,11 Mar 2016,11/03/2016,,,18/03/2016,,,11/04/2016,,02/08/2019
380,SIA/WB/MIN/60809/2016,MONIPUR CLAY MINES,Non-Coal Mining,01 Dec 2016,01/12/2016,10/03/2017,,,,,,,
381,SIA/WB/INFRA2/451270/2023,Residential Complex by Teenlok Plaza LLP,INFRA-2,04 Nov 2023,04/11/2023,,,,,,,,
382,SIA/WB/NCP/64044/2017,RESIDENTIAL COMPLEX BY AMITIS DEVELOPERS LLP.,INFRA-1,24 May 2017,24/05/2017,19/04/2017,24/05/2017,25/05/2017,,,29/06/2017,05/12/2017,08/06/2018
383,SIA/WB/MIN/426728/2023,RATANPUR SAND MINE (MIN_BIR_17),Non-Coal Mining,29 Apr 2023,20/04/2023,28/04/2023,29/04/2023,29/05/2023,,,29/05/2023,,28/07/2023
384,SIA/WB/NCP/41576/2016,Residential Complex,INFRA-1,25 Jan 2016,25/01/2016,25/01/2016,25/01/2016,28/01/2016,,,22/02/2016,,
385,SIA/WB/MIS/52296/2016,IDEAL IMPERIA,INFRA-2,29 Mar 2016,29/03/2016,08/04/2016,,,,,,,
386,SIA/WB/NCP/88563/2018,Commercial Complex,INFRA-1,20 Feb 2019,20/02/2019,18/12/2018,20/02/2019,20/02/2019,,,26/02/2019,27/02/2019,14/06/2019
387,SIA/WB/MIS/103146/2019,‘THE 102’ (Proposed B+G+15 Storied Housing Complex),INFRA-2,15 May 2019,15/05/2019,02/05/2019,15/05/2019,21/05/2019,,,01/07/2019,28/11/2019,
388,SIA/WB/MIN/192809/2021,Kotsimul Sand Mine on Mundeswari River-Dibyendu Dey,Non-Coal Mining,04 Feb 2021,04/02/2021,25/02/2021,,,,,,,
389,SIA/WB/MIN/262377/2022,Mayurakhsi River Bed Sand Mine,Non-Coal Mining,30 Mar 2022,30/03/2022,25/04/2022,,,,,,,
390,SIA/WB/MIS/237284/2021,"Proposed Residential Complex by M/s Rishinox Buildwell LLP, at Kalikapur, Rajarhat, Kolkata - 700135, 24 Pgs.(North)",INFRA-2,17 Aug 2022,18/11/2021,17/08/2022,17/08/2022,24/08/2022,,,29/08/2022,,
391,SIA/WB/MIN/262263/2022,Garhbeta Sand Block MGARB-29 of Prabhas Ghosh,Non-Coal Mining,11 Apr 2023,17/03/2022,07/02/2023,11/04/2023,17/04/2023,,,17/04/2023,,
392,SIA/WB/MIS/284307/2022,Residential Complex,INFRA-2,22 Jul 2022,19/07/2022,22/07/2022,22/07/2022,22/07/2022,,,26/07/2022,,17/01/2023
393,SIA/WB/MIS/105643/2019,IDEAL UNIQUE  CENTRE,INFRA-2,29 Jul 2019,29/07/2019,13/06/2019,29/07/2019,29/07/2019,,,23/12/2019,18/01/2021,04/03/2021
394,SIA/WB/MIN/263813/2022,BHABANANDAPUR SAND MINE,Non-Coal Mining,26 Mar 2022,26/03/2022,15/12/2022,,,,,,,
395,SIA/WB/MIN/238751/2021,Crusher Unit of Rudra Crusher,Non-Coal Mining,21 Dec 2021,15/11/2021,24/02/2022,21/12/2021,,,,,,
396,SIA/WB/MIS/233582/2021,Housing Complex,INFRA-2,03 Dec 2021,09/10/2021,29/11/2021,03/12/2021,22/12/2021,,,29/12/2021,25/02/2022,01/04/2022
397,SIA/WB/MIS/102559/2019,The Reserve,INFRA-2,15 May 2019,15/05/2019,02/05/2019,15/05/2019,20/05/2019,,,24/05/2019,15/10/2020,16/12/2020
398,SIA/WB/MIN/264557/2022,GUNDIRIA  SAND MINE,Non-Coal Mining,29 Mar 2022,29/03/2022,15/12/2022,,,,,,,
399,SIA/WB/MIN/190513/2020,"Kanua Brick Earth Mine For M/s Baba Brick Field, Area 3.32 Acres",Non-Coal Mining,29 Dec 2020,29/12/2020,04/01/2021,,,,,,,
400,SIA/WB/MIN/190522/2020,"Gahulapara Brick Earth Mine For M/s K.M.B. Brick Field, Area 3.37 Acres",Non-Coal Mining,30 Dec 2020,30/12/2020,04/01/2021,,,,,,,
401,SIA/WB/MIN/64416/2017,"Sand mining project of shri Rabindra ghoshVillage- Mirzapur, P.O-Sonakonia, P.S- Dantan, Dist- Paschim Midnapore, 
Pin-721456.
",Non-Coal Mining,04 May 2017,04/05/2017,26/05/2017,,,,,,,
402,SIA/WB/MIN/38497/2016,MANNA BRICKS MFG & TRADING PVT LTD,Non-Coal Mining,12 Jan 2016,12/01/2016,11/01/2016,12/01/2016,15/01/2016,,,,,
403,SIA/WB/INFRA2/451548/2023,"Extension of Neotia Getwel Multi Specialty Hospital at Uttarayan Township, Matigara, Siliguri, West Bengal",INFRA-2,10 Nov 2023,08/11/2023,09/11/2023,10/11/2023,10/11/2023,,,20/11/2023,,
404,SIA/WB/NCP/50561/2016,"Construction of Air Traffic Control Tower and Technical Block located at NSCBI Airport, Kolkata by Airport Authority of India",INFRA-1,02 May 2016,02/05/2016,02/06/2016,02/05/2016,,,,,,
405,SIA/WB/INFRA2/442354/2023,"Expansion of commercial project ""QUEST MALL""",INFRA-2,17 Oct 2023,07/09/2023,02/11/2023,17/10/2023,,,,,,
406,SIA/WB/NCP/69658/2017,Office cum Residential Building - Building and Construction Project,INFRA-1,31 Oct 2017,31/10/2017,25/09/2017,31/10/2017,07/11/2017,,,22/11/2017,17/03/2018,31/08/2018
407,SIA/WB/INFRA2/405497/2022,Environmental Clearance for the Proposed VAANYA Residential Complex by PS VINAYAK HEIGHTS LLP ,INFRA-2,10 Nov 2022,05/11/2022,09/11/2022,10/11/2022,14/11/2022,,,16/11/2022,,17/01/2023
408,SIA/WB/IND/58870/2018,"Proposed Expansion of Existing Steel Plant by installation of additional 2x10 tonneInduction Furnace, 1x10 tonne Ladle refining Furnace, 1 no. 2 strand continous Casterand rolling mill of capacity 120000 TPA by M/S Expandable Enterprises Pvt. Ltd.",Industrial Projects - 1,04 Dec 2020,04/12/2020,,,05/01/2021,,,21/01/2021,,
409,SIA/WB/MIN/205681/2021,Becharhat Sand Mine,Non-Coal Mining,29 Mar 2021,29/03/2021,,,14/06/2021,,,,,
410,SIA/WB/IND2/28964/2006,Proposed Expansion of PTA manufacturing capacity by setting up a plant of 1.25 MTPA capacity.,Industrial Projects - 2,29 May 2019,29/05/2019,,,13/06/2019,,,01/07/2019,28/11/2019,19/06/2006
411,SIA/WB/MIN/264837/2022,MM TARAI PART B,Non-Coal Mining,30 Mar 2022,30/03/2022,,,24/02/2023,,,04/03/2023,,
412,SIA/WB/MIS/270950/2022,Residential Complex The 102,INFRA-2,03 May 2022,03/05/2022,,,10/05/2022,,,10/05/2022,,28/11/2022
413,SIA/WB/MIN/192291/2021,Napara & Mashila Brick Earth Mine,Non-Coal Mining,02 Apr 2021,31/01/2021,18/02/2021,02/04/2021,26/04/2021,,,16/11/2021,,
414,SIA/WB/MIN/261410/2022,Baisakhipal Sand Mine,Non-Coal Mining,23 Mar 2022,23/03/2022,,,,,,,,
415,SIA/WB/MIN/186119/2020,Jhanjra Brick Soil Mining Project,Non-Coal Mining,02 Dec 2020,02/12/2020,04/01/2021,,,,,,,
416,SIA/WB/MIN/183457/2020,River Bed Sand Mining Project on Ajay River of Shri Laltu Dutta,Non-Coal Mining,15 Nov 2020,15/11/2020,,,09/12/2020,,,16/04/2021,,
417,SIA/WB/IND/67558/2010,"Proposed Expansion of the existing Steel Plant by installation of 4x30 T Induction Furnaces with 1x40T LRF & two (2-strand each) CCM and enhancement of the capacity of the Rolling Mill from 2,22,000 TPA to 5,02,000 TPA",Industrial Projects - 1,02 Nov 2021,14/09/2021,30/09/2021,02/11/2021,23/11/2021,,,07/12/2021,,
418,SIA/WB/IND/61759/2019,"Proposed Expansion for Production of M.S. Ingots/Billets by installation of Induction Furnace at Village: Suboljote, P.O Nemai, Via Matigara, P.S –Matigara, Darjeeling, by North East Ferro Alloys’ Co. Pvt. Ltd",Industrial Projects - 1,07 May 2021,07/05/2021,,,30/06/2021,,,25/07/2021,,
419,SIA/WB/MIN/263936/2022,PARULBERIA SAND MINE,Non-Coal Mining,26 Mar 2022,26/03/2022,,,22/02/2023,,,27/02/2023,,
420,SIA/WB/IND/35205/2018,"Expansion from 90,000 TPA steel billets and 1,62.000 TPA Wire rods to 1,92,000 TPA Wire rods and 60,000 TPA HB wire",Industrial Projects - 1,26 Apr 2019,26/04/2019,,,26/04/2019,,,10/05/2019,30/05/2019,19/02/2021
421,SIA/WB/MIN/231396/2021,Gopiballavpur - II Sand Block MGB - 92 of Tanay Maity,Non-Coal Mining,25 Sep 2021,25/09/2021,,,,,,,,
422,SIA/WB/MIN/189797/2020,M/s Ajanta Brick Field,Non-Coal Mining,31 Dec 2020,31/12/2020,06/12/2021,,,,,,,
423,SIA/WB/MIN/189916/2020,M/s Oriental Brick Field,Non-Coal Mining,16 Jan 2021,16/01/2021,19/11/2021,,,,,,,
424,SIA/WB/MIN/186341/2020,Berada Quartz Mine,Non-Coal Mining,05 Dec 2020,05/12/2020,04/02/2021,,,,,,,
425,SIA/WB/MIN/408470/2022,Bataliguri River bed Sand Mine,Non-Coal Mining,04 Dec 2022,04/12/2022,,,30/12/2022,,,02/01/2023,,
426,SIA/WB/MIN/412412/2022,MIRMI QUARTZ AND FELDSPAR MINE,Non-Coal Mining,03 Feb 2023,28/12/2022,18/01/2023,03/02/2023,17/03/2023,,,21/03/2023,,16/10/2023
427,SIA/WB/INFRA2/413217/2023,Environmental Clearance for Proposed Residential Complex of ‘DTC CAPITAL CITY’  by DTC PROJECTS PVT. LTD ,INFRA-2,07 Jan 2023,07/01/2023,,,18/01/2023,,,24/01/2023,,07/07/2023
428,SIA/WB/MIN/408331/2022,M M SAND BLOCK    (Part- D),Non-Coal Mining,28 Nov 2022,28/11/2022,18/01/2023,,,,,,,
429,SIA/WB/MIN/64758/2017,"Sudipta Bose
Paschim Dangapara Sand Mine
14.95 Acre 6.05 Ha",Non-Coal Mining,04 Jul 2017,04/07/2017,01/06/2017,04/07/2017,12/07/2017,,,22/08/2017,14/04/2018,20/12/2017
430,SIA/WB/NCP/62436/2017,"Expansion of ""THE 42"" (A GREEN BUILDING PROJECT) ",INFRA-1,20 Mar 2017,20/03/2017,09/03/2017,20/03/2017,21/03/2017,,,17/04/2017,,
431,SIA/WB/NCP/58991/2016,RESIDENTIAL CUM COMMERCIAL COMPLEX,INFRA-1,26 Sep 2016,26/09/2016,16/09/2016,26/09/2016,28/09/2016,,,18/10/2016,18/08/2017,18/02/2021
432,SIA/WB/INFRA2/448565/2023,Residential Complex - Bungalows with Club by Raghabpur Projects LLP,INFRA-2,13 Oct 2023,13/10/2023,,,06/11/2023,,,06/11/2023,,
433,SIA/WB/MIN/411215/2022,KOTALSOL SAND MINE,Non-Coal Mining,18 Dec 2022,18/12/2022,,,02/01/2023,,,16/01/2023,,
434,SIA/WB/MIN/453237/2023,MIN_BNK_16_B,Non-Coal Mining,24 Nov 2023,24/11/2023,,,28/11/2023,,,,,
435,SIA/WB/MIS/76654/2018,Ideal Unique Centre,INFRA-2,05 Sep 2018,05/09/2018,28/08/2018,05/09/2018,05/09/2018,,,07/09/2018,19/09/2018,13/03/2019
436,SIA/WB/INFRA2/423737/2023,Residential Complex by Belmont Devcon Pvt. Ltd.,INFRA-2,29 Mar 2023,29/03/2023,28/04/2023,,,,,,,
437,SIA/WB/NCP/17770/2016,IDEAL IMPERIA,INFRA-1,16 Nov 2016,16/11/2016,,,21/11/2016,,,21/11/2016,17/01/2017,
438,SIA/WB/NCP/19321/2016,Construction Project (Housing Complex),INFRA-1,08 May 2017,08/05/2017,,,01/06/2017,,,17/07/2017,05/12/2017,16/07/2018
439,SIA/WB/MIS/71213/2017,INDIAN CRAFT VILLAGE TRUST,INFRA-2,23 Jan 2018,23/01/2018,12/12/2017,23/01/2018,14/03/2018,,,16/03/2018,,
440,SIA/WB/MIN/179547/2020,Bagbari Brick Soil Mining Project,Non-Coal Mining,17 Oct 2020,17/10/2020,10/01/2021,,,,,,,
441,SIA/WB/MIN/263224/2022,ULIARA SAND MINE,Non-Coal Mining,24 Mar 2022,24/03/2022,,,23/02/2023,,,27/02/2023,,
442,SIA/WB/MIN/263543/2022,HIJAL SAND MINE,Non-Coal Mining,25 Mar 2022,25/03/2022,12/12/2022,,,,,,,
443,SIA/WB/MIN/415104/2023,Mahishmuri Sand Mine Project,Non-Coal Mining,20 Jan 2023,20/01/2023,,,24/02/2023,,,04/03/2023,,
444,SIA/WB/NCP/54046/2016,Residential Complex,INFRA-1,24 May 2016,24/05/2016,,,01/06/2016,,,,,18/02/2020
445,SIA/WB/MIN/423315/2023,Jorpatki Sand Mine (MIN_CB_14),Non-Coal Mining,27 Mar 2023,27/03/2023,,,27/03/2023,,,27/03/2023,,28/04/2023
446,SIA/WB/INFRA2/442212/2023,"Environmental Clearance for Proposed Mercantile-Assembly Building- ""One Victoria"" By M/s. Revera Milk and Foods Private Limited at Premises No - 02-0178, Plot No. CF/2, Action Area-1, Newtown, Kolkata-700156",INFRA-2,28 Aug 2023,28/08/2023,,,05/09/2023,,,11/09/2023,,10/11/2023
447,SIA/WB/NCP/64950/2017,Residential Complex - Building and Construction Project,INFRA-1,05 Jun 2017,05/06/2017,26/05/2017,05/06/2017,09/06/2017,,,14/06/2017,18/08/2017,28/11/2017
448,SIA/WB/MIN/437788/2023,Gopalpur Sand Mine (MIN_UD_5),Non-Coal Mining,23 Jul 2023,23/07/2023,,,27/07/2023,,,28/07/2023,,05/10/2023
449,SIA/WB/MIN/435836/2023,Kunidanga Sand Mine (MIN_CB_7),Non-Coal Mining,06 Jul 2023,06/07/2023,,,19/07/2023,,,21/07/2023,,05/10/2023
450,SIA/WB/MIN/51352/2016,Malti Fire Clay,Non-Coal Mining,09 Mar 2016,09/03/2016,,,18/03/2016,,,30/03/2016,11/04/2017,18/07/2016
451,SIA/WB/MIN/439952/2023,Echhay Khasmahal Sand Mine (MIN_KPG_1),Non-Coal Mining,10 Aug 2023,10/08/2023,,,28/08/2023,,,31/08/2023,,01/12/2023
452,SIA/WB/NCP/29804/2018,"""Emami City""",INFRA-1,07 Nov 2018,07/11/2018,,,12/11/2018,,,16/11/2018,27/02/2019,13/03/2019
453,SIA/WB/NCP/19950/2016,RESIDENTIAL PROJECT,INFRA-1,27 Jul 2017,27/07/2017,,,23/08/2017,,,07/09/2017,08/11/2017,
454,SIA/WB/NCP/61755/2017,Residential Complex - Building and Construction Project,INFRA-1,08 May 2017,08/05/2017,09/03/2017,08/05/2017,25/05/2017,,,29/06/2017,04/12/2017,10/03/2023
455,SIA/WB/NCP/61483/2017,Housing Complex- Building and Construction Project,INFRA-1,12 Apr 2017,12/04/2017,14/03/2017,12/04/2017,26/04/2017,,,11/05/2017,,
456,SIA/WB/NCP/57546/2016,"Business (Office Building) Building of ONGC
",INFRA-1,26 Jul 2016,26/07/2016,22/07/2016,26/07/2016,03/08/2016,,,12/08/2016,11/01/2017,08/12/2016
457,SIA/WB/MIN/427698/2023,Paschim Gabindapur Riverbed Sand Mine (MIN_UD_08),Non-Coal Mining,01 May 2023,01/05/2023,,,21/06/2023,,,23/06/2023,,29/08/2023
458,SIA/WB/IND3/439885/2023,"Environmental Clearance for Proposed Synthetic Resin Production Plant (UF Resin & MF Resin) by M/s Bansal Udyog at Rahimpur More, Ethelbari, District: Alipurduar, State: West Bengal, PIN-735204",Industrial Projects - 3,30 Oct 2023,25/08/2023,28/08/2023,30/10/2023,02/11/2023,,,06/11/2023,,
459,SIA/WB/NCP/67607/2017,Residential and Assembly Building,INFRA-1,22 Sep 2017,22/09/2017,31/08/2017,22/09/2017,25/09/2017,,,07/11/2017,10/01/2022,01/04/2022
460,SIA/WB/INFRA2/440103/2023,Environmental Clearance for Housing Complex by  M/s DTC Projects Pvt. Ltd. (Under Violation Category),INFRA-2,23 Aug 2023,23/08/2023,,,28/08/2023,,,31/08/2023,,
461,SIA/WB/INFRA2/415460/2023,Residential Complex By Ullahas Nandini Udyog Pvt. Ltd.,INFRA-2,06 Feb 2023,21/01/2023,30/01/2023,06/02/2023,08/02/2023,,,10/02/2023,,05/07/2023
462,SIA/WB/NCP/58675/2016,Residential Cum Commercial Complex,INFRA-1,12 Sep 2016,12/09/2016,08/09/2016,12/09/2016,16/09/2016,,,23/09/2016,22/06/2017,16/10/2019
463,SIA/WB/NCP/57949/2016,M/s. Srinivaas Infra Developers Pvt. Ltd.,INFRA-1,22 Aug 2016,22/08/2016,03/08/2016,22/08/2016,22/08/2016,,,05/09/2016,16/01/2017,
464,SIA/WB/MIN/453800/2023,Onda Riverbed Sand Mine (MIN_BNK_47) ,Non-Coal Mining,30 Nov 2023,30/11/2023,,,01/12/2023,,,,,
465,SIA/WB/MIN/425791/2023,Bhulka Riverbed Sand & stone mining project,Non-Coal Mining,17 Apr 2023,17/04/2023,,,23/05/2023,,,,,
466,SIA/WB/NCP/70229/2017,Residential Cum Commercial Complex–Mixed Use Development,INFRA-1,02 Nov 2017,02/11/2017,18/10/2017,02/11/2017,03/11/2017,,,07/11/2017,17/03/2018,
467,SIA/WB/MIN/63172/2017,CHANDI CHARAN PORAL,Non-Coal Mining,15 Mar 2017,15/03/2017,,,21/03/2017,,,29/03/2017,,
468,SIA/WB/NCP/25831/2017,IA/WB/NCP/63814/2017,INFRA-1,24 Apr 2018,24/04/2018,,,04/05/2018,,,26/07/2018,02/08/2018,13/06/2019
469,SIA/WB/MIN/206931/2021,M/s Isha Brick Field,Non-Coal Mining,30 Mar 2021,30/03/2021,,,,,,,,
470,SIA/WB/INFRA2/430463/2023,Residential Complex,INFRA-2,24 May 2023,24/05/2023,,,31/05/2023,,,03/06/2023,,
471,SIA/WB/NCP/73874/2018,"Residential Complex - ""SUNRISE AURA""",INFRA-1,22 Apr 2019,22/04/2019,25/01/2019,22/04/2019,02/05/2019,,,10/05/2019,06/08/2021,22/12/2021
472,SIA/WB/IND1/400440/2022,"4 x 20 Tonnes Induction furnaces with Ladle Refining Furnace, CCM and expansion of Wire Rod/Rolling Mill capacity from 1,20,000 to 2,50,000 TPA",Industrial Projects - 1,13 Jan 2023,29/10/2022,03/01/2023,13/01/2023,16/01/2023,,22/12/2022,16/01/2023,,28/04/2023
473,SIA/WB/MIN/452765/2023,Chaitpur Sand Mine,Non-Coal Mining,21 Nov 2023,21/11/2023,,,01/12/2023,,,,,
474,SIA/WB/MIN/435402/2023,Betgara Sand Mine (MIN_JPG_14),Non-Coal Mining,02 Jul 2023,02/07/2023,,,13/07/2023,,,14/07/2023,,20/09/2023
475,SIA/WB/NCP/80815/2018,Desun Hospital,INFRA-1,22 Jan 2019,22/01/2019,17/01/2019,22/01/2019,24/01/2019,,,01/02/2019,13/03/2019,08/01/2020
476,SIA/WB/NCP/63247/2017,Madhukali Aamarbari,INFRA-1,27 Mar 2017,27/03/2017,22/03/2017,27/03/2017,27/03/2017,,,27/03/2017,,
477,SIA/WB/MIN/412358/2022,RAIDIH GRANITE MINE,Non-Coal Mining,03 Feb 2023,28/12/2022,20/01/2023,03/02/2023,09/03/2023,,,21/03/2023,,
478,SIA/WB/INFRA2/409183/2022,Residential Building by Avikam Buildcon LLP,INFRA-2,09 Dec 2022,09/12/2022,,,22/12/2022,,,27/12/2022,,30/05/2023
479,SIA/WB/INFRA2/419459/2023,RESIDENTIAL PROJECT,INFRA-2,06 Mar 2023,06/03/2023,,,15/03/2023,,,21/03/2023,,18/07/2023
480,SIA/WB/NCP/53030/2016,RESIDENTIAL COMPLEX BY AKSHAY VINIMAY PVT. LTD.,INFRA-1,10 May 2016,10/05/2016,22/04/2016,10/05/2016,18/05/2016,20/07/2016,30/01/2017,31/05/2019,31/05/2019,05/08/2019
481,SIA/WB/NCP/60532/2016,5 Star Hotels And Service Apartments,INFRA-1,23 Nov 2016,23/11/2016,23/11/2016,23/11/2016,24/11/2016,,,24/11/2016,16/01/2017,08/12/2016
482,SIA/WB/MIN/426965/2023,Kashipur Sand Mine (MIN_PUR_18),Non-Coal Mining,24 Apr 2023,24/04/2023,,,23/05/2023,,,29/05/2023,,28/07/2023
483,SIA/WB/NCP/81180/2018,Residential Complex,INFRA-1,04 Oct 2018,04/10/2018,04/10/2018,04/10/2018,04/10/2018,,,04/10/2018,11/12/2018,13/03/2019
484,SIA/WB/MIN/422343/2023,MIN_BNK_32 Sand Mine,Non-Coal Mining,31 Mar 2023,31/03/2023,,,04/04/2023,,,10/04/2023,,02/06/2023
485,SIA/WB/INFRA2/412262/2022,Proposed Expansion of Residential Complex RISHI PRANAYA by M/s. Rishinox Buildwell LLP,INFRA-2,28 Dec 2022,28/12/2022,,,03/01/2023,,,06/01/2023,,07/07/2023
486,SIA/WB/MIN/437414/2023,Jaypur Sand Mine (MIN_WMED_10),Non-Coal Mining,20 Jul 2023,20/07/2023,,,25/07/2023,,,28/07/2023,,05/10/2023
487,SIA/WB/MIN/408474/2022,MANJILAJHAR  Part - 1,Non-Coal Mining,29 Nov 2022,29/11/2022,,,23/12/2022,,,02/01/2023,,
488,SIA/WB/INFRA2/423978/2023,"Residential Complex by Ajay Banerjee, Sanjay Banerjee, Malay Banerjee",INFRA-2,30 Mar 2023,30/03/2023,,,13/04/2023,,,17/04/2023,,
489,SIA/WB/MIN/422470/2023,RIVER BED SAND MINING (BLOCK ID – MIN_BNK_55C) ON DWARAKESWAR RIVER,Non-Coal Mining,17 Mar 2023,17/03/2023,,,27/03/2023,,,27/03/2023,,28/04/2023
490,SIA/WB/MIN/415405/2023,Ghoramara riverbed Sand Mine,Non-Coal Mining,23 Jan 2023,23/01/2023,,,24/02/2023,,,04/03/2023,,
491,SIA/WB/NCP/53811/2016,Belle Vue Clinic-Eye Hospital Building and Nursing School & College Building,INFRA-1,25 May 2016,25/05/2016,23/05/2016,25/05/2016,27/05/2016,,,17/06/2016,,
492,SIA/WB/NCP/70409/2017,Mercantile (Retail) cum Business Building - Building and Construction project,INFRA-1,30 Oct 2017,30/10/2017,25/10/2017,30/10/2017,03/11/2017,,,07/11/2017,31/03/2018,
493,SIA/WB/NCP/75755/2018,RESIDENTIAL COMPLEX BY SMART VANIJYA PRIVATE LIMITED,INFRA-1,15 Sep 2018,15/09/2018,24/07/2018,15/09/2018,17/09/2018,,,29/09/2018,,
494,SIA/WB/INFRA2/408662/2022,Residential Complex by Oswal Residential Buildings LLP,INFRA-2,03 Dec 2022,03/12/2022,,,12/12/2022,,,19/12/2022,,27/04/2023
495,SIA/WB/INFRA2/402821/2022,DTC CAPITAL CITY,INFRA-2,25 Nov 2022,13/10/2022,24/11/2022,25/11/2022,25/11/2022,,,28/11/2022,,
496,SIA/WB/MIN/59762/2016,Mondala Bhatina Clay mines,Non-Coal Mining,17 Oct 2016,17/10/2016,,,,,,,,
497,SIA/WB/IND/19480/2016,Installation of 2 X 20 MT Induction Furnaces with Ladle Refining Furnace and 100000 MTPA Rolling Mill,Industrial Projects - 1,27 May 2017,27/05/2017,,,02/06/2017,,,14/06/2017,22/06/2017,17/08/2017
498,SIA/WB/NCP/75766/2018,Housing Complex-Building & Construction Project,INFRA-1,31 Aug 2018,31/08/2018,24/07/2018,31/08/2018,05/09/2018,,,10/09/2018,,
