"","X","Proposal.No.","File.No.","Project.Name","Company","Proposal.Status","Project.Type","View"
"38",9,"SIA/JH/IND/39010/2019","EC/SEIAA/2018-19/2167/2019","Enhancement in production from 123900 TPA (350 TPD) to 274068 TPA (828 TPD) of M/S Billet and TMT bar of 246926 TPA (746 TPD) by installation of four no. of induction  furnace of capacity 15 TPH, two rolling mill of capacity 371 TPD & 375 TPD and  installation of 2 induction slag grinder of 47000 TPA of M/s Balmukund Sponge and Iron Private Limited (Mega Division) at Manjhiladih, Chatro Tundi Road, P.O. Gadisrirampur, Dist. Giridih (Jharkhand)","BALMUKUND SPONGE AND IRON PRIVATE LIMITED","EC Granted","EC",NA
"39",10,"SIA/JH/MIN/238394/2021","EC/SEIAA/2021-22/2484/2021","Betakocha Brick Clay Mining - M/s Anil Bricks","M/S ANIL  BRICKS","EC Granted","EC",NA
"40",1,"SIA/JH/MIN/43310/2019","EC/SEIAA/2018-19/2185/2019","M/s Kashi Builders & Services Private Limited","MS CRYSTAL CONSULTANTS","EC Granted","EC",NA
"41",2,"SIA/JH/MIN/43600/2019","EC/SEIAA/2018-19/2181/2019","MUSNA STONE MINE","MUSNA STONE MINE    SIO MANDAL","EC Granted","EC",NA
"42",3,"SIA/JH/MIN/204768/2021","","Kudlum Brick Soil Mining M/s R.S.S. Brick Clay Mining Project","M/S R.S.S. BRICKS","WithdrawEC","EC",NA
"43",4,"SIA/JH/MIN/234471/2021","EC/SEIAA/2021-22/2450/2021","Nawa Bazar Stone Mine","M/S JAI MATA DI STONE WORKS","EC Granted","EC",NA
"44",5,"SIA/JH/MIN/279717/2022","","Dandila Stone Deposit","ANIMESH AGRAWAL","Delisted","EC",NA
"45",6,"SIA/JH/MIS/279518/2022","EC/SEIAA/2022-23/2622/2022","Group Housing Project ATC Extension","M/S RUKMANI PROPERTY PROJECT PVT. LTD","EC Granted","EC",NA
"46",7,"SIA/JH/MIN/254177/2022","EC/SEIAA/2021-22/2491/2021","Darkhuli Brick Earth Deposit","SUDIPTA GIRI","EC Granted","EC",NA
"47",8,"SIA/JH/MIN/202944/2021","","RAMESHWAR MAHTO STONE MINE","RAMESHWAR MAHTO STONE MINE","WithdrawEC","EC",NA
"48",9,"SIA/JH/MIN/204200/2021","","Madhavpur Brick Clay Mining M/s Balajee Bricks Brick Clay Mining ProjectVillage-Madhavpur, P.S. Boram, District- East- Singhbhum, Jharkhand.","M/S BALAJEE  BRICKS","Delisted","EC",NA
"49",10,"SIA/JH/MIN/250232/2022","EC/SEIAA/2021-22/2467/2021","GILAMARI STONE MINE","CRYSTAL CONSULTANTS","EC Granted","EC",NA
"50",1,"SIA/JH/MIN/255473/2022","EC/SEIAA/2022-23/2759/2023","Kalupara Stone Mine with Crusher at Mauza- Kalupara, Thana-  07, Thana- Mahespur, Anchal- Mahespur, District- Pakur Jharkhand","MOR MUKET MARKETING PRIVATE LIMITED","EC Granted","EC",NA
"51",3,"SIA/JH/MIN/183563/2020","","Phutkadih Stone Deposit of M/s Jharkhand Stone Works","OVERSEAS MIN-TECH CONSULTANTS","Delisted","EC",NA
"52",4,"SIA/JH/MIN/45125/2019","EC/SEIAA/2018-19/2248/2019","Brick Soil Mining Project For M/s Sars Bricks","CRYSTAL CONSULTANTS","EC Granted","EC",NA
"53",5,"SIA/JH/MIN/210039/2021","EC/SEIAA/2021-22/2362/2021","Saharpur Stone Deposit","M/S SHREE SHREE STONE WORKS","EC Granted","EC",NA
"54",6,"SIA/JH/MIN/232837/2021","EC/SEIAA/2021-22/2464/2021","HURINGDAG STONE MINE","CRYSTAL CONSULTANTS","EC Granted","EC",NA
"55",8,"SIA/JH/MIN/42317/2019","EC/SEIAA/2018-19/2230/2019","Tetriya stones deposit","TETRIYA STONE DEPOSIT","EC Granted","EC",NA
"56",9,"SIA/JH/MIN/141405/2020","","sakchi traders/ rks bricks","SAKCHI TRADERS/ RKS BRICKS","Delisted","EC",NA
"57",10,"SIA/JH/MIN/183700/2020","","Pichhri Stone Deposit of Sri Bhagwan Singh","OVERSEAS MIN-TECH CONSULTANTS","Delisted","EC",NA
"58",1,"SIA/JH/MIS/121767/2019","EC/SEIAA/2018-19/2272/2019","Vibgyor Estates & High Street Enterprises","CRYSTAL CONSULTANTS","EC Granted","EC",NA
"59",2,"SIA/JH/MIN/45132/2019","EC/SEIAA/2018-19/2246/2019","Brick Soil Mining For M/s JRB Bricks (Unit – I) (Minor Mineral)","CRYSTAL CONSULTANTS","EC Granted","EC",NA
"60",3,"SIA/JH/MIN/45138/2019","EC/SEIAA/2018-19/2245/2019","Brick Soil Mining For M/s Naaj Bricks (Minor Mineral)","CRYSTAL CONSULTANTS","EC Granted","EC",NA
"61",4,"SIA/JH/MIN/276716/2022","EC/SEIAA/2022-23/2599/2022","HUTUKDAG STONE MINE WITH CRUSHER","ALI KHAN","EC Granted","EC",NA
"62",5,"SIA/JH/MIN/192216/2021","","CHANDANPUR BRICK EARTH DEPOSIT OF M/s.- STAR BRICKS","VISION EARTH CONSULTANCY","Delisted","EC",NA
"63",6,"SIA/JH/MIN/220061/2021","","BARAJORI STONE MINE OF M/S JHARKHAND STONE WORKS","M/S JHARKHAND STONE WORKS","Delisted","EC",NA
"64",7,"SIA/JH/MIN/208097/2021","EC/SEIAA/2021-22/2340/2021","SALBONA PAHAR STONE MINE OF M/S SHRI PARASNATH INDUSTRIES","SALBONAPAHAR STONE MINE OF M/S SHRI PARASNATH INDUSTRIES","EC Granted","EC",NA
"65",8,"SIA/JH/MIN/236655/2021","EC/SEIAA/2021-22/2557/2021","M/S A.D.S. BRICKS  IN MOUZA HOCHAR, PROPRIETOR: SRI SOMESHWAR GOPE","CRYSTAL CONSULTANTS","EC Granted","EC",NA
"66",9,"SIA/JH/MIN/231940/2021","EC/SEIAA/2021-22/2441/2021","SHAHPUR STONE MINE","M/S SRI RAM CONSTRUCTION","EC Granted","EC",NA
"67",10,"SIA/JH/MIN/252895/2022","EC/SEIAA/2021-22/2542/2022","GILAMARI STONE DEPOSIT OF M/S ALOK STONE","ALOK RANJAN","EC Granted","EC",NA
"68",1,"SIA/JH/MIN/43887/2019","EC/SEIAA/2018-19/2196/2019","Belbhadri Stone Deposit","BELBHADRI STONE DEPOSIT MS PAHARIYA STONE WORKS","EC Granted","EC",NA
"69",2,"SIA/JH/MIN/32729/2019","EC/SEIAA/2018-19/2104/2018","Atkadih Stone mine","DILIP BUILDCON LTD. ATKADIH STONE MINE","EC Granted","EC",NA
"70",3,"SIA/JH/MIN/214796/2021","EC/SEIAA/2021-22/2343/2021","M/S SHUBHAM ENGINEERING STONE COMPANY OF SHRI DURYODHAN MAHTO AND PARTNERS, MOUZA - KULGO, BLOCK - DUMRI, DISTRICT - GIRIDIH, STATE - JHARKHAND","M/S SHUBHAM ENGINEERING STONE COMPANY","EC Granted","EC",NA
"71",4,"SIA/JH/MIN/215166/2021","EC/SEIAA/2021-22/2392/2021","NARAYANI STONE & MORUM MINES AND CRUSHER OF SHRI UMAKANT PRASAD JAISWAL","NARAYANI STONE & MORUM MINE AND CRUSHER","EC Granted","EC",NA
"72",5,"SIA/JH/MIN/215073/2021","EC/SEIAA/2021-22/2385/2021","NASIM ANSARI STONE MINES OF MD. NASIM ANSARI","NASIM ANSARI STONE MINES","EC Granted","EC",NA
"73",6,"SIA/JH/MIN/213236/2021","EC/SEIAA/2021-22/2326/2021","LOWAPARA STONE MINE OF SHRI DILIP KUMAR MODI","LOWAPARA STONE MINE OF SHRI DILIP KUMAR MODI","EC Granted","EC",NA
"74",7,"SIA/JH/MIN/215182/2021","","Agardih Mandhaniya Stone Mine","MD AZAD","Delisted","EC",NA
"75",8,"SIA/JH/MIN/233399/2021","EC/SEIAA/2021-22/2463/2021","kukukala stone mine(1.56 ha)","M/S MALA KUMAR ENGINEERS PVT. LTD.","EC Granted","EC",NA
"76",9,"SIA/JH/MIN/259802/2022","EC/SEIAA/2021-22/2558/2021","Duari Brick Clay Mining M/s Sushma Bricks Industries","MS SUSMA BRICKS","EC Granted","EC",NA
"77",10,"SIA/JH/MIN/45383/2019","EC/SEIAA/2018-19/2275/2019","SIULIDANGA STONE MINE","MS N.J.P. STONE WORKS, SIULIDANGA STONE MINE","EC Granted","EC",NA
"78",1,"SIA/JH/MIN/186489/2020","EC/SEIAA/2021-22/2366/2021","Medho Chaparkho Stone Deposit","M/S LANGTA BABA STONE MINES","EC Granted","EC",NA
"79",2,"SIA/JH/MIN/200841/2021","","Nengtasai Brick Clay Mining, Village - Nengtasai, P.S. - Saraikela, P.S. No.- 143, District -  Saraikela- Kharsawan  State – Jharkhand.","JYOTI BRICKS & ENTERPRISES","Delisted","EC",NA
"80",3,"SIA/JH/RIV/271834/2022","","Engineering, Procurement and Construction (EPC) work of Sone-Kanhar Underground Pipe Line (SKUGPL) Project on Design, Build, Operate & Transfer (DBOT) basis","WATER RESOURCES DEPARTMENT","Delisted","EC",NA
"81",4,"SIA/JH/MIN/271654/2022","EC/SEIAA/2022-23/2721/2023","Srirampur Stone Deposit","SUMIT SADHWANI","EC Granted","EC",NA
"82",5,"SIA/JH/MIS/290992/2022","EC/SEIAA/2022-23/2643/2022","Expansion of  proposed project “lnfinity Sapphire Square/Mall of Ranchi”","BIJAY AGARWAL","EC Granted","EC",NA
"83",6,"SIA/JH/MIN/204432/2021","","Dobo Brick Clay Mining M/s P.K.S. Bricks   Clay Mining Project Khata No. – 222, Plot No. – 565 & 601, Area 0.874 HA (2.16Ac) For production capacity 2000 CUM per annum, Village- Dobo, P.S. Chandil, Thana No.-331, District- Saraikela-Kharsawan, Jharkh","M/S P.K.S. BRICKS","Delisted","EC",NA
"84",7,"SIA/JH/MIS/277745/2022","EC/SEIAA/2022-23/2597/2022","Proposed development of “PADMABATI DEVI HOSPITAL”","PADMABATI DEVI MULTISPECIALITY HOSPITAL PRIVATE LIMITED","EC Granted","EC",NA
"85",8,"SIA/JH/MIS/216050/2021","EC/SEIAA/2021-22/2388/2021","Proposed Residential Project “Privilege Home”  at Khata No. 08 & 27, Plot No. 839(Part) & 840(Part), Thana No. 193, Village-Briyatu, Dist. Ranchi, Jharkhand by Privilege CCL Employees Girh Nirman Swawlambi Sahkari Samiti Ltd.","M/S PRIVILEGE CCL EMPLOYEES GIRH NIRMAN SWAWLAMBI SAHKARI SAMITI LTD.","EC Granted","EC",NA
"86",9,"SIA/JH/MIN/221013/2021","EC/SEIAA/2021-22/2380/2021","GANESHPUR STONE DEPOSIT OF M/S FRIENDS STONE MINES","GANESHPUR STONE DEPOSIT OF M/S FRIENDS STONE MINES","EC Granted","EC",NA
"87",10,"SIA/JH/MIN/222049/2021","EC/SEIAA/2021-22/2394/2021","MUSNA STONE MINE OF M/S MAA KALI STONE","MUSNA STONE MINE OF M/S MAA KALI STONE","EC Granted","EC",NA
"88",2,"SIA/JH/MIN/45251/2019","EC/SEIAA/2018-19/2270/2019","Brick Soil Mining For M/s M.B.C. Bricks","CRYSTAL CONSULTANTS","EC Granted","EC",NA
"89",3,"SIA/JH/MIN/45505/2019","","Brick Soil Mining For M/s R.K. Bricks Mouza Okra Ambatoli","CRYSTAL CONSULTANTS","Delisted","EC",NA
"90",4,"SIA/JH/MIN/199223/2021","EC/SEIAA/2021-22/2353/2021","Jamuasol Stone Deposit","CRYSTAL CONSULTANTS","EC Granted","EC",NA
"91",5,"SIA/JH/MIN/227860/2021","EC/SEIAA/2021-22/2417/2021","AMJHAR STONE DEPOSIT of M/s KATYAYNI","VISION EARTH CONSULTANCY","EC Granted","EC",NA
"92",6,"SIA/JH/MIN/44851/2019","EC/SEIAA/2018-19/2240/2019","M/s Mandhan Minerals Corporation","MS CRYSTAL CONSULTANTS","EC Granted","EC",NA
"93",7,"SIA/JH/MIN/44979/2019","EC/SEIAA/2018-19/2268/2019","Tharghat Brick Clay Mine","THARGHAT BRICK CLAY MINE","EC Granted","EC",NA
"94",8,"SIA/JH/MIN/45037/2019","EC/SEIAA/2018-19/2267/2019","Hathidari Stone Deposit","M/S. A.S.R.STONE WORKS","EC Granted","EC",NA
"95",9,"SIA/JH/MIN/45099/2019","EC/SEIAA/2018-19/2254/2019","Brick Soil Mining For M/s Guru Bricks (Minor Mineral)","CRYSTAL CONSULTANTS","EC Granted","EC",NA
"96",10,"SIA/JH/MIN/45102/2019","EC/SEIAA/2018-19/2253/2019","Brick Soil Mining For M/s Nain Bricks","CRYSTAL CONSULTANTS","EC Granted","EC",NA
"97",2,"SIA/JH/MIN/204818/2021","","Bricks Clay Mining Project Khata No. – 493 Plot No. – 1476 & 1485 Part Area 2.145 Acres (0.868 Ha.) For production capacity 1200 CUM per annum, Village - Bangurda, P.S. – Patamda (80), District - East-Singhbhum,  State – Jharkhan","M/S DEEP BRICKS","Delisted","EC",NA
"98",3,"SIA/JH/MIN/68198/2021","EC/SEIAA/2022-23/2445/2022","Basmata Stone Mining Project (under cluster)","M/S HEENA STONE WORKS","EC Granted","EC",NA
"99",5,"SIA/JH/MIN/185181/2020","","Gadwa stone Deposite mine","MAHALAXMI CRUSHER AND LOGISTICS","Delisted","EC",NA
"100",6,"SIA/JH/MIN/164615/2020","","555 BRICKS","555 BRICKS","Delisted","EC",NA
"101",7,"SIA/JH/MIN/209763/2021","EC/SEIAA/2021-22/2347/2021","POKHARIA STONE MINE OF M/S MEWAR ENTERPRISES","POKHARIA STONE MINE OF M/S MEWAR ENTERPRISES","Delisted","EC",NA
"102",8,"SIA/JH/MIS/252716/2022","EC/SEIAA/2021-22/2477/2021","Proposed Residential Building “ BASARGARH HERITAGE” by NEWQONETIC TRADECOM LLP","MANOJ SINGH","EC Granted","EC",NA
"103",9,"SIA/JH/MIN/40690/2019","EC/SEIAA/2018-19/2156/2019","Kulbhanga Stone Deposit","KULBHANGA STONE MINING PROJECT","EC Granted","EC",NA
"104",10,"SIA/JH/MIN/40679/2019","EC/SEIAA/2018-19/2151/2019","POKHARIA STONE MINE","POKHARIA STONE MINE  SHRI PRATYUSDHAR JHA","EC Granted","EC",NA
"105",1,"SIA/JH/MIN/232564/2021","EC/SEIAA/2021-22/2447/2021","Srirampur Stone Mine","M/S RAJIV RANJAN PANDEY","EC Granted","EC",NA
"106",2,"SIA/JH/MIN/41618/2019","EC/SEIAA/2018-19/2212/2019","Karnodih Stone Deposit","MS KARMA BABA STONE WORKS","EC Granted","EC",NA
"107",3,"SIA/JH/MIN/185167/2020","","Girdhartanr Stone Deposit Mining Project","M/S STAR CONSTRUCTION","Delisted","EC",NA
"108",4,"SIA/JH/MIN/232601/2021","EC/SEIAA/2021-22/2460/2021","CHAPRAKOCHA STONE MINE","CRYSTAL CONSULTANTS","EC Granted","EC",NA
"109",10,"SIA/JH/MIN/196123/2021","EC/SEIAA/2021-22/2323/2021","Talpahari StoneDeposit Project","M/S MANOJ STONE WORKS","EC Granted","EC",NA
"110",2,"SIA/JH/MIN/67048/2021","EC/SEIAA/2022-23/2413/2022","Murgadanga Stone Deposit Project (under cluster)","MS SAI CONSTRUCTION","EC Granted","EC",NA
"111",4,"SIA/JH/MIS/281936/2022","EC/SEIAA/2022-23/2509/2022","Vasundhara Homes Pvt. Ltd. 1. Vasundhara Elegance, 2. Vasundhara Megamart & 3.Vasundhara Radiance","VASUNDHRA HOMES PVT LTD","EC Granted","EC",NA
"112",5,"SIA/JH/MIN/233810/2021","EC/SEIAA/2021-22/2461/2021","Dongodih Stone Deposit","DONGODIH STONE DEPOSIT","EC Granted","EC",NA
"113",6,"SIA/JH/MIN/266076/2022","EC/SEIAA/2022-23/2586/2022","Kokretanr Brick Soil Mine","BHOLA SINGH","EC Granted","EC",NA
"114",7,"SIA/JH/MIN/44554/2019","EC/SEIAA/2018-19/2222/2019","PAHARPUR STONE MINE","PAHARPUR STONE MINE ABDUS SALAM ANSARI","EC Granted","EC",NA
"115",9,"SIA/JH/MIN/44770/2019","","Piska Stone Works","MS CRYSTAL CONSULTANTS","Delisted","EC",NA
"116",10,"SIA/JH/MIN/44819/2019","EC/SEIAA/2018-19/2259/2019","SIYARKATIYA STONE MINES","SIYARKATIYA STONE MINES MS BOM BASKI STONE WORKS","EC Granted","EC",NA
"117",1,"SIA/JH/MIN/204797/2021","","Banki Brick Clay Mining M/s H.M. Bricks Brick Clay Mining Project","M/S H.B.  BRICKS","Delisted","EC",NA
"118",2,"SIA/JH/MIN/268059/2022","EC/SEIAA/2022-23/2571/2022","Thambh Stone Deposit","RAMCHANDRA MEHTA","EC Granted","EC",NA
"119",3,"SIA/JH/MIS/107853/2019","","Diamond city building construction project","DIAMONDCITY","Delisted","EC",NA
"120",4,"SIA/JH/MIN/44723/2019","EC/SEIAA/2018-19/2235/2019","Kulbhanga Stone Deposit","KULBHANGA STONE DEPOSIT PROJECT","EC Granted","EC",NA
"121",5,"SIA/JH/MIN/185749/2020","","M/s Nice Bricks (Chhota Loro Brick Earth Mine)","MS CRYSTAL CONSULTANTS","Delisted","EC",NA
"122",6,"SIA/JH/MIN/244784/2021","EC/SEIAA/2021-22/2492/2021","Nachibera Brick Earth Deposit","M/S MAA BRICKS PROP.- RAJIB LOCHAN MANDAL","EC Granted","EC",NA
"123",7,"SIA/JH/MIS/271526/2022","EC/SEIAA/2021-22/2515/2021","Green Residential Project “ESTATE ECO SYMPHONY”","ESTATE BUILDCON PRIVATE LIMITED","EC Granted","EC",NA
"124",8,"SIA/JH/MIN/266897/2022","EC/SEIAA/2022-23/2582/2022","Hardag Stone Deposit","ROSHAN KUMAR","EC Granted","EC",NA
"125",9,"SIA/JH/MIN/42880/2019","EC/SEIAA/2018-19/2190/2019","Chandpur Stone Deposit","CHANDPUR STONE DEPOSIT","EC Granted","EC",NA
"126",10,"SIA/JH/MIN/224382/2021","EC/SEIAA/2021-22/2424/2021","ANGARA STONE DEPOSIT OF SRI HEMANT SOREN (0.88 ACRES)","CRYSTAL CONSULTANTS","EC Granted","EC",NA
"127",1,"SIA/JH/MIN/269577/2022","EC/SEIAA/2022-23/2577/2022","KHANUPUR STONE MINE","SAROJ BHAKAT","EC Granted","EC",NA
"128",2,"SIA/JH/MIN/289851/2022","You are requested to upload/submit the DSR of conc","Fatehpur Stone Deposit","SHIVAYOGI BALIKAI","WithdrawEC","EC",NA
"129",3,"SIA/JH/MIN/40846/2019","EC/SEIAA/2018-19/2155/2019","Damin Bhitha Stone Deposit","DAMIN BHITHA STONE DEPOSIT","EC Granted","EC",NA
"130",4,"SIA/JH/MIN/193162/2021","EC/SEIAA/2020-21/2301/2021","KHAGACHUA STONE MINE OF M/S HEMBROM STONE WORKS","KHAGACHUA STONE MINE OF M/S HEMBROM STONE WORKS","EC Granted","EC",NA
"131",5,"SIA/JH/MIN/127505/2019","EC/SEIAA/2020-21/2286/2020","Brick Soil Mining For M/s Ranchi Bricks, in Mouza  Sanga","CRYSTAL CONSULTANTS","EC Granted","EC",NA
"132",6,"SIA/JH/MIN/234510/2021","EC/SEIAA/2021-22/2453/2021","M/S BHAGWAN CHIPS STONE OF SHRI AJIT SINGH & SHRI ABHISHEK ANAND","M/S BHAGWAN CHIPS STONE OF PARTNERS - SHRI AJIT SINGH & SHRI ABHISHEK ANAND","EC Granted","EC",NA
"133",7,"SIA/JH/MIN/64419/2017","EC/SEIAA/2017-18/2027/2017","ASEAHAR STONE DEPOSIT OF M/S REYAZ AHMED KHAN CONSTRUCTION","CRYSTAL CONSULTANTS","Deferred by SEAC","EC",NA
"134",8,"SIA/JH/MIN/214982/2021","EC/SEIAA/2021-22/2349/2021","RAMESHWAR MAHTO STONE MINES","RAMESHWAR MAHTO STONE MINE","EC Granted","EC",NA
"135",9,"SIA/JH/MIS/241110/2021","EC/SEIAA/2021-22/2469/2022","Utopian Heights Ranchi","AKSHAT HOSING DEVELOPERS PVT. LTD.","EC Granted","EC",NA
"136",10,"SIA/JH/MIN/288856/2022","EC/SEIAA/2022-23/2644/2022","Chandanpur Brick Earth Deposit   (1.388 hectare or 3.43 acres)","GURUDEV MAHATO","EC Granted","EC",NA
"137",1,"SIA/JH/MIN/212308/2021","EC/SEIAA/2021-22/2332/2021","SALBONAPAHR STONE MINE OF SHRI SUJEET KUMAR SINGH","SALBONAPAHAR STONE MINE OF SHRI SUJEET KUMAR SINGH","EC Granted","EC",NA
