,Proposal Number,Project Name,Project Sector,Date of Submission,Submitted by Proponent,Query for Shortcoming(if any) by SEIAA,Resubmission of Proposal by Proponent 1,Accepted by SEIAA and forwarded to SEAC,Query for Shortcoming(if any) by SEAC,Resubmission of Proposal by Proponent 2,Accepted by SEAC,Forwarded to SEIAA for EC,EC Letter Uploaded On/EC Granted
18,SIA/OR/MIN/279511/2022,"Hantosh Stone Quarry over an area of 5.00 acres or 2.023 hectares bearing Khata no. 192, Plot no. 1153 in village Hantosh, Tahasil- Hinjilicut, District- Ganjam State Odisha.",Non-Coal Mining,13 Jul 2022,22/06/2022,04/07/2022,13/07/2022,18/07/2022,,,22/07/2022,,22/08/2022
19,SIA/OR/MIN/77232/2020,"For the grant of EC of Bichhakhandi Black Stone quarry No-8 (Cluster Serial No-4E/15), (Khata No-389, Plot No-1815(p)) over an area of 4.00 acres or 1.618 hacters in village Bichhakhandi under Dharmasala Tahasil For the grant of EC of Bichhakhandi Black Stone quarry No-8 (Cluster Serial No-4E/15), (Khata No-389, Plot No-1815(p)) over an area of 4.00 acres or 1.618 hacters in village Bichhakhandi under Dharmasala Tahasil of Jajpur District, Odisha.of Jajpur District, Odisha.",Non-Coal Mining,24 May 2022,24/05/2022,,,22/06/2022,,,24/06/2022,,08/12/2022
20,SIA/OR/MIN/244968/2021,TARKABEDA BLACK STONE QUARRY- 2,Non-Coal Mining,28 Oct 2022,14/12/2021,29/10/2022,28/10/2022,,,,,,
21,SIA/OR/MIN/244986/2021,"PROPOSAL FOR FRESH EC OF BRAHMANI RIVER SAND BED JANPADA -1 OVER AN AREA OF AC 2.55  OR 1.031ha. IN VILLAGE JANPADA UNDER BARI TAHASIL, DIST-JAJPUR, ODISHA",Non-Coal Mining,29 Jan 2022,17/12/2021,29/01/2022,29/01/2022,29/01/2022,,,22/02/2022,06/03/2022,31/03/2022
22,SIA/OR/MIN/245925/2021,"Sisunda Stone Quarry over an area of 12.20 acres or 4.937 Ha having Khata No. 441, Plot No. 74 in the village Sisunda, Tahasil Jagannathprasad in district Ganjam, State Odisha.",Non-Coal Mining,18 Dec 2021,18/12/2021,,,23/12/2021,,,01/02/2022,06/02/2022,17/03/2022
23,SIA/OR/MIN/246085/2021,"Proposal for grant of EC of Ghatmal Sand Quarry over an area 8.10Acre or 3.278Hectare in Ghatmal & Jambahali village of Sinapali Tahasil in Nuapada district, Odisha.",Non-Coal Mining,09 Feb 2022,20/12/2021,11/03/2022,09/02/2022,,,,,,
24,SIA/OR/MIN/70319/2021,"Gobindpur Decorative Stone Mine over an area of 45.17 Acres or 18.280 Ha at Village- Gokulpur, Tahasil- Tangi- Choudwar, Dist- Cuttack of the Odisha Mining Corporation Ltd.",Non-Coal Mining,20 Dec 2021,20/12/2021,,,21/12/2021,,,24/12/2021,01/01/2022,06/01/2022
25,SIA/OR/MIN/77359/2017,"EC for Netrabandha Pahar Iron Ore Block with Total Excavation of 2.680 MTPA [2.0 MTPA (ROM), OB- 0.680 MTPA] along with 2x100 TPH Mobile Crusher in the mine lease area of 139.223 Ha, located at village Baladihi, Tehsil Koira, District Sundargarh, Odisha",Non-Coal Mining,27 May 2022,27/05/2022,,,31/05/2022,,,08/08/2022,,26/05/2023
26,SIA/OR/MIN/247458/2021,"Budhabalanga River Sand Bed-I Over an area of 12.33 Acres or 4.989 Hectares in Village Demphouda,Belanpura, Madhunanda under Betnoti Tahasil of Mayurbhanj District of Odisha.",Non-Coal Mining,07 Jan 2022,07/01/2022,,,26/01/2022,,,22/02/2022,05/03/2022,31/03/2022
27,SIA/OR/MIN/248162/2021,Proposal for Grant of Environmental Clearance of Rugudipali Stone Quarry over an area of 2.260 Acres or 0.914 Hects. of Village  Ragudipali under Sonepur Tahasil in Subarnapur District.,Non-Coal Mining,29 Dec 2021,29/12/2021,,,11/01/2022,,,03/02/2022,15/02/2022,11/03/2022
28,SIA/OR/MIN/263308/2022,BALARANGA STONE QUARRY  B,Non-Coal Mining,26 May 2022,24/03/2022,10/04/2022,26/05/2022,24/06/2022,,,22/07/2022,,29/07/2022
29,SIA/OR/MIN/59349/2020,"Raichanda Sand Bed mine on river Brahmani over an area of 8.093 Ha or 20.00 Acre in village Raichanda, under Dharmasala Tahasil of Jajpur District, Odisha",Non-Coal Mining,08 Jan 2022,08/01/2022,,,11/01/2022,,,26/01/2022,,26/05/2022
30,SIA/OR/MIN/246398/2021,"Kotilingi Stone Quarry over an area of 2.036 acres or 0.823 Ha having Khata No. 1515, Plot No. 5125 in the village Kotilingi, Tahasil Chikiti in district Ganjam, State Odisha.",Non-Coal Mining,21 Dec 2021,21/12/2021,,,08/01/2022,,,03/02/2022,15/02/2022,11/03/2022
31,SIA/OR/MIN/246380/2021,"Proposal for grant of Environmental Clearance of TAHASILDAR KOMNA over an area 5.00 Acre or 2.023Hectare in village of Lakhna under Komna Tahasil in Nuapada district, Odisha",Non-Coal Mining,21 Dec 2021,21/12/2021,04/01/2022,,,,,,,
32,SIA/OR/MIN/249414/2022,Babalpur Brick Earth Quarry Over an area of 4.59 Acres or 1.857 hectares in village Babalpur under Bhandaripokhari Tahasil of Bhadrak District of Odisha.,Non-Coal Mining,01 Jan 2022,01/01/2022,,,17/01/2022,,,03/02/2022,06/03/2022,30/03/2022
33,SIA/OR/MIN/268135/2022,Mahisapat Matialghat Sand Quarry over an area of 5.58 acres or 2.367 hectares in village Kalikaprasad under Champua Tahasil in Keonjhar District  Odisha.,Non-Coal Mining,16 Apr 2022,16/04/2022,,,08/05/2022,,,20/05/2022,,30/06/2022
34,SIA/OR/MIN/269055/2022,MANTRAJHOLLA III STONE QUARRY,Non-Coal Mining,22 Apr 2022,22/04/2022,16/05/2022,,,,,,,
35,SIA/OR/MIN/269122/2022,Proposal for EC of BILEIGARH SAND BED over an area 12.00 acres or 4.856 hectares in Bileigarh village under Tangarpali tahasil in Sundargarh district  Odisha.,Non-Coal Mining,22 Apr 2022,22/04/2022,,,16/05/2022,,,20/05/2022,,22/09/2022
36,SIA/OR/MIS/263754/2022,Residential Project,INFRA-2,25 Mar 2022,25/03/2022,,,12/04/2022,,,27/04/2022,,
37,SIA/OR/MIN/276633/2022,"PROPOSAL FOR FRESH EC OF BALANGIR  SAND QUARRY OVER AN AREA OF 12.30 ACRES OR 4.977 HECTARES, AT VILLAGE-BALANGIR, UNDER JHARBANDH TAHASIL OF BARGARH DISTRICT, ODISHA",Non-Coal Mining,05 Jun 2022,05/06/2022,,,01/07/2022,,,22/07/2022,,17/08/2022
38,SIA/OR/MIN/64155/2021,"New Proposed project of Basupali Stone Quarry- 1 with proposed excavation of 4095 CuM/Year of stone, of Tahasildar Balangir having an area of 1.78 ha,located at Khata no. 14, Plot no. 79 Kisam Kudar, Village: Basupali, Tahasil: Balangir,Dist: Balangir, Odisha",Non-Coal Mining,19 Jul 2022,08/06/2022,,,22/07/2022,,,08/08/2022,,
