"","Proposal.No.","File.No.","Project.Name","Company","Proposal.Status","Project.Type","View"
"78","SIA/OR/MIN/249676/2022","249676/333-MINB2/07-2022","Uanla Sand Quarry over an area of 12.355 acres or 5.00 Ha bearing khata No. 81, Plot No. 221/A, 224/A in the village Uanla,Tahasil Harabhanga, District Boudh, State Odisha","TAHASILDAR HARABHANGA","EC Granted","EC",NA
"79","SIA/OR/MIN/258199/2022","258199/592-MINB1/03-2022","DANKARI BLACK STONE QUARRY NO 712 OVER 12.50 ACRES OR 5.058 HECT IN VILLAGE DANKARI UNDER DHARMASALA TAHSIL OF JAJPUR DISTRICT ODISHA.","NARAYAN ROUT","EC Granted","EC",NA
"80","SIA/OR/MIN/257165/2022","257165/604-MINB2/02-2022","SARGUNAMUNDA SAND BED-A OVER AN AREA OF 10.00 ACRES OR 4.048  HECTARES IN VILLAGE SARGUNAMUNDA UNDER TITTLAGARH TAHASIL IN BOLANGIR DISTRICT ODISHA","RAJAT PATRA","EC Granted","EC",NA
"81","SIA/OR/MIN/279356/2022","","NEW PROPOSAL FOR ENVIRONMENT CLEARANCE FOR KANAKTORA SAND BED KELO RIVER OVER AN AREA OF 4.86 HECTARE OR 12.00 ACRES IN VILLAGE KANAKTORA UNDER LAKHANPUR TAHASIL AND DISTRICT OF JHARSUGUDA  ODISHA","SUNIL PRADHAN","Delisted","EC",NA
"82","SIA/OR/MIN/277416/2022","277416/739-MINB2/06-2022","Kokariguda Stone Quarry over an area of 10.00 Acers or 4.046 Ha having Khata no. 109, Plot No. 543 in the village Kokariguda, Tahasil- Semiliguda, District- Koraput, State Odisha.","TAHASILDAR SEMILIGUDA","EC Granted","EC",NA
"83","SIA/OR/IND/29765/2018","29765/08-IND/09-2019","Proposed Cement Grinding Unit capacity 2X1.0 MTPA (PPC, PSC, OPC & GGBS) at Kalinganagar Industrial Complex, District- Jajpur, Odisha of M/s Chettinad Cement Corporation Private Limited","CHETTINAD CEMENT CORPORATION LIMITED","EC Granted","EC",NA
"84","SIA/OR/MIN/245562/2021","245562/780-MINB2/07-2022","Mania Stone Quarry-D over an area of 2.00 Acers or 0.809 Ha having Khata No. 65, Plot No. 184/D in the village Mania, Tahasil- Semiliguda, District- Koraput, State Odisha.","TAHASILDAR SEMILIGUDA","EC Granted","EC",NA
"85","SIA/OR/MIN/242468/2021","242468/576-MINB2/02-2022","Nischintapur Stone Quarry - I over an area of 2.13 Acres / 0.862 Hectares in village - Nischintapur , Keonjhar Tahasil, Dist. - Keonjhar","OFICE OF THE TAHASILDAR, KEONJHAR","EC Granted","EC",NA
"86","SIA/OR/MIS/262203/2022","262203/76-MIS/03-2022","Proposed Construction of Residential Building Project (S1+S2+S3+18) of M/s Motwani Constructions Pvt. Ltd. At- Mouza- Koradakanta and Jharpada,Tahasil-Bhubaneswar, Dist-Khordha","MOTWANI CONSTRUCTIONS PRIVATE LIMITED","EC Granted","EC",NA
"87","SIA/OR/MIN/271728/2022","271728/729-MINB2/05-2022","Langalasila & Mayurdar Stone Quarry Over an area of 3.99 Acre or 1.614 Hectares in village Langalasila & Mayurdar under Kusumi,Badampahar Tahasil of Mayurbhanj District of Odisha.","TAHASILDARKUSUMIMAYURBHANJ","EC Granted","EC",NA
"88","SIA/OR/MIN/271942/2022","76344/667-MINB1/05-2022","PROPOSAL FOR GRANT OF EC OF DANKARI BLACK STONE QUARRY NO 1 BY 4 OVER 3.23 HA OR 8.00 AC IN VILLAGE DANKARI DHARMASALA TAHASIL OF JAJPUR DISTRICT ODISHA","JYOTSHNA JENA","EC Granted","EC",NA
"89","SIA/OR/MIN/250477/2022","250477/180-MINB2/01-2022","Dolajodi Stone Quarry Over an area of 4.84 Acre or 1.96 Hectares in village Dolajodi under Tiring Tahasil of Mayurbhanj District of Odisha.","TAHASILDAR,TIRING","EC Granted","EC",NA
"90","SIA/OR/MIN/251714/2022","251714/574-MINB2/02-2022","Taradipal Brahmani Nadi Sand","TAHASILDAR PATTAMUNDAI","EC Granted","EC",NA
"91","SIA/OR/IND2/213411/2021","","M/s. Bharat Petroleum Corporation Limited (BPCL)","M/S. BHARAT PETROLEUM CORPORATION LTD., ODISHA","Delisted","EC",NA
"92","SIA/OR/MIS/235383/2021","235383/52-MIS/10-2021","Residential Colony Project","M/S ZJSH SPV  PVT. LTD.","EC Granted","EC",NA
"93","SIA/OR/MIN/256331/2022","56331/565-MINB2/02-2022","Proposal for grant of EC of TENGANABASA SAND QUARRY over an area 12.35 acre or 4.997 hec in Tenganabasa village of Komna tahasil in Nuapada dist. Odisha","TAHASILDAR KOMNA","EC Granted","EC",NA
"94","SIA/OR/MIN/255419/2022","255419/228-MINB2/02-2022","Proposal for grant of EC of TETERKELA SAND BED over an area 11.52 ac or 4.662 hect  in Teterkela village of Biramitrapur tahasil in Sundargarh district, Odisha","TAHASILDAR, BIRAMITRAPUR TAHASIL","EC Granted","EC",NA
"95","SIA/OR/MIN/256709/2022","","NEW PROPOSAL FOR GRANT OF EC OF BADAMASINGAM SAND QUARRY OVER 1.30 HA. OR 3.20ACRES  IN VILLAGE BADAMASINGAM UNDER NABARANGPUR  TAHASIL OF NABARANGPUR DISTRICT, ODISHA.","TAHASILDAR, NABARANGPUR","WithdrawEC","EC",NA
"96","SIA/OR/MIN/256859/2022","256859/540-MINB2/02-2022","NARAHARIPUR ROAD METAL QUARRY OVER AN AREA OF 0.92 HECTARES IN VILLAGE NARAHARIPUR UNDER ODAPADA TAHASIL  OF DHENKANAL TAHASIL SUBMITTED UNDER CLUSTER APPROACH  WITH CONSISTING OF 3 STONE QUARRIES , TOTAL CLUSTER AREA  3.242 HECTARES","AVIMANYU ROUT","EC Granted","EC",NA
"97","SIA/OR/MIN/270401/2022","270401/717-MINB2/04-2022","Jyotipur Sand Quarry over an area of 8.00 ac or 3.24 ha in village Jyotipur of Champua Tahasil of Keonjhar district, Odisha.","TAHASILDAR CHAMPUA KEONJHAR","EC Granted","EC",NA
"98","SIA/OR/MIN/64155/2021","64155/270-MINB1/07-2022","New proposed project of Basupali Stone Quarry -4 with proposed excavation of 5000 CUM/year of stone of Tahasildar Balangir having an area of 2.023 Ha. Located at Khata No. 14 Plot No.79, At Basupali under Balangir Tahasil of Balangir District, Odisha (Under Cluster approach for Basupali Cluster Stone Quarry over an area of 9.67 Ha with 5 individual mines)","TAHASILDAR BALANGIR","Rejection Letter Granted","EC",NA
"99","SIA/OR/MIS/116748/2019","116748/16-MIS/01-2020","Proposed Construction of Teaching Hospital for the new Govt. Medical college at Baripada, Odisha","PANDIT RAGHUNATH MURMU MEDICAL COLLEGE AND HOSPITALBARIPADA","EC Granted","EC",NA
"100","SIA/OR/MIN/71435/2020","71435/282-MINB1/08-2022","Proposal for EC for Kulei Sand Quarry over lease area of 50 Acres/20.234 Ha. at Kulei, Tahasil- Parjang, District- Dhenkanal of Tahasildar, Parjang.","TAHSILDAR PARJANG","EC Granted","EC",NA
"101","SIA/OR/MIN/253343/2022","253343/593-MINB2/03-2022","Fulguntha II Stone Quarry over an area of 1.92 Acre or 0.777 Hectares in village Fulguntha under Sukruli Tahasil of Mayurbhanj District of Odisha.","TAHASILDAR SUKRULI","EC Granted","EC",NA
