,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
30,SIA/OR/MIN/261229/2022,SIA/OR/MIN/261229/2022,SIA/OR/MIN/261229/2022,SIA/OR/MIN/261229/2022,SIA/OR/MIN/261229/2022,SIA/OR/MIN/261229/2022,SIA/OR/MIN/261229/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,SIA/OR/MIN/247381/2021,SIA/OR/MIN/247381/2021,SIA/OR/MIN/247381/2021,SIA/OR/MIN/247381/2021,SIA/OR/MIN/247381/2021,SIA/OR/MIN/247381/2021,SIA/OR/MIN/247381/2021,SIA/OR/MIN/247381/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,SIA/OR/MIN/239034/2021,SIA/OR/MIN/239034/2021,SIA/OR/MIN/239034/2021,SIA/OR/MIN/239034/2021,SIA/OR/MIN/239034/2021,SIA/OR/MIN/239034/2021,SIA/OR/MIN/239034/2021,SIA/OR/MIN/239034/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,SIA/OR/MIN/279248/2022,SIA/OR/MIN/279248/2022,SIA/OR/MIN/279248/2022,SIA/OR/MIN/279248/2022,SIA/OR/MIN/279248/2022,SIA/OR/MIN/279248/2022,SIA/OR/MIN/279248/2022,SIA/OR/MIN/279248/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,SIA/OR/MIN/279347/2022,SIA/OR/MIN/279347/2022,SIA/OR/MIN/279347/2022,SIA/OR/MIN/279347/2022,SIA/OR/MIN/279347/2022,SIA/OR/MIN/279347/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,SIA/OR/MIN/237759/2021,SIA/OR/MIN/237759/2021,SIA/OR/MIN/237759/2021,SIA/OR/MIN/237759/2021,SIA/OR/MIN/237759/2021,SIA/OR/MIN/237759/2021,SIA/OR/MIN/237759/2021,SIA/OR/MIN/237759/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,SIA/OR/MIN/246853/2021,SIA/OR/MIN/246853/2021,SIA/OR/MIN/246853/2021,SIA/OR/MIN/246853/2021,SIA/OR/MIN/246853/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,SIA/OR/MIN/246879/2021,SIA/OR/MIN/246879/2021,SIA/OR/MIN/246879/2021,SIA/OR/MIN/246879/2021,SIA/OR/MIN/246879/2021,SIA/OR/MIN/246879/2021,SIA/OR/MIN/246879/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,SIA/OR/MIN/246465/2021,SIA/OR/MIN/246465/2021,SIA/OR/MIN/246465/2021,SIA/OR/MIN/246465/2021,SIA/OR/MIN/246465/2021,SIA/OR/MIN/246465/2021,SIA/OR/MIN/246465/2021,SIA/OR/MIN/246465/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,SIA/OR/MIN/264611/2022,SIA/OR/MIN/264611/2022,SIA/OR/MIN/264611/2022,SIA/OR/MIN/264611/2022,SIA/OR/MIN/264611/2022,SIA/OR/MIN/264611/2022,SIA/OR/MIN/264611/2022,SIA/OR/MIN/264611/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,SIA/OR/MIN/28134/2018,SIA/OR/MIN/28134/2018,SIA/OR/MIN/28134/2018,SIA/OR/MIN/28134/2018,SIA/OR/MIN/28134/2018,SIA/OR/MIN/28134/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,SIA/OR/MIS/111991/2019,SIA/OR/MIS/111991/2019,SIA/OR/MIS/111991/2019,SIA/OR/MIS/111991/2019,SIA/OR/MIS/111991/2019,SIA/OR/MIS/111991/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,SIA/OR/MIN/248450/2021,SIA/OR/MIN/248450/2021,SIA/OR/MIN/248450/2021,SIA/OR/MIN/248450/2021,SIA/OR/MIN/248450/2021,SIA/OR/MIN/248450/2021,SIA/OR/MIN/248450/2021,SIA/OR/MIN/248450/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,SIA/OR/MIN/220318/2021,SIA/OR/MIN/220318/2021,SIA/OR/MIN/220318/2021,SIA/OR/MIN/220318/2021,SIA/OR/MIN/220318/2021,SIA/OR/MIN/220318/2021,SIA/OR/MIN/220318/2021,SIA/OR/MIN/220318/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,SIA/OR/MIN/241856/2021,SIA/OR/MIN/241856/2021,SIA/OR/MIN/241856/2021,SIA/OR/MIN/241856/2021,SIA/OR/MIN/241856/2021,SIA/OR/MIN/241856/2021,SIA/OR/MIN/241856/2021,SIA/OR/MIN/241856/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,SIA/OR/MIN/238960/2021,SIA/OR/MIN/238960/2021,SIA/OR/MIN/238960/2021,SIA/OR/MIN/238960/2021,SIA/OR/MIN/238960/2021,SIA/OR/MIN/238960/2021,SIA/OR/MIN/238960/2021,SIA/OR/MIN/238960/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,SIA/OR/MIN/276881/2022,SIA/OR/MIN/276881/2022,SIA/OR/MIN/276881/2022,SIA/OR/MIN/276881/2022,SIA/OR/MIN/276881/2022,SIA/OR/MIN/276881/2022,SIA/OR/MIN/276881/2022,SIA/OR/MIN/276881/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,SIA/OR/MIN/42402/2019,SIA/OR/MIN/42402/2019,SIA/OR/MIN/42402/2019,SIA/OR/MIN/42402/2019,SIA/OR/MIN/42402/2019,SIA/OR/MIN/42402/2019,SIA/OR/MIN/42402/2019,SIA/OR/MIN/42402/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,SIA/OR/MIN/228571/2021,SIA/OR/MIN/228571/2021,SIA/OR/MIN/228571/2021,SIA/OR/MIN/228571/2021,SIA/OR/MIN/228571/2021,SIA/OR/MIN/228571/2021,SIA/OR/MIN/228571/2021,SIA/OR/MIN/228571/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,SIA/OR/MIN/234501/2021,SIA/OR/MIN/234501/2021,SIA/OR/MIN/234501/2021,SIA/OR/MIN/234501/2021,SIA/OR/MIN/234501/2021,SIA/OR/MIN/234501/2021,SIA/OR/MIN/234501/2021,SIA/OR/MIN/234501/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,SIA/OR/MIN/270401/2022,SIA/OR/MIN/270401/2022,SIA/OR/MIN/270401/2022,SIA/OR/MIN/270401/2022,SIA/OR/MIN/270401/2022,SIA/OR/MIN/270401/2022,SIA/OR/MIN/270401/2022,SIA/OR/MIN/270401/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,SIA/OR/MIN/265658/2022,SIA/OR/MIN/265658/2022,SIA/OR/MIN/265658/2022,SIA/OR/MIN/265658/2022,SIA/OR/MIN/265658/2022,SIA/OR/MIN/265658/2022,SIA/OR/MIN/265658/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,SIA/OR/MIS/212384/2021,SIA/OR/MIS/212384/2021,SIA/OR/MIS/212384/2021,SIA/OR/MIS/212384/2021,SIA/OR/MIS/212384/2021,SIA/OR/MIS/212384/2021,SIA/OR/MIS/212384/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,SIA/OR/MIN/54830/2020,SIA/OR/MIN/54830/2020,SIA/OR/MIN/54830/2020,SIA/OR/MIN/54830/2020,SIA/OR/MIN/54830/2020,SIA/OR/MIN/54830/2020,SIA/OR/MIN/54830/2020,SIA/OR/MIN/54830/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,SIA/OR/MIN/54693/2020,SIA/OR/MIN/54693/2020,SIA/OR/MIN/54693/2020,SIA/OR/MIN/54693/2020,SIA/OR/MIN/54693/2020,SIA/OR/MIN/54693/2020,SIA/OR/MIN/54693/2020,SIA/OR/MIN/54693/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,SIA/OR/MIN/237420/2021,SIA/OR/MIN/237420/2021,SIA/OR/MIN/237420/2021,SIA/OR/MIN/237420/2021,SIA/OR/MIN/237420/2021,SIA/OR/MIN/237420/2021,SIA/OR/MIN/237420/2021,SIA/OR/MIN/237420/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,SIA/OR/MIN/76137/2020,SIA/OR/MIN/76137/2020,SIA/OR/MIN/76137/2020,SIA/OR/MIN/76137/2020,SIA/OR/MIN/76137/2020,SIA/OR/MIN/76137/2020,SIA/OR/MIN/76137/2020,SIA/OR/MIN/76137/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,SIA/OR/MIN/239856/2021,SIA/OR/MIN/239856/2021,SIA/OR/MIN/239856/2021,SIA/OR/MIN/239856/2021,SIA/OR/MIN/239856/2021,SIA/OR/MIN/239856/2021,SIA/OR/MIN/239856/2021,SIA/OR/MIN/239856/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,SIA/OR/MIN/258815/2022,SIA/OR/MIN/258815/2022,SIA/OR/MIN/258815/2022,SIA/OR/MIN/258815/2022,SIA/OR/MIN/258815/2022,SIA/OR/MIN/258815/2022,SIA/OR/MIN/258815/2022,SIA/OR/MIN/258815/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,SIA/OR/MIN/277485/2022,SIA/OR/MIN/277485/2022,SIA/OR/MIN/277485/2022,SIA/OR/MIN/277485/2022,SIA/OR/MIN/277485/2022,SIA/OR/MIN/277485/2022,SIA/OR/MIN/277485/2022,SIA/OR/MIN/277485/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,SIA/OR/MIN/246130/2021,SIA/OR/MIN/246130/2021,SIA/OR/MIN/246130/2021,SIA/OR/MIN/246130/2021,SIA/OR/MIN/246130/2021,SIA/OR/MIN/246130/2021,SIA/OR/MIN/246130/2021,SIA/OR/MIN/246130/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,SIA/OR/MIN/273275/2022,SIA/OR/MIN/273275/2022,SIA/OR/MIN/273275/2022,SIA/OR/MIN/273275/2022,SIA/OR/MIN/273275/2022,SIA/OR/MIN/273275/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,SIA/OR/MIN/257433/2022,SIA/OR/MIN/257433/2022,SIA/OR/MIN/257433/2022,SIA/OR/MIN/257433/2022,SIA/OR/MIN/257433/2022,SIA/OR/MIN/257433/2022,SIA/OR/MIN/257433/2022,SIA/OR/MIN/257433/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,SIA/OR/MIN/279465/2022,SIA/OR/MIN/279465/2022,SIA/OR/MIN/279465/2022,SIA/OR/MIN/279465/2022,SIA/OR/MIN/279465/2022,SIA/OR/MIN/279465/2022,SIA/OR/MIN/279465/2022,SIA/OR/MIN/279465/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,SIA/OR/MIN/228415/2021,SIA/OR/MIN/228415/2021,SIA/OR/MIN/228415/2021,SIA/OR/MIN/228415/2021,SIA/OR/MIN/228415/2021,SIA/OR/MIN/228415/2021,SIA/OR/MIN/228415/2021,SIA/OR/MIN/228415/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,SIA/OR/MIN/250774/2022,SIA/OR/MIN/250774/2022,SIA/OR/MIN/250774/2022,SIA/OR/MIN/250774/2022,SIA/OR/MIN/250774/2022,SIA/OR/MIN/250774/2022,SIA/OR/MIN/250774/2022,SIA/OR/MIN/250774/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,SIA/OR/MIN/250500/2022,SIA/OR/MIN/250500/2022,SIA/OR/MIN/250500/2022,SIA/OR/MIN/250500/2022,SIA/OR/MIN/250500/2022,SIA/OR/MIN/250500/2022,SIA/OR/MIN/250500/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,SIA/OR/MIN/237867/2021,SIA/OR/MIN/237867/2021,SIA/OR/MIN/237867/2021,SIA/OR/MIN/237867/2021,SIA/OR/MIN/237867/2021,SIA/OR/MIN/237867/2021,SIA/OR/MIN/237867/2021,SIA/OR/MIN/237867/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,SIA/OR/MIN/237137/2021,SIA/OR/MIN/237137/2021,SIA/OR/MIN/237137/2021,SIA/OR/MIN/237137/2021,SIA/OR/MIN/237137/2021,SIA/OR/MIN/237137/2021,SIA/OR/MIN/237137/2021,SIA/OR/MIN/237137/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,SIA/OR/MIN/60333/2021,SIA/OR/MIN/60333/2021,SIA/OR/MIN/60333/2021,SIA/OR/MIN/60333/2021,SIA/OR/MIN/60333/2021,SIA/OR/MIN/60333/2021,SIA/OR/MIN/60333/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,SIA/OR/MIN/54685/2020,SIA/OR/MIN/54685/2020,SIA/OR/MIN/54685/2020,SIA/OR/MIN/54685/2020,SIA/OR/MIN/54685/2020,SIA/OR/MIN/54685/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,SIA/OR/MIN/242721/2021,SIA/OR/MIN/242721/2021,SIA/OR/MIN/242721/2021,SIA/OR/MIN/242721/2021,SIA/OR/MIN/242721/2021,SIA/OR/MIN/242721/2021,SIA/OR/MIN/242721/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,SIA/OR/MIN/244103/2021,SIA/OR/MIN/244103/2021,SIA/OR/MIN/244103/2021,SIA/OR/MIN/244103/2021,SIA/OR/MIN/244103/2021,SIA/OR/MIN/244103/2021,SIA/OR/MIN/244103/2021,SIA/OR/MIN/244103/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
