,proposal_no,file_no,proposal_name,state,district,tehsil,date_submission,tor_approval,project_category,company_proponent,status
36,SIA/OR/MIN/80988/2022,80988/276-MINB1/07-2022,"Paljhar Sand Bed over an area of 13.00 acres or 5.261 Ha bearing khata No. 02, Plot No. 01 in the village Paljhar, Tahasil Boudh, District Boudh, State Odisha.",Orissa,,,20-Jul-22,01-Jan-00,Non-Coal Mining,SARAT PRADHAN,TOR GrantedL
37,SIA/OR/MIN/76467/2022,To be assigned,"Kasili – II Stone Quarry Stone Quarry over an area of 3.00 acres or 1.214 hectares bearing Khata no. 30, Plot no. 188 in Kasili village of Rayagada Tahasil, District- Rayagada, State Odisha submitted under cluster approach with total cluster area 6.070 Hectares with consisting of 5 stone quarries.",Orissa,,,19-Jul-22, TOR Not Granted Yet,Non-Coal Mining,RAMANI PATI,DelistedD
38,SIA/OR/MIS/79894/2022,79894/13-MIS-V/07-2022,Environmental Clearance of (LB+UB+S+14)  And (LB+UB+S+20) residential apartment building plan for all Odisha State Bank Officers Housing Co-Operative Society Ltd.,Orissa,,,19-Jul-22,01-Jan-00,INFRA-2,ALL ODISHA STATE BANK OFFICERS HOUSING CO-OPERATIVE SOCIETY LTD.,TOR GrantedL
39,SIA/OR/MIS/80120/2022,80120/96-MIS/07-2022,"Proposal for construction of 1no. Block of (2B+S+33), 5 nos. blocks of (2B+S+29), 1 no. block of Multistoried Residential Apartment and 1 no. of (2B+G+2) Club House over Plot No.- 309/1694 and Khata No.- 475/5 of Mouza- Patia in favor of M/s Paltronics Allied Industries Pvt. Ltd.(Director Sri Aman Agrawal)",Orissa,,,18-Jul-22,03-Nov-22,INFRA-2,PALTRONICS ALLIED INDUSTRIES PRIVATE LIMITED,TOR GrantedL
40,SIA/OR/MIS/79899/2022,To be assigned,"1.	Name of The Project	Multi-storied residential apartment and club house",Orissa,,,10-Jul-22, TOR Not Granted Yet,INFRA-2,PALTRONICS ALLIED INDUSTRIES PRIVATE LIMITED,WithdrawTORL
41,SIA/OR/IND2/78683/2022,78683/09-IND2/07-2022,"Proposed Spirit Plant (Malt Spirit, Corn Spirit  & Gin Spirit) of 10 KLPD capacity (Phase- 1:5 KLPD + Phase-2:5 KLPD) of M/s Crochet Industries Pvt. Ltd. at Village- Kothadwarapalli, Mouza- Rambha, Tahasil - Khalikote, District - Ganjam, Odisha.",Orissa,,,08-Jul-22,03-Nov-22,Industrial Projects - 2,CROCHET INDUSTRIES PRIVATE LIMITED,TOR GrantedL
42,SIA/OR/MIS/65798/2021,To be assigned,"Residential Project ""Sai Krishna Residency""",Orissa,Khordha,Bhubaneswar,08-Jul-22, TOR Not Granted Yet,INFRA-2,SAI KRISHNA HOMES PVT. LTD.,DelistedD
43,SIA/OR/MIN/79613/2022,79613/279-MINB1/07-2022,"Mantrajholla-V Stone Quarry over an area of 3.00 acres or 1.214 hectares bearing Khata No. 20 Plot No. 122 in Mantrajholla village of Rayagada Tahasil, District- Rayagada, State Odisha submitted under cluster approach with total cluster area 11.936 Hectares with consisting of 8 stone quarries.",Orissa,,,05-Jul-22,01-Jan-00,Non-Coal Mining,KASINAIDU RAGHUMANDALA,TOR GrantedL
44,SIA/OR/MIN/79123/2022,79123/278-MINB1/06-2022,"Jharipadar-2 Stone Quarry over an area of 6.00 acres or 2.4282 hectares bearing Khata no. 980, Plot no. 08 in village Jharipadar, Tahasil- Digapahandi, District- Ganjam State Odisha submitted under cluster approach with total cluster area 7.2846  Hectares with consisting of 2 stone quarries.",Orissa,,,27-Jun-22,01-Jan-00,Non-Coal Mining,SWAPNA BARATA,TOR GrantedL
45,SIA/OR/MIN/78992/2022,78992/279-MINB1/06-2022,"Chotrayapur Morrum Quarry is a morrum mining project consisting of a morrum quarry and the total area of the mining lease is 11.0985 Ha.  /  27.425  acres  and  is  located  in  village  -  Chotrayapur ,  Tahasil  – Digapahandi,  District  -  Ganjam  of  Odisha",Orissa,,,27-Jun-22,01-Jan-00,Non-Coal Mining,MERTHIPARTI PATRO,TOR GrantedL
46,SIA/OR/IND2/77179/2022,77179/278-MINB1/06-2022,"Production of 2.16 KLD mahua flower based out still country liquor manufacturing unit of Main Out Still Liquor Shop, Papadahandi at village/ Mouza/Tahsil- Papadahandi, District- Nabarangpur of the licensee Sri Nalanikanta Mohanty",Orissa,,,25-Jun-22, TOR Not Granted Yet,Industrial Projects - 2,NALANIKANTA MOHANTY,Rejection Letter GrantedL
47,SIA/OR/MIN/78986/2022,78986/280-MINB1/06-2022,"Ankorada Stone Quarry over an area of 12.00 acres or 4.8564 hectares bearing Khata no. 157, Plot no. 59 in village Ankorada, Tahasil- Digapahandi, District- Ganjam State Odisha submitted under cluster approach with total cluster area 11.1664  Hectares with consisting of 2 stone quarries.",Orissa,,,25-Jun-22,01-Jan-00,Non-Coal Mining,NARASINGH PATRA,TOR GrantedL
48,SIA/OR/MIN/78970/2022,78970/281-MINB1/06-2022,"Jharipadar-I Stone Quarry over an area of 12.00 acres or 4.8564 hectares bearing Khata no. 980, Plot no. 5 & 6 in village Jharipadar, Tahasil- Digapahandi, District- Ganjam State Odisha submitted under cluster approach with total cluster area 7.2846  Hectares with consisting of 2 stone quarries.",Orissa,,,25-Jun-22,01-Jan-00,Non-Coal Mining,SAROJ SAHU,TOR GrantedL
49,SIA/OR/MIN/78860/2022,78860/282-MINB1/06-2022,"Mohuda Stone Quarry over an area of 2.20 acres or 0.890 hectares bearing Khata no. 669 Plot no. 1978/P in village Mohuda, Tahasil Kukudakhandi, District Ganjam, State Odisha submitted under cluster approach with total cluster area 15.469  Hectares with consisting of 7 stone quarries.",Orissa,,,24-Jun-22,01-Jan-00,Non-Coal Mining,VARDA BUDU,TOR GrantedL
50,SIA/OR/MIN/78844/2022,78844/283-MINB1/06-2022,"Mohuda Stone Quarry over an area of 10.585 acres or 4.284 hectares bearing Khata no. 669 Plot no. 1978/P in village Mohuda, Tahasil Kukudakhandi, District Ganjam, State Odisha submitted under cluster approach with total cluster area 15.469  Hectares with consisting of 7 stone quarries.",Orissa,,,23-Jun-22,01-Jan-00,Non-Coal Mining,BADHI REDDY,TOR GrantedL
51,SIA/OR/MIN/78843/2022,78843/284-MINB1/06-2022,"Chandania Stone Quarry over an area of 11.825 acres or 4.785 hectares bearing Khata no. 117, Plot no. 83 in village Chandania, Tahasil Kukudakhandi, District - Ganjam State Odisha submitted under cluster approach with total cluster area 42.258 Hectares with consisting of 9 stone quarries.",Orissa,,,23-Jun-22, TOR Not Granted Yet,Non-Coal Mining,PREM PATRO,DelistedL
52,SIA/OR/MIN/78836/2022,78836/285-MINB1/06-2022,"PROPOSAL FOR TOR OF BHARGAVI RIVER SAND QUARRY, MAKUNDADASPUR  , OVER AN AREA 22.90 HA. KHATA NO- 771, PLOT NO- 199,AT- MAKUNDADASPUR TAHASIL- BALIPATNA, DIST- KHORDHA, ODISHA.",Orissa,,,23-Jun-22,01-Jan-00,Non-Coal Mining,TAHASILDAR BALIPATNA,TOR GrantedL
53,SIA/OR/MIN/78830/2022,78830/286-MINB1/06-2022,"Rengitipalli-E Stone Quarry over an area of 12.00 Acers or 4.856 hectares bearing Khata No. 494, Plot No. 12 in the village Rengitipalli under Tahasil Kodala in District Ganjam, State Odisha submitted under cluster approach with total cluster area 68.899 Hectares with consisting of 5 stone quarries.",Orissa,,,23-Jun-22, TOR Not Granted Yet,Non-Coal Mining,BHAGABAN PARIDA,Rejection Letter GrantedL
54,SIA/OR/MIN/78820/2022,78820/287-MINB1/06-2022,Gurunthi Stone Quarry over an area of 10.00 Acres or 4.046 Hectares (under total cluster area of 8.092 Ha./ 20.00 Acres ) in Village- Gurunthi under Kukudakhandi Tahasil of Ganjam District of Odisha,Orissa,,,23-Jun-22, TOR Not Granted Yet,Non-Coal Mining,MIRZA ABRARUL BAIG,Awaiting TORL
55,SIA/OR/MIS/78048/2022,78048/02-MIS/06-2022,Up-gradation of  Rourkela Air Port (expansion case) under RCS-UDAN scheme of GoI,Orissa,,,23-Jun-22,22-Aug-22,INFRA-2,SAIL ROURKELA STEEL PLANT,TOR GrantedL
56,SIA/OR/MIN/78816/2022,78816/288-MINB1/06-2022,"Rengitipalli-D Stone Quarry over an area of 10.875 Acers or 4.401 hectares bearing Khata No. 494, Plot No. 25 in the village Rengitipalli under Tahasil Kodala in District Ganjam, State Odisha submitted under cluster approach with total cluster area 68.899 Hectares with consisting of 5 stone quarries.",Orissa,,,23-Jun-22, TOR Not Granted Yet,Non-Coal Mining,BHAGABAN PARIDA,Rejection Letter GrantedL
57,SIA/OR/MIN/78723/2022,78723/289-MINB1/06-2022,"Basenpali Stone Quarry over an area of 5.56 Ha/13.75Acre in village Basenpali, under Tahasil Lakhanpur Jharsuguda district, Odisha.",Orissa,,,23-Jun-22,23-Dec-22,Non-Coal Mining,M/S SHREE RADHARAMAN STONE CRUSHER PVT. LTD,TOR GrantedL
58,SIA/OR/MIN/76450/2022,76450/277-MINB1/06-2022,"Mantrajholla – VII Stone Quarry over an area of 3.00 acres or 1.214 hectares bearing Khata no. 20, Plot no. 102 in Mantrajholla village of Rayagada Tahasil, District- Rayagada, State Odisha submitted under cluster approach with total cluster area 11.936 Hectares with consisting of 8 stone quarries.",Orissa,,,23-Jun-22,01-Jan-00,Non-Coal Mining,JAYANTILAL PATEL,TOR GrantedL
59,SIA/OR/MIN/78740/2022,78740/290-MINB1/06-2022,"Jahada  Sand Quarry is a Sand Mining Project over an area of 18.788 Acres or 7.603Hectares located in village Jahada, Tahasil-Dharakote in Ganjam district of Odisha",Orissa,,,22-Jun-22,01-Jan-00,Non-Coal Mining,KESHA DORA,TOR GrantedL
60,SIA/OR/MIN/78732/2022,78732/291-MINB1/06-2022,"New proposed project of S.M.Jemadeipur Stone  Quarry with proposed excavation of 10692 CUM/year of stone of Tahasildar Kabisuryanagar having an area of 7.343 Ha. Located at Khata No. 332, Plot No. 165 & 27 At-  S.M.Jemadeipur, Tahasil- Kabisuryanagar, District- Ganjam, Odisha.",Orissa,,,22-Jun-22,01-Jan-00,Non-Coal Mining,TAHASILDAR KABISURYANAGAR,TOR GrantedL
61,SIA/OR/MIN/78700/2022,78700/292-MINB1/06-2022,"Rengitipalli-B Stone Quarry over an area of 33.716 Acers or 13.644 hectares bearing Khata No. 494, Plot No. 234,254,255,256,257 & 261 in the village Rengitipalli, Tahasil Kodala in district Ganjam, State Odisha submitted under cluster approach with total cluster area 68.899 Hectares with consisting of 5 stone quarries.",Orissa,,,21-Jun-22, TOR Not Granted Yet,Non-Coal Mining,JUTIKRUSHNA PANDI,Rejection Letter GrantedL
62,SIA/OR/MIN/78690/2022,78690/293-MINB1/06-2022,"Rengitipalli-A Stone Quarry over an area of 56.157 Acers or 22.726 hectares having Khata No. 494, Plot No. 11,13,14,15 & 16 in the village Rengitipalli under Tahasil Kodala in District Ganjam, State Odisha submitted under cluster approach with total cluster area 68.899 Hectares with consisting of 5 stone quarries.",Orissa,,,21-Jun-22, TOR Not Granted Yet,Non-Coal Mining,JUTIKRUSHNA PANDI,Rejection Letter GrantedL
63,SIA/OR/MIN/78668/2022,78668/276-MINB1/06-2022,"Kapilash  Sand Quarry is a Sand Mining Project over an area of 13.635 Acres or 5.518Hectares located in village Kapilash, Tahasil-Dharakote in Ganjam district of Odisha",Orissa,,,21-Jun-22,01-Jan-00,Non-Coal Mining,CHIRANJIBI DASH,TOR GrantedL
64,SIA/OR/MIN/78621/2022,78621/274-MINB1/06-2022,"Nimapalli-E Stone Quarry over an area of 16.00 acers or 6.475 Hectares having Khata No. 518 Plot No. 896 in the village Nimapalli, Tahasil Purushottampur in district Ganjam, State Odisha submitted under cluster approach with total cluster area 29.530 Hectares with consisting of 7 stone quarries.",Orissa,,,20-Jun-22,02-Aug-22,Non-Coal Mining,KRUPA MUDULI,TOR GrantedL
65,SIA/OR/MIN/78525/2022,78525/275-MINB1/06-2022,"Bhatakumarada Stone Quarry (under total cluster area 17.423 Ha. of 2 stone quarries) is a stone (road metal) mining project over an area of the mining lease is 15.805Ha./39.055ac.  which is  located  in  village  -  Bhatakumarada,  Tahasil  – Purushottampur,  District  -  Ganjam  of  Odisha",Orissa,,,20-Jun-22,02-Aug-22,Non-Coal Mining,KRUPA MUDULI,TOR GrantedL
66,SIA/OR/MIN/78344/2022,78344/273-MINB1/06-2022,"Uppalada Stone Quarry -I (under total cluster area 39.811 Ha. of  7 stone quarries) is a stone (road metal) mining project consisting of a stone quarry and the total area of the mining lease is 4.900 Ha. / 12.107  acres  which is  located  in  village  -  Uppalada,  Tahasil  – Paralakhemundi,  District  -  Gajapati  of  Odisha",Orissa,,,15-Jun-22,01-Jan-00,Non-Coal Mining,G. VENKATA RAMANNA,TOR GrantedL
67,SIA/OR/MIN/78042/2022,78042/271-MINB1/06-2022,"Laxmipur Sand quarry is a sand mining project over an area of 12.959acres/ 5.244Ha. located in village - Laxmipur , Tahasil - Dharakote in District - Ganjam of Odisha.",Orissa,,,11-Jun-22,01-Jan-00,Non-Coal Mining,KALPANA NAYAK,TOR GrantedL
68,SIA/OR/MIN/78209/2022,78209/272-MINB1/06-2022,"Pankalabadi - B Sand quarry is a sand mining project over an area of 12.682acres/ 5.132Ha. located in village - Pankalabadi , Tahasil - Dharakote in District - Ganjam of Odisha",Orissa,,,11-Jun-22,01-Jan-00,Non-Coal Mining,KRUPA MUDULI,TOR GrantedL
69,SIA/OR/MIN/78057/2022,78057/269-MINB1/06-2022,"Tumusinga Sand Quarry is a sand mining project over an area of 12.50 acres/ 5.06 Ha. located in village - Tumusinga , Tahasil - Kamakhyanagar in District - Dhenkanal of Odisha",Orissa,,,10-Jun-22,01-Jan-00,Non-Coal Mining,MANORANJAN PATRA,TOR GrantedL
70,SIA/OR/MIN/78054/2022,78054/270-MINB1/06-2022,"Brahmani River Sand Quarry, Kateni is a sand mining project over an area of 12.50 acres/ 5.06 Ha. located in village - Kateni, Tahasil - Kamakhyanagar in District - Dhenkanal of Odisha",Orissa,,,10-Jun-22,01-Jan-00,Non-Coal Mining,MANORANJAN PATRA,TOR GrantedL
71,SIA/OR/IND/77824/2022,77824/30-IND/06-2022,"Installation of Chrome Ore Benefication Plant of capacity 4,95,000 TPA throughput at Village-Tomka, Tehsil-Danagadi, District-Jajpur, Odisha of M/S Ferro Alloy Corporation Limited.",Orissa,,,09-Jun-22,23-Dec-22,Industrial Projects - 1,FERRO ALLOYS CORPORATION LTD,TOR GrantedL
