"","X","Proposal.No.","File.No.","Project.Name","Company","Proposal.Status","Project.Type","View"
"11",1,"SIA/KA/MIN/1858/2015","SEIAA 1095 MIN 2015","“Building Stone Quarry” of  K.S.Ashwathanarayana Gowda at  Sy No: 9,  Bandihalli Village, Hassan Taluk, Hassan District, Karnataka.","ASHWATHANARAYANA G","EC Granted","EC",NA
"12",2,"SIA/KA/MIN/1731/2015","SEIAA 1063 MIN 2015","“Building Stone Quarry” of  Sri. Pandu Appu Tarale at Sy No. 80/6 (P) of Ambewadi Village, Belagavi Taluk, Belagavi District, Karnataka","PANDU TARALE","EC Granted","EC",NA
"13",3,"SIA/KA/MIN/1678/2015","SEIAA 1049 MIN 2015","“Building Stone Quarry” of M/s. S N R Enterprises Over an extent of 3-24 Acres under (Government  Land)  at Survey No. 29 (P),  Huluvenahalli Village,  Bangalore south  Taluk,  Bangalore urban District,  Karnataka.","S R UDAYASHANKAR","EC Granted","EC",NA
"14",4,"SIA/KA/NCP/3616/2015","SEIAA 175 CON 2015","Construction of 3 BHK Housing Project Phase – V at Valagerahalli, Gnanabharathi Lay out, Kengeri Hobli, Bangalore South Taluk by Bangalore Development Authority [BDA].","COMMISIONER","EC Granted","EC",NA
"15",5,"SIA/KA/NCP/1790/2015","SEIAA 142 CON 2015","Proposed Residential Development Project","TOTAL ENVIRONMENT CONSTRUCTIONS PVT LTD","EC Granted","EC",NA
"16",6,"SIA/KA/NCP/1369/2015","SEIAA 134 CON 2015","Park West Apartment","RELATIONSHIP PROPERTIES PVT LTD","EC Granted","EC",NA
"17",7,"SIA/KA/NCP/2588/2015","SEIAA 154 CON 2015","Building & Construction projects","ULTRATECH ENVIRONMENTAL CONSULTANCY AND LABORATORY","EC Granted","EC",NA
"18",8,"SIA/KA/NCP/72980/2018","SEIAA 30 CON 2018","EC for Commercial (Office Building) at Katha old No.112 New No.492, Sy
No.60/1 Mahadevapura Village, K.R.Puram Hobali, Bangalore East","MS POWER  POINT","EC Granted","EC",NA
"19",9,"SIA/KA/NCP/53796/2016","SEIAA 79 CON 2016","Akshay Sky Mall","AKSHAY MALL","EC Granted","EC",NA
"20",10,"SIA/KA/MIN/70671/2017","SEIAA 100 MIN 2017","“Narve Sand Block - OSB-25 River Sand Quarry” Adjacent to Sy. No. - 68, 78, 79, 81 in Narve Village & Sy. No. 56 in Goravanahalli Village in Hemavathi River bed,an extent of 16-00 Acres","SRI. C. R. DHARMA PRAKASH","EC Granted","EC",NA
"21",1,"SIA/KA/MIS/224270/2021","SEIAA 93 CON 2021","Proposed Residential Tower project","M/S. SNN ARJUN LLP","EC Granted","EC",NA
"22",2,"SIA/KA/MIN/44648/2019","SEIAA 726 MIN 2019","“Shahabad Stone (Cherty Lime Stone ) Quarry” of  Sri. Arif Patel, S/o Jafar Patel","SRI. ARIF PATEL, S/O JAFAR PATEL","EC Granted","EC",NA
"23",3,"SIA/KA/MIS/122005/2019","SEIAA 142 CON 2019","GREEN NESTO","GREEN NESTO PVT. LTD.","EC Granted - Processed offline","EC",NA
"24",7,"SIA/KA/NCP/71418/2017","SEIAA 142 CON 2017","Residential Apartment project by M/s. Ruchira Projects Pvt Ltd., at Sy. No 12/2 at Bandapura Village, Bidarahalli Hobli, Bangalore East Taluk, Bangalore Urban District.","MS RUCHIRA PROJECTS PVT  LTD","EC Granted","EC",NA
"25",1,"SIA/KA/MIN/2744/2015","SEIAA 1214 MIN 2015","Ucchangidurga Building Stone Quarry","MARULASIDDESHWARA STONE CRUSHER","EC Granted","EC",NA
"26",2,"SIA/KA/MIN/2740/2015","SEIAA 1225 MIN 2015","“Shahabad Stone Quarry” of  Sri. Lachamayya at Kontanapalli Village, Sedam Taluk, Kalburgi District,","SRI LACHAMAYYA","EC Granted","EC",NA
"27",3,"SIA/KA/MIN/2672/2015","SEIAA 1199 MIN 2015","“Building Stone Quarry” of  Sri Shanthakumar at Kouthamaranahalli Village, Tumkur Taluk, Tumkur District,","SRI SHANTHAKUMAR","EC Granted","EC",NA
"28",4,"SIA/KA/MIN/2649/2015","SEIAA 1196 MIN 2015","“Shahabad Stone Quarry” of  Sri. Vithal Reddy at  Sy No: 53,  Madakal Village, Sedam Taluk, Kalburgi District, Karnataka 1-00","VITHAL REDDY","EC Granted","EC",NA
"29",5,"SIA/KA/MIN/1121/2015","SEIAA 960 MIN 2015","Thimmapur Limestone & Dolomite mine Of Sri. Prahlad H. Pujar at Sy, No, 81, 82, 83, 84, 85 & 86  in Thimmapur Village, Mudhol taluk,  Bagalkot Dist, Karnataka State","PRAHLAD H PUJAR","EC Granted","EC",NA
"30",6,"SIA/KA/RIV/2400/2015","SEIAA 1175 MIN 2015","Ordinary Sand Block","SIKANDAR BASHA","EC Granted","EC",NA
"31",7,"SIA/KA/MIN/2350/2015","SEIAA 1169 MIN 2015","Granite Building Stone Quarry","K S REVANASIDDAPPA STONE QUARRY","EC Granted","EC",NA
"32",8,"SIA/KA/MIN/2335/2015","SEIAA 1166 MIN 2015","“Building Stone Quarry” of Sri M. Sandeep","BUILDING STONE QUARRY OF SRI M SANDEEP","EC Granted","EC",NA
"33",9,"SIA/KA/MIN/785/2015","SEIAA 929 MIN 2015","“Building Stone Quarry” of M Thimmappa","M THIMMAPPA","EC Granted","EC",NA
"34",10,"SIA/KA/MIN/194069/2021","SEIAA 31 MIN 2021","Shahabad Stone Quarry","SMT. SHARANAMMA","EC Granted - Processed offline","EC",NA
"35",1,"SIA/KA/NCP/70411/2017","","Nitesh Cape Cod","NITESH URBAN DEVELOPMENT PRIVATE LIMITED","Delisted","EC",NA
"36",2,"SIA/KA/IND2/17537/2016","SEIAA 49 IND 2016","-1","LOHITHA LABORATORIES","EC Granted","EC",NA
"37",3,"SIA/KA/NCP/70434/2017","","NITESH CAPE COD","NITESH URBAN DEVELOPMENT PVT LTD","Delisted","EC",NA
"38",4,"SIA/KA/NCP/70636/2017","SEIAA 116 CON 2017","Proposed Residential Apartment by M/s Axis Concepts Capstone Pvt Ltd","M/S AXIS CONCEPTS CAPSTONE PVT LTD","EC Granted","EC",NA
"39",5,"SIA/KA/MIN/162914/2020","SEIAA 254 MIN 2020","“Nekkiladi Sand Block” of Sri. S Anand","SRI. S  ANAND","EC Granted - Processed offline","EC",NA
"40",6,"SIA/KA/MIN/3942/2015","SEIAA 1399 MIN 2015","Building Stone Quarry","ULLAS R SHETTY","EC Granted","EC",NA
"41",7,"SIA/KA/MIN/3884/2015","SEIAA 1373 MIN 2015","BUILDING STONE QUARRY","MALLAPPA D","EC Granted","EC",NA
"42",8,"SIA/KA/MIN/3832/2015","SEIAA 1382 MIN 2015","“Sand Quarry” in   Chikkahole Kagnur Block 1 adjacent to Sy. No. 18,19,31,168 &167 Block no. 1  of Kagnur village of Chikkahole, Alur Taluk, Hassan District, Karnataka","DISTRICT SAND COMMITTEE HASSAN","EC Granted","EC",NA
"43",9,"SIA/KA/MIN/3818/2015","SEIAA 1378 MIN 2015","“Building Stone Quarry” of  Sri. Balaji Stone Crusher at Ambewadi Village, Belagavi Taluk","SRI BALAJI STONE CRUSHER","EC Granted","EC",NA
"44",10,"SIA/KA/MIN/3610/2015","SEIAA 1359 MIN 2015","Building Stone Quarrying Lease(renewal) Notified  in S No 249/p1 Tenka Yedapadavu Village, Mangaluru Taluk, Dakshina Kannada District,Karnataka to  Shrri krishnappa Poojary","KRISHNAPPA POOJARY","EC Granted","EC",NA
"45",1,"SIA/KA/NCP/3079/2015","SEIAA 160 CON 2015","REVANTA","MERUSHIKAR INFRA L L P","EC Granted","EC",NA
"46",2,"SIA/KA/IND/3217/2015","SEIAA 30 IND 2015","Establishment of Standalone Grinding Cement Industry","HEMAVATHI CEMENT INDUSTRIES","EC Granted","EC",NA
"47",3,"SIA/KA/NCP/72972/2018","SEIAA 39 CON 2018","SOWPARNIKA KUMBALGODU","SPIPL KARNATAKA","EC Granted","EC",NA
"48",4,"SIA/KA/NCP/72983/2018","SEIAA 34 CON 2018","VILLA DEVELOPMENT @DODDAGUBBI","ASHED PROPERTIES INVESTMENTS PRIVATE LIMITED","EC Granted","EC",NA
"49",5,"SIA/KA/NCP/73766/2018","SEIAA 62 CON 2018","Proposed Residential Development","SHUBHACHANDHI GRIHA NIRMAN PVT. LTD","EC Granted","EC",NA
"50",6,"SIA/KA/MIN/43021/2019","SEIAA 662 MIN 2019","“Ornamental Granite Quarry” of  M/s Devi Kamakshi Granites & Stones","M/S DEVI  KAMAKSHI GRANITES & STONES","EC Granted - Processed offline","EC",NA
"51",7,"SIA/KA/MIN/43579/2018","SEIAA 693 MIN 2019","Building Stone Quarry","SRI. B. SRIKANTH","Awaiting EC","EC",NA
"52",8,"SIA/KA/MIN/43843/2019","SEIAA 706 MIN 2019","“Neeralgi Ordinary Sand Quarry” In Patta Land Of Shrikanth. G. Sulibhavi","SRI. SHRIKANTH G SULIBHAVI","EC Granted - Processed offline","EC",NA
"53",9,"SIA/KA/MIN/43897/2019","SEIAA 716 MIN 2019","“Ordinary Sand Quarry” in patta land By Sri. Khaja Hussain B","SRI. KHAJA HUSSAIN B","EC Granted","EC",NA
"54",10,"SIA/KA/IND2/44027/2017","SEIAA 38 IND 2019","60 KLPD Second Generation (2G) Ethanol Project by Mangalore  Refinery and Petrochemicals Limited at  Hanagawadi Village, Harihar Taluk, Davangere District, Karnataka","MANGALORE REFINERY AND PETROCHEMICALS LTD","EC Granted","EC",NA
"55",1,"SIA/KA/MIN/94908/2019","SEIAA 150 MIN 2019","“Building Stone (Basalt) Quarry” over an extent of 2-20 Acres at Sy No. 23(P),Sultanpur (J) village,Bidar Taluk Bidar District,Karnataka","M/S. KAS M-SAND INDUSTRIES & ALLIED CEMENT PRODUCTS","Delisted","EC",NA
"56",2,"SIA/KA/MIN/95051/2019","SEIAA 158 MIN 2019","“Building stone (Basalt) Quarry” over an extent of 1-00 Acres at Sy. No. 19/1, Mudbi village, Basavakalyan Taluk, Bidar District, Karnataka","SRI GURUPRASAD  NARASHETTY","EC Granted","EC",NA
"57",3,"SIA/KA/IND2/151882/2020","","Proposed Product mix  expansion of cosmaceutical, Active Pharmaceuticals and Specialty chemicals","KUMAR ORGANIC PRODUCTS LIMITED","Delisted","EC",NA
"58",4,"SIA/KA/MIS/151947/2020","SEIAA 70 CON 2020","Bunts Alias Nadavara Mathr Sangha Centenary Convention Centre","BUNTARA YANE NADAVARA MATHR  SANGHA","EC Granted - Processed offline","EC",NA
"59",5,"SIA/KA/MIN/71734/2017","SEIAA 116 MIN 2017","PINK GRANITE QUARRY","AMARJYOTHI  STONE","EC Granted","EC",NA
"60",6,"SIA/KA/MIN/62640/2017","SEIAA 21 MIN 2017","“Sand Quarry” at Hennali Sand Mining Block-1 in Hemavathi River bed over an extent of 18.00 Acre (7.28 Ha) adjacent to Sy. No. 160, 164, 165, 170, 175 & 176 of Hennali Village, Sakaleshpura Taluk, Hassan District, Karnataka","VISVESVARAYA JALA NIGAM","EC Granted","EC",NA
"61",7,"SIA/KA/MIN/41510/2016","SEIAA 89 MIN 2016","balkundi pink granite quarry","VICTOR TECH SOLUTIONS","TransferToDEIAA","EC",NA
"62",8,"SIA/KA/MIN/1853/2015","SEIAA 1088 MIN 2015","Building Stone Quarry of M/s. Hi-Tech Rock Products and Aggregates Ltd","HI TECH ROCK PRODUCTS AND AGGREGATES LTD","EC Granted","EC",NA
"63",9,"SIA/KA/MIN/1736/2015","SEIAA 1073 MIN 2015","“Building Stone Quarry” of Sri Shankar Murthy","BUILDING STONE QUARRY OF SRI SHANKAR MURTHY","EC Granted","EC",NA
"64",10,"SIA/KA/NCP/2583/2015","SEIAA 151 CON 2015","Proposed Residential Apartments & project By M/s. Reddy Housing Pvt Ltd No 133/1,2nd floor,  The Residency, Residency Road, Bangalore-560025 at  Sy. No: 12/5,12/6,12/8,12/9,12/10 Sonnappanahalli Village, Jala Hobali, Bangalore North  Taluk, Bangalore","REDDY HOUSING PVT LTD","EC Granted","EC",NA
"65",1,"SIA/KA/RIV/2297/2015","SEIAA 1174 MIN 2015","Ordinary Sand Block","SIKANDAR BASHA","EC Granted","EC",NA
"66",2,"SIA/KA/MIN/600/2015","SEIAA 893 MIN 2015","building stone quarry of Sri Sundarbabu","SUNDARBABU","EC Granted","EC",NA
"67",3,"SIA/KA/MIN/753/2015","SEIAA 903 MIN 2015","Building Stone Quarry Sri C Mallesh","C MALLESH","EC Granted","EC",NA
"68",4,"SIA/KA/MIN/781/2015","SEIAA 902 MIN 2015","Building Stone Quarry","HIREHOSBA STONE CRUSHER","EC Granted","EC",NA
"69",5,"SIA/KA/MIN/675/2015","SEIAA 915 MIN 2015","Building Stone Quarry","RAJARAM HEGDE","EC Granted","EC",NA
"70",6,"SIA/KA/MIN/1221/2015","SEIAA 982 MIN 2015","“Fuller’s Earth Quarry” of  Sri Basavaraj Galangalappa Patil at  Sy No: 68/3,  Kudhalli Village,  Chincholi Taluk,  Kalaburgi District, Karnataka","BASAVARAJ GALANGALAPPA PATIL","EC Granted","EC",NA
"71",7,"SIA/KA/NCP/38025/2016","","proposed residential apartment project by Smt. H Shailaja at Sy. No. 186/4, Kaggadasapura Village, Varthur Hobli, Bangalore East Taluk, Bengaluru Urban District.","SMT H SHAILAJA","Delisted","EC",NA
"72",8,"SIA/KA/MIN/184255/2020","SEIAA 341 MIN 2020","“Building Stone Quarry” of  Sri. Ibrahim Sharief","SRI. IBRAHIM SHARIEF","EC Granted - Processed offline","EC",NA
"73",9,"SIA/KA/MIN/899/2015","","RAMARAYAIPATIL","RAMARAYA","Pending at PP due to eds","EC",NA
"74",10,"SIA/KA/MIN/44262/2019","SEIAA 717 MIN 2019","Ordinary Sand Quarry","ADANAGOUDA BADARLI","EC Granted","EC",NA
"75",1,"SIA/KA/IND2/17203/2015","SEIAA 2 IND 2015","Proposed Construction of Fishing Harbour & Training wall at Hejamadikodi Fish Landing Center At Hejamadikodi Village, Udipi Taluk, Udipi District, Karnataka State","DEPARTMENT OF FISHERIES","EC Granted","EC",NA
"76",2,"SIA/KA/MIN/254557/2022","SEIAA 41 MIN 2022","BUILDING STONE QUARRY","FAYAZ ANKALGI","Delisted","EC",NA
"77",3,"SIA/KA/MIN/52090/2016","SEIAA 110 MIN 2016","NIDAGAL MULTI COLOUR GRANITE QUARRY","MYSORE MINERALS LIMITED","EC Granted","EC",NA
"78",4,"SIA/KA/MIS/39079/2019","SEIAA 14 CON 2019","“Divyasree Technopolis”","DIVYASREE INFRASTRUCTURE PROJECTS PVT. LTD","EC Granted - Processed offline","EC",NA
"79",5,"SIA/KA/MIN/162021/2020","SEIAA 246 MIN 2020","Building Stone Quarry","M/S. V2 ASSOCIATEDS","EC Granted - Processed offline","EC",NA
"80",6,"SIA/KA/MIN/40416/2016","SEIAA 26 MIN 2016","Building Stone Quarry of G.S.Rathnamma","G S RATHNAMMA","TransferToDEIAA","EC",NA
"81",7,"SIA/KA/NCP/32906/2015","SEIAA 188 CON 2015","Anand Somu Pristine","ANAND GROUP","EC Granted","EC",NA
"82",8,"SIA/KA/MIN/139063/2020","SEIAA 62 MIN 2020","“Ordinary Sand Quarry” of Sri. Sunil C Hanji","SRI. SUNIL C HANJI","EC Granted - Processed offline","EC",NA
"83",9,"SIA/KA/NCP/72115/2018","SEIAA 11 CON 2018","Proposed Residential Apartment and Commercial Building project at Sy No. 44 at Pattanduru Agrahara Village, K R Puram  Hobli, Bangalore East Taluk, Bangalore.","MS CJN PROPERTIES","EC Granted","EC",NA
"84",10,"SIA/KA/MIN/2925/2015","SEIAA 1245 MIN 2015","“Shahabad Stone Quarry” of  Sri. Sharanabasappa Sy No: 194/3,  Madkal Village, Sedam Taluk, Gulbarga District, Karnataka","SRI SHARANABASAPPA","EC Granted","EC",NA
"85",1,"SIA/KA/MIN/3446/2015","SEIAA 1300 MIN 2015","Sand Removal from Sand Bar (SB-SH-20) in Sharavathi River","DISTRICT SAND MONITORING COMMITTEE","EC Granted","EC",NA
"86",2,"SIA/KA/MIN/3060/2015","SEIAA 1292 MIN 2015","Building Stone Quarry","A R ABHISHEK","EC Granted","EC",NA
"87",3,"SIA/KA/MIN/3146/2015","SEIAA 1266 MIN 2015","BUILDING STONE QUARRY Q.L.NO.748","JAYAKUMAR","EC Granted","EC",NA
"88",4,"SIA/KA/MIN/3129/2015","SEIAA 1267 MIN 2015","BUULDING STONE QUARRY OF NITHYANAND","NITHYANAND","EC Granted","EC",NA
"89",5,"SIA/KA/MIN/74413/2018","SEIAA 28 MIN 2018","DUMAGERE GREEN GRANITE QUARRY","MYSORE MINERALS LIMITED","Delisted","EC",NA
"90",6,"SIA/KA/MIN/74422/2018","","M/s Srinivas Mines & Minerals","MS SRINIVAS MINES AND MINERALS","Delisted","EC",NA
"91",7,"SIA/KA/MIN/48013/2016","SEIAA 97 MIN 2016","Salawada Sand Quarry Block No.1","MEMBER SECRETARY","EC Granted","EC",NA
"92",8,"SIA/KA/MIN/91443/2019","SEIAA 43 MIN 2019","“Building Stone Quarry” over an extent of 2-20 Acres at Sy No: 25(P), Kantarlahalli Village, Gudibande Taluk, Chikkaballapura District, Karnataka (QL 44)","MS S L N ENTERPRISES","EC Granted","EC",NA
"93",9,"SIA/KA/MIN/91451/2019","SEIAA 37 MIN 2019","Manjunatha Stone Crusher","MANJUNATHA STONE CRUSHER","EC Granted","EC",NA
"94",10,"SIA/KA/MIN/91515/2019","SEIAA 36 MIN 2019","“Building Stone Quarry” over an extent of 5-00 Acres at Sy No: 39, Kanivenarayanapura Village, Chikkaballapura Taluk, Chikkaballapura District, Karnataka.","SRI SAII ENTERPRISES","EC Granted","EC",NA
"95",1,"SIA/KA/MIN/20420/2017","","Rama Iron Ore Mine of M/s. JSW Steel Limited.","JSW STEEL LIMITED","Under examination of SEIAA after SEAC","EC",NA
"96",2,"SIA/KA/MIN/270207/2022","SEIAA 207 MIN 2022","Building Stone Quarry","M/S. UNITY ASSOCIATES","EC Granted","EC",NA
"97",3,"SIA/KA/NCP/60647/2016","SEIAA 159 CON 2016","MAHENDRA AARNA","MAHENDRA HOMES PVT LTD","EC Granted","EC",NA
"98",4,"SIA/KA/MIN/36530/2015","SEIAA 1630 MIN 2015","“Building Stone Quarry” over an extent of 1-00 Acre at Sy.No-181/1 in B.Aralikatti - Village, Chabbi – Hobali, Hubli-Taluk, Dharwad-District, Karnataka State.","R I CHIKKANAGOWDAR","EC Granted","EC",NA
"99",7,"SIA/KA/MIN/79636/2018","SEIAA 56 MIN 2018","“Sand Quarry” at Kalahal Sand Block over an extent 21-00 Acres (8.498 ha) in Javulahalla Bed adjacent to Sy. No. from 205(P) to 209(P), 211(P), 204, 206, 209, 211, 216, 213, 214 and from 216 to 218, 223, 1, 2, 3(P) of Kalahal Village, Ramdurg Taluk,","SRI SANTHOSH J MEGERI","EC Granted","EC",NA
"100",8,"SIA/KA/NCP/33682/2015","SEIAA 195 CON 2015","Residential Apartment at Sy No 28, Kenchenahalli Village, Bangalore.","BHARATH P SHAH AND MRS VEENA HASMUKH SHAH","EC Granted","EC",NA
"101",9,"SIA/KA/MIN/33708/2015","SEIAA 1527 MIN 2015","“Building Stone Quarry” over an extent of 2.50 Acres at Sy No: 1/B1, UcchangidurgaVillage, Harapanahalli Taluk, Davanagere District, Karnataka.","MS TULAJA BHAVANI STONE CRUSHER","EC Granted","EC",NA
"102",1,"SIA/KA/MIN/2270/2015","SEIAA 1156 MIN 2015","River Sand Mining","DISTRICT SAND MONITORING COMMITTEE BELGAUM","EC Granted","EC",NA
"103",2,"SIA/KA/MIN/2020/2015","SEIAA 1126 MIN 2015","Building stone Quarry (QL No 289)","N SUBBARAO","EC Granted","EC",NA
"104",3,"SIA/KA/MIN/185672/2020","SEIAA 370 MN 2020","“Ornamental Stone (Grey Granite) and Building  Stone Quarry” of Sri B.S Mahesh & Smt. Saraswathamma","B S MAHESH","EC Granted - Processed offline","EC",NA
"105",4,"SIA/KA/MIS/97322/2019","","Residential Development","MANA PROMOTERS LLP","Delisted","EC",NA
"106",5,"SIA/KA/MIN/210229/2021","SEIAA 220 MIN 2021","Building Stone Quarry","SRI. RAMAKRISHNA ADAPA","EC Granted","EC",NA
"107",6,"SIA/KA/MIN/210780/2021","SEIAA 245 MIN 2021","“Building Stone Quarry” of  Sri H. M. Mallikarjunaswamy","SRI H. M. MALLIKARJUNASWAMY","WithdrawEC","EC",NA
"108",7,"SIA/KA/MIN/4370/2015","SEIAA 1489 MIN 2015","Proposed Halgera Building Stone Quarry","SRI NAGAPPA","TransferToDEIAA","EC",NA
"109",8,"SIA/KA/MIN/216196/2021","SEIAA 268 MIN 2021","M/s TIRUMALA KALLUKUTIGARA SANGHA","MS TIRUMAL KALLUKUTIGARA SANGHA","EC Granted","EC",NA
"110",9,"SIA/KA/MIN/213372/2021","SEIAA 845 MIN 2019","“Dolomite Mineral” of M/s Sona Minerals","M/S SONA MINERALS","EC Granted - Processed offline","EC",NA
"111",10,"SIA/KA/MIN/218325/2021","SEIAA 374 MIN 2021","Hosuru Ordinary Sand Block No. 22","KARNATAKA STATE MINERALS  CORPORATION LIMITED","Delisted","EC",NA
"112",1,"SIA/KA/MIN/69339/2017","SEIAA 69 MIN 2017","River Sand Mining Of Sri R Siddamurthi at Saluhunase Block No 2","NATURAL SAND QUARRY OF R SIDDAMURTHI","EC Granted","EC",NA
"113",2,"SIA/KA/MIN/94958/2019","SEIAA 151 MIN 2019","HURULIHALLI RIVER SAND QUARRY BLOCK NO. 33","RAGHAVENDRA H E","EC Granted","EC",NA
"114",3,"SIA/KA/MIS/33434/2010","SEIAA 95 CON (VIOL) 2018","Expansion of Residential Apartment Project at Survey Numbers 48/2A, 49/1, 49/2A, 49/2B and 51/1 of Avalahalli Village, Yalahanka Hobli, Bangalore North Taluk, Bangalore District by M/s Ramky Estate an","RAMKY ESTATE AND FARMS LIMITED","Delisted","EC",NA
"115",4,"SIA/KA/MIN/33544/2019","","SHREE DANESHWARI ASSOCIATES","SHREE DANESHWARI ASSOCIATE","Delisted","EC",NA
"116",5,"SIA/KA/NCP/17015/2016","SEIAA 124 CON 2016","Ozone Urban infra Developers Pvt Ltd","OZONE URBANA INFRA DEVELOPERS PVT LTD","EC Granted","EC",NA
"117",6,"SIA/KA/MIS/62010/2017","SEIAA 8 MIN 2017","“Removal of Sand Bar over an extent of 10.06 Ha in Sand Bar No. SB-AG-1 in Aghanashini River at Hegde village, Kumta Taluk and Uttara Kannada District, Karnataka”.","DISTRICT SAND MONITORING COMMITEE CRZ","Rejection Letter Granted","EC",NA
"118",7,"SIA/KA/MIN/154785/2020","","Building Stone","SRI. DINESH AMEEN","Delisted","EC",NA
"119",8,"SIA/KA/MIN/4526/2015","SEIAA 1492 MIN 2015","Building Stone Quarry","ULTRATECH ENVIRONMENTAL CONSULTANCY AND LABORATORY","EC Granted","EC",NA
"120",9,"SIA/KA/MIN/4518/2015","SEIAA 1483 MIN 2015","Building Stone Quarry (QL No. CTA-509)","SRI TIPPERUDRAIAH","EC Granted","EC",NA
"121",10,"SIA/KA/MIN/4511/2015","SEIAA 1491 MIN 2015","Building Stone Quarry of M/s Clariya Enterprises","CLARIYA ENTERPRISES","EC Granted","EC",NA
"122",1,"SIA/KA/MIN/2253/2015","SEIAA 1148 MIN 2015","Building Stone Quarry","ULTRATECH ENVIRONMENTAL CONSULTANCY AND LABORATORY","EC Granted","EC",NA
"123",2,"SIA/KA/MIN/2171/2015","SEIAA 1144 MIN 2015","Bioding stone of Sri SS Raju","SS RAJU","EC Granted","EC",NA
"124",3,"SIA/KA/NCP/42463/2016","SEIAA 14 CON 2016","Fountainhead","KRISHNA E CAMPUS PRIVATE LIMITED","EC Granted","EC",NA
"125",4,"SIA/KA/IND2/18015/2016","SEIAA 60 IND 2016","Bharat Petroleum Corporation Ltd","BHARAT PETROLEUM CORPORATION LTD,","EC Granted","EC",NA
"126",5,"SIA/KA/MIN/225377/2021","SEIAA 397 MIN 2021","“Building Stone (M-Sand) Quarry” of Sri. B. S. Mahalingappa","SRI B. S. MAHALINGAPPA","Delisted","EC",NA
"127",6,"SIA/KA/MIN/226821/2021","SEIAA 448 MIN 2021","Building Stone Quarry","SMT. VIJAYALAXMI","EC Granted","EC",NA
"128",7,"SIA/KA/MIN/91963/2019","SEIAA 70 MIN 2019","“Building stone Quarry” over
an extent of 4-00 Acres at Sy. No. 39, Kanivenarayanapura Village, Chikkaballapura","VINAYAKA ROCK CRYSTALS","Delisted","EC",NA
"129",8,"SIA/KA/MIN/92342/2019","SEIAA 141 MIN 2019","Environmental Clearance for Building Stone Quarry in 0.50 Acre of Govt. Land bearing Sy. No. 340/1, Belle Village, Udupi Taluk & District, Karnataka, vide QL No. 200.","SRI. RONALD SEQUERA","EC Granted - Processed offline","EC",NA
"130",9,"SIA/KA/MIN/126681/2019","SEIAA 787 MIN 2019","Pink Granite","SRI. SIDDAPPA YANKAPPA BANDI","EC Granted - Processed offline","EC",NA
"131",10,"SIA/KA/MIS/107748/2019","SEIAA 83 CON 2019","Development of Residential Apartments","SANTHOSH TAZHATHU","Delisted","EC",NA
"132",1,"SIA/KA/MIN/185704/2020","SEIAA 416 MIN 2020","Building Stone Quarry","SRI. ANANT KASHINATH SAVANT","Delisted","EC",NA
"133",2,"SIA/KA/MIN/148229/2020","SEIAA 133 MIN 2020","Building Stone Quarry","M/S. BALAJIO STONE CRUSHER, OWNER. SRI. SUNIL C MANE.","EC Granted - Processed offline","EC",NA
