"","Proposal.No.","File.No.","Project.Name","Company","Proposal.Status","Project.Type","View"
"20","SIA/BR/MIN/135084/2020","","BARNAWA BALU GHAT OF BURHI GANDAK RIVER, VILL.- GULRIYA, POST- KATHA, DIST.- EAST CHAMPARAN, BIHAR, AREA- 1 HA., APPLICANT- MR. VINAY KUMAR","MOTIHARI SAND DEPOSIT OF EAST CHAMPARAN, BIHAR,  APPLICANT- SHRI VINAY KUMAR","Delisted","EC",NA
"21","SIA/BR/MIS/132872/2019","SIA/8(a)/992/2020","Residential Building Project “SKK Valencia”.","M/S SHANTI KRISHNA KANHAIYA CONSTRUCTIONS AND DEVELOPERS PVT. LTD","EC Granted","EC",NA
"22","SIA/BR/MIN/133292/2019","","m/s s swastika k bricks","SADAN KISHOR PRASAD","Delisted","EC",NA
"23","SIA/BR/NCP/63443/2017","","Proposed Construction of Flyover (4 Lane carriageway) connecting Mithapur Flyover to Bhikhari Thakur (Yarpur) Flyover via             R. Block Junction in Patna Town, Bihar","BIHAR RAJYA PUL NIRMAN NIGAM LIMITED","Delisted","EC",NA
"24","SIA/BR/MIN/31472/2019","SIA/1(a)/639/19","Sand mining project at Lodipur ghat on Son river in district Bhojpur, Bihar","BROADSON COMODITIES PVT LTD","EC Granted","EC",NA
"25","SIA/BR/MIN/144609/2020","","Soil Clay Mining at Mauza- Panapur Shreemath, P.O- Maniyarpur, P.S- Desri, District- Vaishali (Bihar)","M/S BIJA RAY","Delisted","EC",NA
"26","SIA/BR/MIN/48478/2016","","River Sand (Minor Mineral) Mining Project for Madho
Rampur Ghat in Bhagalpur District of Bihar.","MS SAINIK FOOD PVT LTD","Delisted","EC",NA
"27","SIA/BR/IND1/415859/2023","","Balmukund Concast Limited","BALMUKUND CONCAST LIMITED","Delisted","EC",NA
"28","SIA/BR/MIN/70404/2017","SIA/1(a)/529/18","STONE MINING PROJECT AT BLOCK NO-29","RAJ KUMAR SINGH","Delisted","EC",NA
"29","SIA/BR/NCP/65471/2017","SIA/8(a)/506/17","“ORBITO” COMMERCIAL AND RESIDENTIAL
PROJECT","MUNDESHWARY MULTICON","EC Granted","EC",NA
"30","SIA/BR/MIN/136583/2020","","BRICK EARTH MINING PROJECT FOR M/S BOSS BRICKS, MAUZA KHUSALPUR PRANPUR KATIHAR, AREA -2.63 Ac, 1.06 Ha","BOSS BRICKS","Delisted","EC",NA
"31","SIA/BR/MIN/69940/2017","","Proposed Sand Mining Project at Itma Sand Ghat on Mohana River","WESTLINK TRADING PRIVATE LIMITED","Delisted","EC",NA
"32","SIA/BR/MIN/129794/2019","","Brick Earth Mining Project at Village- Pathar, P.o.- Garhani, P.S.-Charpokhri, Dist.-Bhojpur (Bihar)","M/S PRANAM EATA","Delisted","EC",NA
"33","SIA/BR/MIN/133330/2019","","Brick Earth Mining Project at Village- Maujipur, P.O- Fatuha, P.S - Fatuha, District- Patna(Bihar)","M/S- S.B.M BRICKS","Delisted","EC",NA
"34","SIA/BR/NCP/92289/2019","","Proposed Type B Staff Quarters At Plot No. D In Housing Development Gardanibagh At Patna","BUILDING CONSTRUCTION DEPARTMENT","Delisted","EC",NA
"35","SIA/BR/MIN/137847/2020","","BRICK EARTH MINING PROJECT FOR M/S RESHMI INT UDYOG, MAUZA AMNAWAN, ISLAMPUR, DISTRICT NALANDA AREA- 3.01 Ac, 1.21 Ha","M/S RESHMI INT UDYOG PROP ABHISHEK KUMAR","Delisted","EC",NA
"36","SIA/BR/MIN/131096/2019","","M/s Radha Bricks (Prop: Mahesh Sah)","M/S. RADHA BRICKS (MAHESH SHA)","Delisted","EC",NA
"37","SIA/BR/MIN/417379/2023","","Jalwa Quartz-Quartzite (Silica Stone) Mine","IDIO CONSTRUCTION AND INDUSTRIES INDIA LTD","Under examination of SEIAA","EC",NA
"38","SIA/BR/MIN/161171/2020","","BRICK EARTH MINING PROJECT FOR M/S ATA BRICKS MAUZA GARHA RANIGANJ ARARIA AREA 3.00 Ac 1.21 Ha","ATA BRICKS PROP UMESH SHARMA","Delisted","EC",NA
"39","SIA/BR/MIN/64380/2017","SIA/1(a)/489/17","Sand Mining Project on Morabbi Chak Ghat at Paimar River","WESTLINK TRADING PRIVATE LIMITED","EC Granted","EC",NA
"40","SIA/BR/MIN/66064/2017","","Sand Mining Project at Jogidha Numar Sand Ghat on Anjana River.","WESTLINK TRADING PRIVATE LIMITED","Delisted","EC",NA
"41","SIA/BR/MIN/66070/2017","SIA/1(a)/555/18","Sand Mining Project at Kalai & Durga Mandir Ghat on Ulai River.","WESTLINK TRADING PRIVATE LIMITED","Delisted","EC",NA
"42","SIA/BR/MIN/148804/2020","","Royal Int Udyog","M/S ROYAL INT UDYOG","Delisted","EC",NA
"43","SIA/BR/NCP/64052/2017","","Commercial Project “Delight Mall FO” at Plot No.-49, 54, 55, 56 & 57, Khata No.-84, 90 & 94, Tauzi No.-5519, Thana No.-22 Mauza- Jalalpur, Thana-Danapur Patna Bihar","MERIDIAN CONSTRUCTION INDIA LIMITED","Delisted","EC",NA
"44","SIA/BR/MIN/36017/2019","","Report of Brick Earth Mining Project of Area 2.62 Acres or 1.06 Hectare for M/s J.P.S Bricks at Vill/Mauza- Narayanpur,P.O- Narayanpur, P.S + Anchal- Bihta, District- Patna, State: Bihar","MS JPS BRICKS","Pending at PP due to eds","EC",NA
"45","SIA/BR/MIN/136306/2020","","Proposed Brick Earth Mining Project of Area 1.30 Hectare Or 3.2 Acre M/S F. B. I Bricks at Mauza- Bhanachak, Bakharia, P.S: Majhulia, Block- Majhaulia, District- West Champaran, State – Bihar","M/S F. B. I. BRICKS","Delisted","EC",NA
"46","SIA/BR/MIN/41235/2019","SIA/1(a)/588/18","Auraia Sand Ghat","WESTLINK TRADING PRIVATE LIMITED","EC Granted","EC",NA
"47","SIA/BR/MIN/41127/2019","SIA/1(a)/578/18","Gausala Sand Ghat","WESTLINK TRADING PRIVATE LIMITED","EC Granted","EC",NA
"48","SIA/BR/IND2/253126/2022","SIA/1(b)/2037/2022","Exploratory drilling of One well in OALP BLOCK GV-ONHP-2021/1","HSE, FRONTIER BASINS, ONGC, DEHRADUN","EC Granted","EC",NA
"49","SIA/BR/MIN/148587/2020","","M/s Ganga-2 Bricks","M/S GANGA-2 BRICKS","Delisted","EC",NA
"50","SIA/BR/MIN/142170/2020","","BRICK EARTH MINING PROJECT FOR M/S SHEOGANGA INT UDYOG MAUZA MAHAMMADPUR","M/S SHEOGANGA INT UDYOG PROP ABHISHEK KUMAR","Delisted","EC",NA
"51","SIA/BR/MIN/136625/2020","","Brick Earth Mining Project at Village- Sidhari, P.O- Ishipur, P.S- Barahat, Anchal- Pirpainti, District- Bhagalpur (Bihar)","M/S J.M.A BRICKS","Delisted","EC",NA
"52","SIA/BR/MIS/197523/2021","SIA/8(a)/1277/2021","Warehouse Project","M/S ALCASO INFRASPACE PVT LTD","WithdrawEC","EC",NA
"53","SIA/BR/MIS/178125/2020","SIA/8(A)/1263/2020","Government Medical College & Hospital, Jamui, Bihar","DEPARTMENT OF HEALTH GOVERMENT OF BIHAR","Delisted","EC",NA
"54","SIA/BR/MIN/136612/2020","","PAKRI DAYAL BALU GHAT (BURHI GANDAK  RIVER) , APPLICANT- MR. VINAY KUMAR, AREA- 1.00 HA, PLOT NO.- 3512, VILL.- JAGATIYA TOLA, P.O.+TEHSIL- PAKRI DAYAL, DIST.- EAST CHAMPARAN, BIHAR","MOTIHARI SAND DEPOSIT OF EAST CHAMPARAN, BIHAR,  APPLICANT- SHRI VINAY KUMAR","Delisted","EC",NA
"55","SIA/BR/MIN/136410/2020","","M/s Maa Bricks Field","M/S MAA BRICKS FIELD","Delisted","EC",NA
"56","SIA/BR/MIN/145088/2020","","Proposed Brick Earth Mining Project of Area 1.35 Hectare Or 3.33 Acre M/s Jay Guru Dev Int Udyog  at  Vill/Mauza-  Garhatha Khurd, P.O-  Barhampur, P.S + Block- Barhampur, District- Buxar, State - Bih","M/S JAI GURU DEV INT UDYOG","Delisted","EC",NA
"57","SIA/BR/MIN/129931/2019","","proposed Brick Earth Mining Project at Vill: Sukumarpur, P.O- Jafrabad, P.S- Raghopur, District- Vaishali, State- Bihar, Area: 1.18 Ha of M/s Radha Bricks","RADHABRICKS","Delisted","EC",NA
"58","SIA/BR/MIN/131459/2019","","CHAKIA M/S TARA INT UDYOG with production capacity 4708.62 TPA at Mauza- Chakia, Thana No.- 157, Khata No. 118. Plot No. 1205, 1141, 1143 & 1229. Area,2.50 Ac, 1.01 Ha, P.S. + Circle- Dehri on Sone, D","M/S TARA INT UDYOG PRAT:-IFTAKHARAHMAD","Delisted","EC",NA
"59","SIA/BR/MIN/132692/2019","","M/s. SWASTIC BRICKS Project, For Production Capacity – 3629.70 cum (or 5081.58 TPA), Area-1.09Ha  (2.70Ac), Thana No.- 137, Khata  No. 147, Mauza - Bhergawan P.S. + Circle - Dhanarua, District- Patna,","SADAN KISHOR PRASAD","Delisted","EC",NA
"60","SIA/BR/MIN/134241/2019","","Kalyanpur (Gata No. 1011,1012,1013,1014,1015, 1016,1009,1006,1004,1002,1001,1000,987, 979,990, 1003,991,992, 997,998,9)  brick earth (soil) mining project.","M/S SRI RAM BRICKS","Delisted","EC",NA
"61","SIA/BR/MIN/66076/2017","SIA/1(a)/583/18","Sand Mining Project at Balio Sand Ghat on Ulai River","WESTLINK TRADING PRIVATE LIMITED","Delisted","EC",NA
"62","SIA/BR/MIN/140949/2020","","ORDINARY CLAY MINING PROJECT FOR BSCPL INFRASTRUCTURE LTD","BSCPL INFRASTRUCTURE LTD MAUZA RANNA AREA 12.34 AC","Delisted","EC",NA
"63","SIA/BR/MIS/146832/2020","SIA/8(a)/993/2020","RD Heights","M/S R.D. ECO DEVELOPERS PVT. LTD","EC Granted","EC",NA
"64","SIA/BR/INFRA2/415351/2023","SIA/8(a)/2286/2023","Dular Enclave (Residential Building Project by M/s Sita Construction Pvt. Ltd.)","SHISHIR KUMAR","EC Granted","EC",NA
"65","SIA/BR/MIN/35673/2019","","Sardahan Sand Ghat on Chilauni   RiverSardahan Sand Ghat on Chilauni   River","SUJEET KUMAR","Pending at PP due to eds","EC",NA
"66","SIA/BR/MIN/134858/2020","","SUGAULI AND CHAND PARSA BALU GHAT","SUGAULI AND CHAND PARSA BALU GHAT, EAST CHAMPARAN ,  SHRI VINAY KUMAR","Delisted","EC",NA
"67","SIA/BR/MIN/60869/2016","SIA/1(a)/402/16","Sand Mining Project at LCT Rajapur Ghat on river Ganga","BROADSON COMODITIES PVT LTD","EC Granted","EC",NA
"68","SIA/BR/IND1/416484/2023","SIA/3(a)/2299(EXP)/2023","Balmukund Concast Private Limited (Formerly Balmukund Concast Limited)","BALMUKUND CONCAST LIMITED","EC Granted","EC",NA
"69","SIA/BR/INFRA2/416809/2023","SIA/8(a)/2273/2023","Proposed Residential Building “Aranya P.N.B. Residency” at Godhana, Patna                         Total Plot Area: 8737.04 Sqm. Total Built up Area: 42138.98 Sqm. (Existing= 18659.38 Sqm. + Proposed = 23479.6 Sqm.).","ARANYA ENGICON PRIVATE LIMITED","EC Granted","EC",NA
"70","SIA/BR/MIN/30936/2019","SIA/1(a)/619/19","Sand mining project on Dhana Nisarpura ghat on Son river over an area of 24.5 ha in district Patna, Bihar","BROADSON COMODITIES PVT LTD","EC Granted","EC",NA
"71","SIA/BR/MIN/66120/2017","SIA/1(a)/581/18","Sand Mining Project at Kendih Sand Ghat on Kiul River.","WESTLINK TRADING PRIVATE LIMITED","Delisted","EC",NA
"72","SIA/BR/MIN/66184/2017","","Sand Mining Project at Simariya Sand Ghat on Barnar River","WESTLINK TRADING PRIVATE LIMITED","Delisted","EC",NA
"73","SIA/BR/IND/66800/2019","","Birla Corporation Ltd.","M/S BIRLA CORPORATION LIMITED","Delisted","EC",NA
"74","SIA/BR/IND/59209/2020","SIA/3(a)/1272/2020","M/s Tejas Iron & Steel Pvt. Ltd.","M/S TEJAS IRON & STEEL PVT. LTD.","Return to SEIAA(Violation)","EC",NA
"75","SIA/BR/MIN/31424/2019","SIA/1(a)/638/19","Sand mining project at Fatehpur ghat -1 in district Sahar, Bhojpur, Bihar","BROADSON COMODITIES PVT LTD","EC Granted","EC",NA
"76","SIA/BR/MIN/162276/2020","","BRICK EARTH MINING PROJECT FOR M/S KRANTI BRICKS MAUZA KUSRE KARPI ARWAL AREA 2.43 Ac 0.98 Ha","BRICK EARTH MINING PROJECT FOR M/S KRANTI BRICKS PROP RAM VINAY SINGH","Delisted","EC",NA
"77","SIA/BR/MIN/66264/2017","SIA/1(a)/579/18","Sand mining Project at parsa sand ghat on river Kiul","WESTLINK TRADING PRIVATE LIMITED","Delisted","EC",NA
"78","SIA/BR/INFRA2/411282/2022","SIA/8(a)/2295/2023","Construction of New Campus of Rajkiya Tibbi College & Hospital Kadamkauna at NMCH Campus, Agamkauna Patna.","BIHAR MEDICAL SERVICES AND INFRASTRUCTURE CORPORATION LIMITED","ADS by SEAC","EC",NA
"79","SIA/BR/IND/19027/2016","","Balmukund Concast Ltd. (Expansion Project)","BALMUKUND CONCAST LIMITED","Delisted","EC",NA
"80","SIA/BR/MIN/33396/2019","","Proposed Sand Mining Project  of 4.9 ha at Siswan ghat on Ghaghra (Sarayu) River of  District-Siwan  of State-Bihar.","M S BALAJI ENTERPRISES","Pending at PP due to eds","EC",NA
"81","SIA/BR/MIN/137502/2020","","M/S SHANKAR INT UDYOG","M/S SHANKAR INT  UDYOG","Delisted","EC",NA
"82","SIA/BR/NCP/34548/2015","SIA/8(a)/60/2015","General Pool Residential Accommodation (GPRA) by CPWD at Digha, Patna, Bihar","CENTRAL PUBLIC WORKS DEPARTMENT","Delisted","EC",NA
"83","SIA/BR/MIN/141567/2020","","Bhelwa, P.S - Gharasahan (Khasra/Plot(s) No. 01) soil brick mining project.","M/S MAA INT. UDYOG","Delisted","EC",NA
"84","SIA/BR/MIN/148482/2020","","Brick Clay Mining","M/S RAJ ENT UDYOG.","Delisted","EC",NA
"85","SIA/BR/MIN/30947/2019","","Kalai and Durga Mandir Sand Ghat Mining Project","WESTLINK TRADING PRIVATE LIMITED","EC Granted","EC",NA
"86","SIA/BR/MIN/33570/2019","","Hirodiara Sand Ghat on Ganga River","KATYAYNI CONTRACTORS PVT. LTD.","Pending at PP due to eds","EC",NA
"87","SIA/BR/MIN/51365/2020","","Final EIA report of Jamui Kiul 7 Balu ghat","M/S RAVI SHANKAR KUMAR","Delisted","EC",NA
"88","SIA/BR/MIS/195643/2021","","Commercial cum residential project of Mundeshwari Multicon Pvt. Ltd at Usri Sarari Danapur Patna","MUNDESHWARI MULTICOM PVT. LTD.","Delisted","EC",NA
"89","SIA/BR/MIN/128099/2019","","Report of Brick Earth Mining Project of Area 3.0 Acres or 1.21 Hectare for M/s K.B.C Bricks (Radha) at Mauza- Daulatpur, P.S- Fatuha, Block- Fatuha, District- Patna, State- Bihar","KBC BRICKS","Delisted","EC",NA
"90","SIA/BR/MIN/33394/2019","","Proposed Sand Mining Project of 4.70 ha at Rakauli Ghat on Ghaghra (Sarayu) River of District-Siwan of State-Bihar.","M S BALAJI ENTERPRISES","Pending at PP due to eds","EC",NA
"91","SIA/BR/MIN/33784/2019","","Proposed Sand Mining Project of Area 4.60 Ha at Niyazipur Ghat  on Ganga River of District-Buxar of State-Bihar.","MS KATYAYNI CONTRACTORS PRIVATE LIMITED","Pending at PP due to eds","EC",NA
"92","SIA/BR/MIN/135851/2020","","Brick Earth Mining Project at Village- Rasalpur, P.O- Manpur, P.S- Mufassil, District- Gaya(Bihar)","M/S K.B.C INT UDYOG","Delisted","EC",NA
"93","SIA/BR/MIN/136066/2020","","Brick Earth Mining Project at Mauza- Chanda, P.O- Dhibra, P.S- Dhibra, Anchal- Dev, District- Aurangabad(Bihar)","M/S- K.S.B BRICKS","Delisted","EC",NA
"94","SIA/BR/NCP/79747/2018","SIA/8(a)/601/18","EC for Proposed EC for Govt. Dental College and Hospital, Village Paithna, Rahui taluka, Nalanda in Bihar","BIHAR MEDICAL SERVICES & INFRASTRUCTURE CORPORATION LTD.,","EC Granted","EC",NA
"95","SIA/BR/MIN/132230/2019","","M/S INDIA  BRICKS, For Production Capacity -5034.96 TPA, Area-1.08ha (2.68Ac), Thana no-127, Khata no-64,66,72,88&94. Plot no.-238 ,242 , 243 ,244 ,254 ,199 ,198 ,218 ,217 , 178 ,206&208. Rupaspur, P.","M/S INDIA BRICKS RAJEEV KUMAR","Delisted","EC",NA
"96","SIA/BR/MIN/138240/2020","","AS","ENTERPRISE","Delisted","EC",NA
"97","SIA/BR/MIN/149374/2020","","ORDINARY CLAY MINING PROJECT FOR BSCPL INFRASTRUCTURE LTD MAUZA BALHA","BSCPL INFRASTRUCTURE LTD MAUZA BALHA AREA 9.33 AC","Delisted","EC",NA
"98","SIA/BR/MIN/31649/2015","SIA/1(a)/45/2015","M/s Umesh Int Udyog","UMESH KUMAR SINGH","Delisted","EC",NA
"99","SIA/BR/MIN/33563/2019","","Bihma Sand Ghat on Badua River","KATYAYNI CONTRACTORS PVT. LTD.","Pending at PP due to eds","EC",NA
"100","SIA/BR/MIN/61902/2017","SIA/1(a)/444/17","Banka Sand Blocks (Stretch I Block 1) Mining Project","MAHADEV ENCLAVE PVT LTD","EC Granted","EC",NA
"101","SIA/BR/MIN/34270/2019","","Baskhora Harari Sand Ghat on Tilyuga River","SUJEET KUMAR","Pending at PP due to eds","EC",NA
"102","SIA/BR/MIN/60516/2016","SIA/1(a)/379/16","Sand Mining Project at Sharwan Dumri on River Falgu, district Jehanabad, Bihar","BANSHIDHAR CONSTRUCTION PVT LTD","EC Granted","EC",NA
"103","SIA/BR/MIN/60659/2016","SIA/1(a)/388/16","Sand Mining Project at Farahangpur Ghat on river Son","BROADSON COMODITIES PVT LTD","EC Granted","EC",NA
"104","SIA/BR/MIN/128732/2019","","M/s Bhagwati Int Udyog","M/S BHAGWATI INT UDYOG","Delisted","EC",NA
"105","SIA/BR/MIN/66104/2017","SIA/1(a)/557/18","Sand Mining Project at Kalyanpur Sand Ghat on River Kiul","WESTLINK TRADING PRIVATE LIMITED","Delisted","EC",NA
"106","SIA/BR/MIN/30949/2019","","Balio sand ghat mining project of district Jamui, Bihar over an area of 23 ha","WESTLINK TRADING PRIVATE LIMITED","Delisted","EC",NA
"107","SIA/BR/MIN/18871/2015","SIA/1(a)/505/17","Rajauli (Block 4) Ordinary  Stone Mining Project Village: Rajauli, Tehsil-Nawada &  District-Nawada, State-Bihar","MESSERS KATYAYNI CONTRACTORS PVT LTD","EC Granted","EC",NA
"108","SIA/BR/MIS/64655/2017","SIA/8(a)/464/17","Venus Paradise, Residential Building Project by Venus Start Construction Pvt. Ltd.","VENUS STAR CONSTRUCTION PVT LTD","EC Granted","EC",NA
"109","SIA/BR/MIN/71321/2017","","Sand Mining Project at Shahpur sand Ghat on Buddh River, Anchal-Paraiya, Dist- Gaya, Bihar","WESTLINK TRADING PRIVATE LIMITED","Delisted","EC",NA
"110","SIA/BR/MIN/138011/2020","","ORDINARY CLAY MINING PROJECT FOR SAINITU CONSTRUCTION PVT. LTD. MAUZA PILKHI RAJGIR NALANDA AREA 11.52 Ac, 4.66 Ha","SAINITU CONSTRUCTION PVT. LTD. DIRECTOR KANHAIYA KUMAR","Delisted","EC",NA
"111","SIA/BR/MIN/128706/2019","","Proposed Brick Earth Mining Project of Area 3.06 Acres or 1.24 Hectare M/s Devi Int Udyog at Mauza- Nasirpur, P.O: Mohammadpur, P.S+ Block- Bikram, District- Patna, State - Bihar","MS DEVI INT UDYOG","Delisted","EC",NA
"112","SIA/BR/MIN/141676/2020","","ORDINARY CLAY BSCPL INFRASTRUCTURE LTD MINING PROJECT FOR MAUZA PARTAPATTI HAYAGHAT BAHERI DARBHANGA AREA 8.05 Ac","BSCPL INFRASTRUCTURE LTD. MAUZA PARTAPATTI  AREA 8.05AC","Delisted","EC",NA
"113","SIA/BR/IND/64979/2017","","Proposed Expansion of Cement Grinding Unit From 2.0 MTPA to 4.0 MTPA","M/s. UltraTech Cement Ltd.","Delisted","EC",NA
"114","SIA/BR/MIN/129442/2019","","Brick Earth Mining Project of Area 1.51 Hectare Or 3.73 Acre M/s Star Int Bhatta at Vill : Tenua, Mauza- Kurari, P.S- Karamchat Block- Rampur, District- Kaimur, State- Bihar","MS STAR INT BHATTA","Delisted","EC",NA
"115","SIA/BR/MIN/29949/2015","3405","Soil Mining project","SINGH AND COMPANY","Delisted","EC",NA
"116","SIA/BR/MIN/32551/2019","SIA/1(a)/675/19","Sand mining project at Baidrabad ghat on Son river over an area of 24.8 ha in district Arwal in Bihar","MOR MUKAT MARKETING PRIVATE LIMITED","Referred Back to SEAC(A)","EC",NA
"117","SIA/BR/MIN/30942/2019","SIA/1(a)/564/18","Badibag Sand Ghat","WESTLINK TRADING PRIVATE LIMITED","EC Granted","EC",NA
"118","SIA/BR/MIN/41189/2019","SIA/1(a)/580/18","Sair & Pandeydih Sand Ghat","WESTLINK TRADING PRIVATE LIMITED","EC Granted","EC",NA
"119","SIA/BR/MIN/41270/2019","SIA/1(a)/561/18","Sono Sand Ghat","WESTLINK TRADING PRIVATE LIMITED","EC Granted","EC",NA
"120","SIA/BR/MIS/110998/2019","SIA/8(a)/982/2020","Construction of New Hospital Block at PMCH Patna","PATNA MEDICAL COLLEGE AND HOSPITAL","EC Granted","EC",NA
"121","SIA/BR/IND/18621/2016","","Balmukund Concast Ltd","BALMUKUND CONCAST LIMITED","Delisted","EC",NA
"122","SIA/BR/MIN/59826/2016","SIA/1(a)/354/16","KUMARSHAR GHAT OF BADHUA RIVER
TEHSIL SANGRAMPUR, DISTRICT MUNGER, BIHAR
M.L. AREA 10.54 HA","NM FOOD PRODUCT PVT LTD","EC Granted","EC",NA
"123","SIA/BR/MIN/136224/2020","","BRICK EARTH MINING PROJECT FOR M/S C.B.M. BRICKS, MAUZA- DAULATPUR, ATHMALGOLA, PATNA, AREA- 2.50 Ac, 1.01 Ha","M/S. C. B. M. BRICKS, PROP- PRAMOD KUMAR","Delisted","EC",NA
"124","SIA/BR/MIN/18369/2015","SIA/1(a)/443/17","Matokhar & Surdaspur Stone Mine, Block-5, Area- 5.26 ha village - Matokhar & Surdaspur","MS VIBHARAJ CONSTRUCTION PVT LTD","EC Granted","EC",NA
"125","SIA/BR/MIN/30633/2015","SIA/1(a)/01/2015","STONE MINING PROJECT-SHRISTI DEVELOPERS PVT. LTD.- CAT: B2","SHRISTI DEVELOPERS PVT LTD","Delisted","EC",NA
"126","SIA/BR/MIS/266447/2022","SIA/8(a)/2029(Exp.)/2022","Proposed Residential Building “Winsome Infrastructure” at Patna, Bihar","WINSOME EMPIRE","Delisted","EC",NA
"127","SIA/BR/MIS/124442/2019","SIA/8(a)/978/2020","Proposed Senior Officer’s Housing  at Plot No.- 983, 986, 987, 988, 990, 992, 996(P) ,999, 1000, 1001,1003,1004(P), Shashtrinagar, District- Patna, Bihar by M/s Building Construction Department, Gover","BCD PATNA","EC Granted","EC",NA
"128","SIA/BR/MIN/34086/2019","","Dina patti Sand Ghat on Parwana River","SUJEET KUMAR","Pending at PP due to eds","EC",NA
"129","SIA/BR/MIN/133250/2019","","Report of Brick Earth Mining Project of Area 1.23 Hectare or 3.03 Acre M/s Maa Int Udyog at Vill/Mauza-Chhitauli, P.O-Laxmiganj, P.S + Block-Goreya Kothi, District-Siwan, State-Bihar.","M/S MAA INTUDYOG","Delisted","EC",NA
