"","Proposal.No.","File.No.","Project.Name","Company","Proposal.Status","Project.Type","View"
"11","SIA/MH/MIN/32739/2015","SEIAA/2015/I/CR436/TC-3","Sangam sand ghat","COLLECTOR YAVATMAL DISTRICT","Disposed through earlier site ec-ecmpcb-in","EC",NA
"12","SIA/MH/MIN/32752/2015","SEIAA/2015/I/CR449/TC-3","Punwat-1 Sand ghat","COLLECTOR YAVATMAL DISTRICT","Disposed through earlier site ec-ecmpcb-in","EC",NA
"13","SIA/MH/MIN/32761/2015","SEIAA/2015/I/CR458/TC-3","Durbha sand ghat","COLLECTOR YAVATMAL DISTRICT","Disposed through earlier site ec-ecmpcb-in","EC",NA
"14","SIA/MH/MIN/32921/2015","SEIAA/2015/I/CR478/TC-3","Mouda Ciknaghat  Sand ghat auction","COLLECTOR NAGPUR","Disposed through earlier site ec-ecmpcb-in","EC",NA
"15","SIA/MH/MIN/32924/2015","SEIAA/2015/I/CR480/TC-3","Panmara Sand ghat auction","COLLECTOR NAGPUR","Disposed through earlier site ec-ecmpcb-in","EC",NA
"16","SIA/MH/NCP/61690/2017","SEIAA/2017/II/CR-118/TC-3","Proposed residential project at Plot no 3/3/A,phase 3,rajiv gandhi infotech park.Hinjewadi,Pune by Hubtown Ltd.","HUBTOWN LTD","Disposed through earlier site ec-ecmpcb-in","EC",NA
"17","SIA/MH/MIS/104562/2019","","Maple City","SHREE CHINTAMANI ENTERPRISES","Disposed through earlier site ec-ecmpcb-in","EC",NA
"18","SIA/MH/MIN/171692/2020","SIA/MH/MIN/171692/2020","Environment Clearanc for Gaundgao Sand Ghat","DMOLATUR","Rejection Letter Granted","EC",NA
"19","SIA/MH/NCP/60124/2016","SEIAA/2017/II/CR-144/TC-3","Memories, S. no. 90 Mohammadwadi, Taluka-Haveli, Dist-Pune.","NAMO DEVELOPERS","Disposed through earlier site ec-ecmpcb-in","EC",NA
"20","SIA/MH/MIN/93697/2019","","Proposal for Sand Quarry in Sanvadgaon Village, Taluka Malegaon, District Nasik, State Maharashtra over an area of 0.6000 Ha at Girna River","VIVEK P NAVARE","Disposed through earlier site ec-ecmpcb-in","EC",NA
"21","SIA/MH/NCP/57197/2016","SEIAA/2016/III/CR405/TC-3","Mantra Water Front","MANTRA BUILDERS","Disposed through earlier site ec-ecmpcb-in","EC",NA
"22","SIA/MH/MIN/161916/2020","SIA/MH/MIN/161916/2020","Environmental Clearance for proposed river bed Sand mining having area 0.28 ha (0.67 acre) of Ghattemni (Donga) sand ghat on Bagh river.","DISTRICT MINING OFFICER,GONDIA","Rejection Letter Granted","EC",NA
"23","SIA/MH/MIN/161961/2020","SIA/MH/MIN/161961/2020","Environmental Clearance for proposed river bed Sand mining having lease area 0.40ha (0.98 acre) of Ranmul sand ghat on Potphodi River","DISTRICT MINING OFFICER, GADCHIROLI","Rejection Letter Granted","EC",NA
"24","SIA/MH/MIN/162283/2020","SIA/MH/MIN/162283/2020","Environmental Clearance for proposed river bed Sand mining having lease area 1 ha (2.47 acre) of Kurkheda sand ghat on Sati River","DISTRICT MINING OFFICER, GADCHIROLI","EC Granted","EC",NA
"25","SIA/MH/MIN/40637/2016","SEIAA/2016/I/CR62/TC-3","Chandola sand ghat","COLLECTOR AMRAVATI","Disposed through earlier site ec-ecmpcb-in","EC",NA
"26","SIA/MH/MIN/40639/2016","SEIAA/2016/I/CR61/TC-3","Chandur Dhore sand ghat","COLLECTOR AMRAVATI","Disposed through earlier site ec-ecmpcb-in","EC",NA
"27","SIA/MH/MIN/40652/2016","SEIAA/2016/I/CR53/TC-3","Shivra 2 Sand ghat","COLLECTOR AMRAVATI","Disposed through earlier site ec-ecmpcb-in","EC",NA
"28","SIA/MH/NCP/57995/2020","SIA/MH/NCP/57995/2020","TATA MEMORIAL CENTRE","TATA MEMORIAL CENTRE","Delisted","EC",NA
"29","SIA/MH/MIS/181846/2020","SIA/MH/MIS/181846/2020","Swargate multi modal transit hub","MAHARASHTRA METRO RAIL CORPORATION LIMITED (PUNE METRO RAIL PROJECT)","EC Granted","EC",NA
"30","SIA/MH/MIN/181906/2020","SIA/MH/MIN/181906/2020","Satral sand spot over an extent of 2.0 ha.(Mineable Area-1.50 ha. & Non-Mineable Area-0.50 ha.) at Pravara River Bed Gut. No. 70,71,75,76,78,79,80, & 94  Satral Village, Rahuri Tehsil, Ahmednagar District, Maharashtra.","COLLECTOR AHMEDNAGAR","EC Granted","EC",NA
"31","SIA/MH/NCP/65138/2017","","“Slum Rehabilitation Scheme” at CTS no.702, 704, 704/1 to 79 of village Oshiwara, Tal Andheri, Off Veera Desai Ext Road, Andheri West, Mumbai- 400 053","M/S. TRANSCON DEVELOPERS PVT. LTD.","Disposed through earlier site ec-ecmpcb-in","EC",NA
"32","SIA/MH/MIS/117401/2019","SIA/MH/MIS/117401/2019","Environment Clearance for proposed Layout with construction of EWS Tenements on Plot -B at S. No. 29 (P), C.T.S. No. 50A (pt.) and 2, at Pahadi Goregaon, Goregaon (W), Mumbai.","MUMBAI HOUSING AND AREA DEVELOPMENT BOARD, MUMBAI (A MHADA UNIT)","Rejection Letter Granted","EC",NA
"33","SIA/MH/MIN/30977/2015","SEIAA/2015/I/CR107/TC-3","Chandur Sand ghat 1442 bras","COLLECTOR AKOLA","Disposed through earlier site ec-ecmpcb-in","EC",NA
"34","SIA/MH/MIN/30990/2015","SEIAA/2015/I/CR118/TC-3","Nimbhora sand ghat stock 2006 bras","COLLECTOR AKOLA","Disposed through earlier site ec-ecmpcb-in","EC",NA
"35","SIA/MH/MIN/31004/2015","SEIAA/2015/I/CR128/TC-3","Mundgaon sand ghat in the Chandrika river bed stock 125 bras","COLLECTOR AKOLA","Disposed through earlier site ec-ecmpcb-in","EC",NA
"36","SIA/MH/MIN/31005/2015","SEIAA/2015/I/CR129/TC-3","Nandkhed sand ghat in the Shahanur river bed stock 139 bras","COLLECTOR AKOLA","Disposed through earlier site ec-ecmpcb-in","EC",NA
"37","SIA/MH/MIN/94089/2019","","Kajikhed1 Sand Ghat over Purna River Dist Akola","TAHSILDAR SGY AKOLA","Disposed through earlier site ec-ecmpcb-in","EC",NA
"38","SIA/MH/MIN/162403/2020","SIA/MH/MIN/162403/2020","Environmental Clearance for proposed river bed Sand mining having lease area 1.5 ha (3.71 acre) of Rampur Chak sand ghat on Gadhvi River","DISTRICT MINING OFFICER, GADCHIROLI","EC Granted","EC",NA
"39","SIA/MH/MIN/162484/2020","SIA/MH/MIN/162484/2020","Environmental Clearance for proposed river bed Sand mining having area 0.30 Ha (0.741 acre) of Jalgaon sand ghat on Shiwna River.","DISTRICT MINING OFFICER, AURANGABAD","Rejection Letter Granted","EC",NA
"40","SIA/MH/IND2/176941/2020","SIA/MH/IND2/176941/2020","Globespeciality Chemicals Pvt. Ltd.","GLOBESPECIALITY CHEMICALS PVT LTD","EC Granted","EC",NA
"41","SIA/MH/IND2/49327/2019","SIA/MH/IND2/49327/2019","Proposed New Manufacturing Facility for Solvents & Esters at Plot No. D7 & D8, Jakekur, Omerga MIDC, Omerga, Osmanabad (MH) by M/s SHK Chemtech Industries LLP","SHK CHEMTECH INDUSTRIES LLP","EC Granted","EC",NA
"42","SIA/MH/IND2/151638/2020","","Expansion of API and Bulk drug manufacturing unit of M/s. Rank Organics Chemical Private Limited","RANK ORGANICS CHEMICAL  PVT LTD","WithdrawEC","EC",NA
"43","SIA/MH/MIS/151759/2020","SIA/MH/MIS/151759/2020","Proposed “Shepherd Royal” SRA Scheme for Azad Laxmi Nagar, SRA Co-op. Housing Society on Plot bearing C. T. S. No. 1A/ 178/2 of S. No. 161(pt) of Village Pahadi, New Link Road, Goregaon (West)-400104","GOODBUILD (INDIA) PVT. LTD.","EC Granted","EC",NA
"44","SIA/MH/MIS/52944/2005","SIA/MH/MIS/52944/2005","Expansion of Existing Common Effluent Treatment Plant (CETP) from 5 MLD to 10 MLD Capacity at Plot No. P-13 MIDC Industrial Area, Butibori, Nagpur, Taluka Nagpur (Rural), District Nagpur MH by Butibor","BUTIBORI CETP PVT. LTD","EC Granted","EC",NA
"45","SIA/MH/NCP/57746/2016","SEIAA/2016/II/CR424/TC-3","Peer Realty Pvt Ltd","PEER REALTY PVT LTD","Disposed through earlier site ec-ecmpcb-in","EC",NA
"46","SIA/MH/MIN/234139/2021","SIA/MH/MIN/234139/2021","EXTRACTION OF MINOR MINERALS (STONE) FAVOURING CIDCO","VIJAY PANDURANG MHATRE","ADS by SEIAA","EC",NA
"47","SIA/MH/MIN/183266/2020","SIA/MH/MIN/183266/2020","Environmental Clearance for the Stone quarry of Mr. Madhukar Sitaram Kotule","MADHUKAR SITARAM KOTULE","WithdrawEC","EC",NA
"48","SIA/MH/MIN/155370/2020","SIA/MH/MIN/155370/2020","KARLA BU 3 SAND GHAT","DMO NANDED","EC Granted","EC",NA
"49","SIA/MH/MIN/155374/2020","SIA/MH/MIN/155374/2020","KHAMBALA SAND GHAT TQ KINWAT DIST NANDED","DMO NANDED","Rejection Letter Granted","EC",NA
"50","SIA/MH/MIS/74421/2018","","Residential project with shopline “Alcon Rennaissant”","ALCON","Disposed through earlier site ec-ecmpcb-in","EC",NA
"51","SIA/MH/MIN/161648/2020","SIA/MH/MIN/161648/2020","Environmental Clearance for proposed river bed Sand mining having lease area 1.63 ha (4.03 acre) of Matha sand ghat on Purna river","DISTRICT MINING OFFICER,HINGOLI","EC Granted","EC",NA
"52","SIA/MH/MIN/161654/2020","SIA/MH/MIN/161654/2020","Environmental Clearance for proposed river bed Sand mining having lease area 0.40ha (0.98 acre) of Kokadi-1 sand ghat on Gadvi River","DISTRICT MINING OFFICER, GADCHIROLI","Rejection Letter Granted","EC",NA
"53","SIA/MH/NCP/76014/2018","","Proposed Expansion of Runwal Town Centre Now known as R city  (Commercial building no.-1) on property bearing old C.T.S. no. 166/1 to 23 (s.no. 146-B) and New CTS No.166Aof village Ghatkopar, situated at Lal bahadur Shastri Marg, Ghatkopar by Runwal","RUNWAL REALTY PVT.LTD.","Disposed through earlier site ec-ecmpcb-in","EC",NA
"54","SIA/MH/NCP/76060/2018","","Rassaz Greens by M/s. Rassaz  Infrastructure","RASSAZ INFRASTRUCTURE PVT LTD","Disposed through earlier site ec-ecmpcb-in","EC",NA
"55","SIA/MH/NCP/49493/2016","SEIAA/2016/II/CR253/TC-3","Residential and Commercial project Mahindra Happinest  Palghar  at Gut no.183(p), 183(p) & 158, village Nandore, Tehsil & district Palghar, Maharashtra by Mahindra Lifespace Developers Limited","MAHINDRA LIFESPACE DEVELOPERS LIMITED","Disposed through earlier site ec-ecmpcb-in","EC",NA
"56","SIA/MH/MIN/32222/2015","SEIAA/2015/I/CR368/TC-3","Nagziri Sand Ghat Auction","COLLECTOR JALGAON","Disposed through earlier site ec-ecmpcb-in","EC",NA
"57","SIA/MH/MIN/32224/2015","SEIAA/2015/I/CR370/TC-3","Bhokari Sand Ghat Auction","COLLECTOR JALGAON","Disposed through earlier site ec-ecmpcb-in","EC",NA
"58","SIA/MH/MIS/124434/2019","SIA/MH/MIS/124434/2019","Proposed Project at Sr. No. 211/4 & 211/11, Hadapsar by M/s. Vision Realtors","M/S VISION REALTORS","EC Granted","EC",NA
"59","SIA/MH/MIN/181159/2020","SIA/MH/MIN/181159/2020","Rakshasbhuwan.2 Sand spot over an extent of 4.80 HA (MINEABLE AREA-3.6 HA & NON-MINEABLE AREA-1.2 HA),At Godavari River Bed Gut No. 27-30,32-37,Rakshsbhuwan Village, Tehsil-Gevrai, Beed District, Maharashtra.","COLLECTOR BEED","EC Granted","EC",NA
"60","SIA/MH/MIN/181225/2020","SIA/MH/MIN/181225/2020","""Mhalashpimplegaon Sand spot over an extent of 4.95 HA (MINEABLE AREA-3.71 HA & NON-MINEABLE AREA-1.24HA),At Godavari River Bed Gut No. 2-10,12,313,1617,23,Mhalaspimplegaon Village, Tehsil-Gevrai, Beed District, Maharashtra.""","COLLECTOR BEED","EC Granted","EC",NA
"61","SIA/MH/MIN/32908/2015","SEIAA/2015/I/CR470/TC-3","Badegaon –A Sand ghat auction","COLLECTOR NAGPUR","Disposed through earlier site ec-ecmpcb-in","EC",NA
"62","SIA/MH/MIN/32917/2015","SEIAA/2015/I/CR475/TC-3","Bina-2B Sand ghat auction","COLLECTOR NAGPUR","Disposed through earlier site ec-ecmpcb-in","EC",NA
"63","SIA/MH/MIN/32919/2015","SEIAA/2015/I/CR477/TC-3","Kirnapur-A  Sand ghat auction","COLLECTOR NAGPUR","Disposed through earlier site ec-ecmpcb-in","EC",NA
"64","SIA/MH/NCP/61695/2017","SEIAA/2017/II/CR-97/TC-3","RESIDENTIAL BUILDING PROJECT","M S PODDAR HABITAT PVT LTD","Disposed through earlier site ec-ecmpcb-in","EC",NA
"65","SIA/MH/MIN/141123/2020","SIA/MH/MIN/141123/2020","Masalkund Stone Quarry","SAYYAPARAJU APALLA NARSIMHA RAJU","EC Granted","EC",NA
"66","SIA/MH/MIN/141222/2020","SIA/MH/MIN/141222/2020","Stone Quarry of M/S Afcons Infrastructure Ltd. ,Mr. Birendra Kumar Jha,Village Chinchghat,Tq Selu,Dist. Wardha,Gut No.57/1 Part","PROJECT PROPONENT","EC Granted","EC",NA
"67","SIA/MH/NCP/63393/2017","SEIAA/2017/II/CR-194/TC-3","Khodal Enterprises Residential project at Murbad, Thane","KHODAL ENTERPRISES","Disposed through earlier site ec-ecmpcb-in","EC",NA
"68","SIA/MH/MIS/108879/2019","","National Institute of Naturopathy, Ministry of AYUSH","MINISTRY OF AYUSH","Disposed through earlier site ec-ecmpcb-in","EC",NA
"69","SIA/MH/NCP/30847/2015","SEIAA/2015/II/CR92/TC-3","“Proposed Residential building with shopline”","SHREEJI ASSOCIATES","Disposed through earlier site ec-ecmpcb-in","EC",NA
"70","SIA/MH/MIN/30904/2015","SEIAA/2015/I/CR100/TC-3","Salumbre Stone Quarry","AJWANI INFRASTRUCTURE PVT LTD","Disposed through earlier site ec-ecmpcb-in","EC",NA
"71","SIA/MH/MIN/60748/2016","SEIAA/2017/II/CR-131/TC-3","Sand mining","COLLECTOR SATARA","Disposed through earlier site ec-ecmpcb-in","EC",NA
"72","SIA/MH/NCP/60841/2016","SEIAA/2017/II/CR-129/TC-3","Ace Aastha","SAKSHI DEVELOPERS","Disposed through earlier site ec-ecmpcb-in","EC",NA
"73","SIA/MH/IND2/152220/2020","SIA/MH/IND2/152220/2020","MDB Chemicals (India) Pvt. Ltd.","M/S. MDB CHEMICALS (INDIA) PVT. LTD","EC Granted","EC",NA
"74","SIA/MH/MIN/138942/2020","SIA/MH/MIN/138942/2020","Stone quarry proposal of Mrs. Usha Babasaheb Patil","USHA BABASAHEB PATIL","EC Granted","EC",NA
"75","SIA/MH/MIN/37999/2016","SEIAA/2016/I/CR5/TC-3","Shri. Pravin Hilal Tavar 
Ganesh Stone Metal
Survey No. 23/2, Area (2.48 Ha) 
Village-Chandgarh, Tehsil-Sindkheda, Dist-Dhule","SHRI. PRAVIN HILAL TAVAR","Disposed through earlier site ec-ecmpcb-in","EC",NA
"76","SIA/MH/NCP/73532/2018","","Residential development with shops at Akurle, Karjat","M/S. SHELTREX KARJAT PVT. LTD.","Disposed through earlier site ec-ecmpcb-in","EC",NA
"77","SIA/MH/MIS/224559/2021","SIA/MH/MIS/224559/2021","Proposed Staff quarters for MMRDA at Metro Depot, Mandale Mankhurd, Mumbai Located at Mandale for Metro Line-2B at CTS No. 6/1 (pt) Mandale & CTS No. 10 (pt) Turbhe, Maharashtra by Mumbai Metropolitan Regional Development Authority","MUMBAI METROPOLITAN REGION DEVELOPMENT AUTHORITY (MMRDA)","Delisted","EC",NA
"78","SIA/MH/NCP/35290/2015","SEIAA/2015/II/CR567/TC-3","Redevelopment Project at plot bearing C.S. No. 737, 781 and 782 of Malabar Hill Division, D-Ward, Tardeo, Mumbai. Maharashtra","SDS TOWNSHIP PVT LTD","Disposed through earlier site ec-ecmpcb-in","EC",NA
"79","SIA/MH/MIN/156171/2020","SIA/MH/MIN/156171/2020","Babhulgaon(Part1)  sand spot over an extent of 1 ha. at Girna River Bed Gut. No. 9,11 and 12, Babhulgaon(Part1)  Village, Dharngaon Taluk, Jalgaon District, Maharashtra.","OFFICE OF THE COLLECTORATE, JALGAON","Rejection Letter Granted","EC",NA
"80","SIA/MH/MIS/156283/2020","SIA/MH/MIS/156283/2020","Proposed Residential & Commercial Project","M/S SHRIRAM ASSOCIATES","WithdrawEC","EC",NA
"81","SIA/MH/IND2/17280/2016","","SEYA Industries Ltd","SEYA INDUSTRIES LTD","Disposed through earlier site ec-ecmpcb-in","EC",NA
"82","SIA/MH/MIS/211949/2021","SIA/MH/MIS/211949/2021","Proposed Commercial Project at Nagar Manmad Road, Savedi, Ahmednagar 414003 by Mr. Suresh Kankariya.","SURESH KANKARIYA","Delisted","EC",NA
"83","SIA/MH/MIS/212331/2021","SIA/MH/MIS/212331/2021","Environmental Clearance of Proposed Slum Rehabilitation Scheme  on plot bearing C.T.S. No. E/86/14A & B and E/86/15A & B of Village Bandra at Khar (West), Mumbai for “Vishwaratna Dr. Babasaheb Ambedkar SRA CHS Ltd..” (Earlier as Dr. Ambedkar CHS Ltd.","M/S KEYSTONE REALTORS PVT. LTD.","Rejection Letter Granted","EC",NA
"84","SIA/MH/MIN/254107/2022","SIA/MH/MIN/254107/2022","Environmental Clearance for the Stone Quarry of Shri. Ayubkhan Ibrahimkhan Pathan","AYUBKHAN PATHAN","EC Granted","EC",NA
"85","SIA/MH/MIN/30534/2015","SEIAA/2015/I/CR30/TC-3","Tasgaon-3 gut no.181 to 183, Dhondewadi - 13, 15","COLLECTOR SATARA","Disposed through earlier site ec-ecmpcb-in","EC",NA
"86","SIA/MH/MIN/30605/2015","SEIAA/2015/I/CR52/TC-3","Karab Vadadhe","COLLECTOR JALGAON","Disposed through earlier site ec-ecmpcb-in","EC",NA
"87","SIA/MH/MIN/147939/2020","SIA/MH/MIN/147939/2020","Basalt Mining at Nandori Village by Geeta Concrete","GEETA CONCRETE.","EC Granted","EC",NA
"88","SIA/MH/MIS/123001/2019","SIA/MH/MIS/123001/2019","Construction (Improvement & Redevelopment) of Flyover, Foot over Bridge, Bus Stand Buildings including Commercial Building, Multi level Car Parking, Road Works and other Allied Works under Kalyan Stat","SMART KALYAN DOMBIVLI DEVELOPMENT CORPORATION","WithdrawEC","EC",NA
"89","SIA/MH/NCP/62398/2017","SEIAA/2017/II/CR-101/TC-3","Group Housing Building","AADINATH BUILDERS AND DEVELOPERS","Disposed through earlier site ec-ecmpcb-in","EC",NA
"90","SIA/MH/NCP/62891/2017","SEIAA/2017/II/CR-172/TC-3","Residential Project - Yashwin","VILAS JAVDEKAR ECO HOMES","Disposed through earlier site ec-ecmpcb-in","EC",NA
"91","SIA/MH/NCP/72500/2018","","Prestige Alphatech","M/S. PRESTIGE EXORA BUSINESS PARKS LIMITED","Disposed through earlier site ec-ecmpcb-in","EC",NA
"92","SIA/MH/IND/17091/2011","","Jay Bhavani Ispat Pvt. Ltd.","JAY BHAVANI ISPAT PRIVATE LIMITED","Disposed through earlier site ec-ecmpcb-in","EC",NA
"93","SIA/MH/MIN/58704/2016","","SOLAPUR SAND MINING 2016-17","COLLECTOR OFFICE SOLAPUR","Disposed through earlier site ec-ecmpcb-in","EC",NA
"94","SIA/MH/IND/30548/2018","","union park chemicals (bombay) private limited","UNION PARK CHEMICALS (BOMBAY) PVT. LTD.","Disposed through earlier site ec-ecmpcb-in","EC",NA
"95","SIA/MH/MIN/44656/1900","SIA/MH/MIN/44656/1900","M/s. Sagar Stone Company, Stone Quarry (Minor Mineral)","M/S. SAGAR STONE COMPANY","Delisted","EC",NA
"96","SIA/MH/MIS/121523/2019","SIA/MH/MIS/121523/2019","Proposed Residential & Commercial project  at Gat No. 264(P), Village Kesanand, Pune by M/s. Cozy life","M/S. COZY LIFE","EC Granted","EC",NA
"97","SIA/MH/MIN/173038/2020","SIA/MH/MIN/173038/2020","Hingnabalapur River Bed Sand Mine","COLLECTOR OFFICE BULDANA","EC Granted","EC",NA
"98","SIA/MH/MIN/201173/2021","SIA/MH/MIN/201173/2021","Proposed Karwahi Dolomite Mine","PRADYUMAN KUMAR TRIVEDI","WithdrawEC","EC",NA
"99","SIA/MH/IND/30682/2015","dfafd","-1","BALAJI CHEMICALS","Disposed through earlier site ec-ecmpcb-in","EC",NA
"100","SIA/MH/MIN/147964/2020","SIA/MH/MIN/147964/2020","Zardust Marzban Bharucha","ZARDUST MARZBAN BHARUCHA","EC Granted","EC",NA
"101","SIA/MH/MIN/161543/2020","SIA/MH/MIN/161543/2020","Environmental Clearance for proposed river bed Sand mining having lease area 0.20ha (0.49 acre) of Khargi sand ghat on Bandiya River","DISTRICT MINING OFFICER, GADCHIROLI","Rejection Letter Granted","EC",NA
"102","SIA/MH/MIN/161565/2020","SIA/MH/MIN/161565/2020","Environmental Clearance for proposed river bed Sand mining having lease area 0.40ha (0.98 acre) of Chichgundi sand ghat on Pranihita River","DISTRICT MINING OFFICER, GADCHIROLI","Rejection Letter Granted","EC",NA
"103","SIA/MH/MIN/161680/2020","SIA/MH/MIN/161680/2020","Gudegaon  sand spot over an extent of 3.0 ha. At Wainganga River Bed Gut No.  175,176, 177, 178, 180 &189(partly) Gudegaon Village, pauni Tehsil, Bhandara District, Maharashtra.","OFFICE OF THE COLLECTORATE, BHANDARA","EC Granted","EC",NA
"104","SIA/MH/NCP/53883/2016","SEIAA/2016/III/CR354/TC-3","Yashwin Anand","SANJEEVANI DEVELOPERS","Disposed through earlier site ec-ecmpcb-in","EC",NA
"105","SIA/MH/MIS/136909/2020","SIA/MH/MIS/136909/2020","Proposed Residential & Commercial project at Survey No. 10/2 Dhanori, Dist. Pune by M/s Nyati Construction Pvt. Ltd.","M/S NYATI CONSTRUCTION PVT. LTD.","Delisted","EC",NA
"106","SIA/MH/MIS/82282/2018","","Tridhaatu Morya Developers LLP","TRIDHAATU MORYA DEVELOPERS LLP","Disposed through earlier site ec-ecmpcb-in","EC",NA
"107","SIA/MH/IND2/37875/2016","SEIAA/2015/I/CR585/TC-3","Minor Mineral Proposal : Stone (Laterite) Quarry of  Mr.Ramesh Dattu Redeakar, Dhangarwada (Chitale),Tal-Ajara,Dist- Kolhapur","DISTRICT MININING OFFICER KOLHAPUR","Disposed through earlier site ec-ecmpcb-in","EC",NA
"108","SIA/MH/NCP/63082/2017","SEIAA/2017/II/CR-185/TC-3","Proposed mixed use development by Kumar Agro Products Pvt Ltd.","KUMAR AGRO PRODUCTS PVT LTD","Disposed through earlier site ec-ecmpcb-in","EC",NA
"109","SIA/MH/MIS/170684/2020","SIA/MH/MIS/170684/2020","Residential and Commercial Project by M/s. Vistacore Ventures","M/S. VISTACORE VENTURES","EC Granted","EC",NA
"110","SIA/MH/NCP/34044/2015","SEIAA/2015/III/CR553/TC-3","PROPOSED RESIDENTIAL PROJECT AT CTS. NO. 11 & 11/1, FP NO.207, SANGAMWADI, PUNE BY MARVEL ASTA CONSTRUCTIONS LLP","MARVEL ASTA CONTRUCTIONS LLP","Disposed through earlier site ec-ecmpcb-in","EC",NA
"111","SIA/MH/MIS/146720/2020","SIA/MH/MIS/146720/2020","Proposed Residential Layout Scheme on Sr. No. 42/1 , 42/2, Village - Kharadi, Taluka - Haveli, District- Pune by M/s Majestique Empire LLP","MAJESTIQUE EMPIRE LLP","EC Granted","EC",NA
"112","SIA/MH/MIS/117329/2019","SIA/MH/MIS/117329/2019","“Guru Atman” on Land Bearing S. No. 20, 21, H. No. 1/1,& 1/ 2, S No. 24, H. No. 1 A & 1B at village Gauripada, Taluka - Kalyan, District – Thane, Maharashtra by Guru Ashish Corporation.","GURU ASHISH CORPORATION","Delisted","EC",NA
"113","SIA/MH/IND2/10856/2015","","Blue Circle Organic Pvt Ltd","SADEKAR ENVIRO ENGINEERS PVT LTD","Disposed through earlier site ec-ecmpcb-in","EC",NA
"114","SIA/MH/IND2/171799/2020","SIA/MH/IND2/171799/2020","Proposed Research and Development centre,  Manufacturing and Ware house of Supriya life science","SUPRIYA LIFE SCIENCE LIMITED","EC Granted","EC",NA
"115","SIA/MH/MIN/171338/2020","SIA/MH/MIN/171338/2020","Environmental Clearance for stone quarry of Mr. Krushna Sahebrao Kakde","KRUSHNA KAKDE","WithdrawEC","EC",NA
"116","SIA/MH/IND2/202676/2021","SIA/MH/IND2/202676/2021","Proposed expansion of Synthetic Organic Chemical (API Intermediate) manufacturing unit by M/S. Indo Amines Ltd at Plot No.W-38 (P) Manpada road, MIDC Phase-II, Dombivali (E), Thane.","INDO AMINES LIMITED (CORPORATE)","WithdrawEC","EC",NA
"117","SIA/MH/MIN/261010/2022","SIA/MH/MIN/261010/2022","Environmental clearance for proposed river bed sand mining having lease area 4.5 Ha of Nagri Sand ghat on Wainganaga river","DISTRICT MINING OFFICER, GADCHIROLI","EC Granted","EC",NA
